metric,pre_median,post_median,pct_change,p_value,cliffs_delta,magnitude
total_loc,13687.0,45910.0,235.42777818367796,5.2441433791779e-07,-0.946524064171123,large
n_classes,272.0,781.0,187.13235294117646,1.7247902141854676e-07,-0.9652406417112299,large
n_methods,836.0,2824.0,237.79904306220095,4.911509150774044e-07,-0.946524064171123,large
methods_per_class,3.088235294117647,3.4843373493975904,12.82616179001721,0.0050077808713469415,-0.5294117647058824,large
class_loc_p50,15.0,17.0,13.333333333333334,0.383674211865736,-0.16042780748663102,small
class_loc_p90,134.60000000000002,145.69999999999993,8.24665676077259,0.7276254835022385,0.06684491978609626,negligible
method_loc_p50,3.0,5.0,66.66666666666666,6.603485464008947e-08,-0.8823529411764706,large
method_loc_p90,18.0,22.0,22.22222222222222,0.021567781130862728,-0.42513368983957217,medium
cyclomatic_complexity_p50,1.0,1.0,0.0,,0.0,negligible
cyclomatic_complexity_p90,3.1000000000000227,3.0,-3.225806451613613,1.3445112890072987e-05,0.7272727272727273,large
design_smell_density_per_kloc,22.29622122484436,17.100371747211895,-23.303722300004825,1.1242131897284529e-05,0.8288770053475936,large
implementation_smell_density_per_kloc,14.695236716374692,27.901902783896617,89.870386727462,2.140945117470171e-05,-0.8021390374331551,large
testability_smell_density_per_kloc,4.777934635427096,3.794708373516709,-20.57847871379465,0.000259478694138011,0.6898395721925134,large
class_tail_ratio,8.973333333333334,8.277777777777779,-7.751362060425956,0.11704772998150671,0.2914438502673797,small
method_tail_ratio,6.0,4.4,-26.66666666666666,1.5848099336061692e-07,0.9679144385026738,large
