full_name,n_spanning_methods,mean_pre_rate,median_pre_rate,mean_post_rate,median_post_rate,pct_sped_up,pct_slowed_down
567-labs/instructor,20,0.006570576287845076,0.0063311611998607496,0.009152859648494046,0.0047574090313463,60.0,40.0
AgentOps-AI/agentops,8,0.0250550825299797,0.0180385486792027,0.018106985066034614,0.0125852380401638,25.0,75.0
Azure/azure-sdk-for-python,2,0.000545929041887,0.000545929041887,0.0040789449582257,0.0040789449582257,100.0,0.0
Significant-Gravitas/AutoGPT,5,0.007313470784683899,0.0045709192404274,0.0323322437417087,0.0323322437417087,100.0,0.0
airbytehq/airbyte,1,0.0010142105572252,0.0010142105572252,0.0156914765134556,0.0156914765134556,100.0,0.0
browser-use/browser-use,162,7.754864705557747,0.3238281776509086,1.3667477457251584,0.1134122201667229,39.50617283950617,60.49382716049383
crewAIInc/crewAI-tools,60,0.07719042524787091,0.0126181581642489,0.04550909043933306,0.0113241055562169,46.666666666666664,53.333333333333336
dotnet/aspire,7,0.02890813942816469,0.0089552679700692,0.015375034699393542,0.0074591726845096,42.857142857142854,57.14285714285714
dotnet/aspnetcore,12,0.001808974781589758,0.0017925374425594,0.003602720125928508,0.00253167207540925,91.66666666666666,8.333333333333332
dotnet/maui,7,0.0022688790226077144,0.0007219942986684,0.007393908212600815,0.0030383227445675,85.71428571428571,14.285714285714285
elsa-workflows/elsa-core,8,0.009780178864836238,0.00725001063280495,0.033656314318893286,0.007305341219945499,50.0,50.0
featureform/enrichmcp,76,0.6372950298259298,0.0687501790369245,4.114662525312798,0.0179859297570338,21.052631578947366,78.94736842105263
ikamensh/flynt,1,0.0004524367892,0.0004524367892,0.0188579420746879,0.0188579420746879,100.0,0.0
marimo-team/marimo,30,0.16364568398344656,0.013317480151119651,0.017757271124245213,0.0037584396872438,13.333333333333334,86.66666666666667
marin-community/levanter,131,0.026766111050444207,0.010545171106996,0.18812489647125122,0.0411896957111229,77.86259541984732,22.137404580152673
microsoft/testfx,5,0.008531663346842421,0.0047855656704787,0.00973088674981196,0.0050988618561344,20.0,80.0
mlflow/mlflow,47,0.009738637326169192,0.0096492513872892,0.018713444815862346,0.0170249492355029,80.85106382978722,19.148936170212767
wieslawsoltes/Svg.Skia,2,0.0019735210952311,0.0019735210952311,0.0058681585709303005,0.0058681585709303005,100.0,0.0
