full_name,language,n_grid_points,n_commit_resolved,n_stale,has_pilot_dpy_designite_smells,n_inhouse_smell_rows
3rdIteration/btcrecover,Python,96,96,14,False,96
567-labs/instructor,Python,96,78,0,False,78
AgentOps-AI/agentops,Python,96,76,4,False,76
Albeoris/Memoria,C#,96,96,6,False,96
Azure/azure-cosmos-dotnet-v3,C#,96,96,0,False,96
Azure/azure-functions-core-tools,C#,96,96,1,False,96
Azure/azure-mcp,C#,96,38,10,False,38
Azure/azure-sdk-for-net,C#,96,96,0,False,0
Azure/azure-sdk-for-python,Python,96,96,0,False,0
Azure/data-api-builder,C#,96,96,0,False,96
BerriAI/litellm,Python,96,77,0,False,77
Blaizzy/mlx-vlm,Python,96,68,0,False,68
DaveSkender/Stock.Indicators,C#,96,96,6,False,96
EduardoPires/EquinoxProject,C#,96,96,76,False,96
Kiln-AI/Kiln,Python,96,62,0,False,62
MervinPraison/PraisonAI,Python,96,69,1,False,67
NethermindEth/nethermind,C#,96,96,0,False,96
NewFuture/DDNS,Python,96,96,33,False,96
OpenPipe/ART,Python,96,45,0,False,45
PriorLabs/TabPFN,Python,96,91,12,False,91
PromtEngineer/localGPT,Python,96,79,35,False,79
Significant-Gravitas/AutoGPT,Python,96,81,0,False,80
Skyvern-AI/skyvern,Python,96,70,0,False,69
TobikoData/sqlmesh,Python,96,87,1,False,87
aipotheosis-labs/aci,Python,96,58,7,False,53
airbytehq/airbyte,Python,96,96,0,True,96
alexanderjeurissen/ranger_devicons,Python,96,96,68,False,96
bentoml/BentoML,Python,96,96,0,False,94
bespokelabsai/curator,Python,96,48,9,False,48
browser-use/browser-use,Python,96,57,0,False,50
bruin-data/ingestr,Python,96,70,0,False,70
cartography-cncf/cartography,Python,96,96,0,False,96
commaai/opendbc,Python,96,96,0,False,96
crewAIInc/crewAI,Python,96,74,0,True,72
crewAIInc/crewAI-tools,Python,96,70,4,False,70
dagster-io/dagster,Python,96,96,0,False,95
dotnet/android,C#,96,96,0,False,96
dotnet/aspire,C#,96,75,0,False,75
dotnet/aspnetcore,C#,96,96,0,False,96
dotnet/docfx,C#,96,96,2,False,96
dotnet/dotnet,C#,96,84,0,False,0
dotnet/dotnet-api-docs,C#,96,96,0,False,96
dotnet/macios,C#,96,96,0,False,40
dotnet/maui,C#,96,96,0,False,96
dotnet/msbuild,C#,96,96,0,False,96
dotnet/runtime,C#,96,96,0,False,0
dotnet/sdk,C#,96,96,0,False,96
dropseed/plain,Python,96,96,0,False,96
elsa-workflows/elsa-core,C#,96,96,0,False,96
featureform/enrichmcp,Python,96,35,10,False,35
getsentry/sentry,Python,96,96,0,False,93
graphistry/pygraphistry,Python,96,96,3,False,95
ikamensh/flynt,Python,96,96,39,False,96
janbjorge/pgqueuer,Python,96,68,0,False,68
julep-ai/julep,Python,96,0,0,False,0
keephq/keep,Python,96,82,0,False,82
langbot-app/LangBot,Python,96,84,0,False,84
langchain-ai/langgraph,Python,96,76,0,False,76
mangiucugna/json_repair,Python,96,75,0,False,75
marimo-team/marimo,Python,96,76,0,False,49
microsoft/Generative-AI-for-beginners-dotnet,C#,96,51,0,False,51
microsoft/PowerToys,C#,96,96,0,False,96
microsoft/WinUI-Gallery,C#,96,96,3,False,96
microsoft/autogen,Python,96,96,8,False,94
microsoft/fluentui-blazor,C#,96,96,0,False,96
microsoft/magentic-ui,Python,96,55,0,False,55
microsoft/perfview,C#,96,96,0,False,96
microsoft/testfx,C#,96,96,0,False,96
microsoft/vstest,C#,96,96,0,False,96
mlflow/mlflow,Python,96,96,0,True,96
mrwadams/stride-gpt,Python,96,80,11,False,80
netket/netket,Python,96,96,0,False,96
nkdAgility/azure-devops-migration-tools,C#,96,96,0,False,96
onnx/onnx,Python,96,96,0,False,96
onyx-dot-app/onyx,Python,96,80,0,False,80
openai/openai-agents-python,Python,96,45,0,False,45
oraios/serena,Python,96,46,0,False,46
pardeike/Harmony,C#,96,96,13,False,96
peass-ng/PEASS-ng,C#,96,96,3,False,96
pytorch/pytorch,Python,96,96,0,False,67
reflex-dev/reflex,Python,96,85,0,False,85
roboflow/inference,Python,96,77,0,False,76
saturday06/VRM-Addon-for-Blender,Python,96,96,0,False,3
skypilot-org/skypilot,Python,96,96,0,False,2
spcl/dace,Python,96,96,0,False,96
stanford-crfm/levanter,Python,96,91,9,False,0
stanfordnlp/dspy,Python,96,83,0,False,83
syncfusion/maui-toolkit,C#,96,58,0,False,58
tinygrad/tinygrad,Python,96,96,1,False,28
ucbepic/docetl,Python,96,64,0,False,64
vllm-project/vllm,Python,96,82,0,False,82
vlm-run/vlmrun-hub,Python,96,46,12,False,39
wandb/weave,Python,96,93,0,False,86
wieslawsoltes/Dock,C#,96,96,4,True,96
wieslawsoltes/Svg.Skia,C#,96,96,4,False,96
willccbb/verifiers,Python,96,50,0,False,50
wizarrrr/wizarr,Python,96,87,43,False,87
writer/writer-framework,Python,96,94,12,False,94
zenml-io/zenml,Python,96,96,0,False,96
