source,full_name,metric,n_pre,n_post,mean_pre,mean_post,median_pre,median_post
dpy_designite,crewAIInc/crewAI,design_smell_density_per_kloc,14,15,7.876092996748094,9.708505776641395,7.175942220050786,9.738754057814193
dpy_designite,crewAIInc/crewAI,implementation_smell_density_per_kloc,14,15,77.5147985090599,79.5877501905475,77.84882561809076,79.81283781966816
dpy_designite,crewAIInc/crewAI,cyclomatic_complexity_p90,14,15,3.5,4.066666666666666,4.0,4.0
dpy_designite,airbytehq/airbyte,design_smell_density_per_kloc,37,14,21.979077312911716,14.12254304027158,20.997354349337787,13.93765110558008
dpy_designite,airbytehq/airbyte,implementation_smell_density_per_kloc,37,14,91.67883322545099,104.38829098273222,89.57392269990899,102.5632169333357
dpy_designite,airbytehq/airbyte,cyclomatic_complexity_p90,37,14,3.0,3.0,3.0,3.0
dpy_designite,mlflow/mlflow,design_smell_density_per_kloc,41,10,22.204605922145603,20.84077994980113,21.86502387673799,20.622079512949643
dpy_designite,mlflow/mlflow,implementation_smell_density_per_kloc,41,10,97.76273913048179,99.46607665458589,98.6342497203744,98.92962403990374
dpy_designite,mlflow/mlflow,cyclomatic_complexity_p90,41,10,3.024390243902439,3.7,3.0,4.0
dpy_designite,wieslawsoltes/Dock,design_smell_density_per_kloc,42,6,21.59034994519106,18.198077941352505,21.272009743057144,17.014829249639497
dpy_designite,wieslawsoltes/Dock,implementation_smell_density_per_kloc,42,6,13.399299682571225,23.83374916600506,13.106889189756851,27.892835747686494
dpy_designite,wieslawsoltes/Dock,cyclomatic_complexity_p90,42,6,3.6238095238095247,3.0,4.0,3.0
inhouse,567-labs/instructor,design_smell_density_per_kloc,43,35,0.7414083367451916,0.35419415691942985,0.6924470011718333,0.37243947858473
inhouse,567-labs/instructor,implementation_smell_density_per_kloc,43,35,0.9247555392168989,0.8422935312741249,0.8740564163686928,0.8214676889375684
inhouse,AgentOps-AI/agentops,design_smell_density_per_kloc,38,38,0.3541695614460277,0.08240015173803128,0.148944720221551,0.05076016441341055
inhouse,AgentOps-AI/agentops,implementation_smell_density_per_kloc,38,38,1.1754942214196198,1.9006561253556142,0.8685123320604606,1.9240920005672075
inhouse,Significant-Gravitas/AutoGPT,design_smell_density_per_kloc,47,33,0.3190873624396735,0.5123971073069161,0.2863057745672378,0.5038404984936198
inhouse,Significant-Gravitas/AutoGPT,implementation_smell_density_per_kloc,47,33,1.4827968803981406,1.6948169887039861,1.4873060160951876,1.7393702678897125
inhouse,airbytehq/airbyte,design_smell_density_per_kloc,59,37,0.5311650211574855,0.3410327142478859,0.4927650496243391,0.3390501894988435
inhouse,airbytehq/airbyte,implementation_smell_density_per_kloc,59,37,1.3488884696191963,1.13919984515523,1.318608867644635,1.1940048388617155
inhouse,crewAIInc/crewAI,design_smell_density_per_kloc,36,36,0.14948608613794712,0.17550130320042767,0.048887786198905894,0.21333569923440726
inhouse,crewAIInc/crewAI,implementation_smell_density_per_kloc,36,36,1.1733750108480718,1.2084588434971377,0.9808294061442058,1.1906667395923987
inhouse,crewAIInc/crewAI-tools,design_smell_density_per_kloc,16,38,1.051116923429102,1.1628605307620037,1.1418783899514702,1.0947235463530336
inhouse,crewAIInc/crewAI-tools,implementation_smell_density_per_kloc,16,38,1.27252095318339,2.1847201188849454,1.424305034083512,2.140040083813697
inhouse,featureform/enrichmcp,design_smell_density_per_kloc,0,11,,0.0,,0.0
inhouse,featureform/enrichmcp,implementation_smell_density_per_kloc,0,11,,0.6946856547412297,,0.6946856547412296
inhouse,ikamensh/flynt,design_smell_density_per_kloc,64,32,0.3305232120111885,0.21852621516936874,0.35737363044290765,0.1660302174995849
inhouse,ikamensh/flynt,implementation_smell_density_per_kloc,64,32,0.46743990973753535,0.45663131668193274,0.3636363636363636,0.4980906524987548
inhouse,marimo-team/marimo,design_smell_density_per_kloc,38,11,0.10647029944711826,0.11230492015630862,0.11386195944120794,0.1103471106298751
inhouse,marimo-team/marimo,implementation_smell_density_per_kloc,38,11,0.5992718687665172,0.5803165995841411,0.6042257436920077,0.5985117009037527
inhouse,marin-community/levanter,design_smell_density_per_kloc,59,32,0.16914076702480718,0.19173148753463976,0.1699895577843075,0.1841281531946234
inhouse,marin-community/levanter,implementation_smell_density_per_kloc,59,32,0.9372865271927138,0.894534510651146,1.0634710658055146,0.9052967532068988
inhouse,mlflow/mlflow,design_smell_density_per_kloc,63,33,0.03748308888918157,0.044227130099765054,0.0360025201764123,0.0425326438041196
inhouse,mlflow/mlflow,implementation_smell_density_per_kloc,63,33,0.5056697323684607,0.6241686729425441,0.5010401339489573,0.6170427689258214
