arch_smell_count_chunk_scoped,class_loc_p50,class_loc_p90,commit_sha,cyclomatic_complexity_p50,cyclomatic_complexity_p90,design_smell_count,design_smell_density_per_kloc,full_name,implementation_smell_count,implementation_smell_density_per_kloc,language,method_loc_p50,method_loc_p90,n_chunks,n_classes,n_methods,repo_id,status,target_date,test_smell_count,testability_smell_count,total_loc,track,intervention_date,dosage_agent_pr_count,months_since_intervention,post
16,6.0,42.0,99a2ae60805ef824c7a9c184cc96b6bda600d988,1.0,3.0,1288,29.21098587077314,airbytehq/airbyte,3262,73.97999682489284,Python,4.0,16.0,131,1811,5333,283046497.0,ok,2022-01-01 00:00:00+00:00,,,44093,A1,2025-01-21 21:53:59+00:00,218,-36.698995952268305,0
16,6.0,43.0,1bc544a9fb76ca6b86805320181b0743de1a5b6e,1.0,3.0,1356,29.04199952881712,airbytehq/airbyte,3466,74.23272150949863,Python,5.0,16.0,137,1891,5595,283046497.0,ok,2022-02-01 00:00:00+00:00,,,46691,A1,2025-01-21 21:53:59+00:00,218,-35.68049203595647,0
19,6.0,44.0,a46b8853569af060bafabe680e2816844e754eff,1.0,3.0,1423,28.273395589111864,airbytehq/airbyte,3815,75.79972183588316,Python,5.0,16.0,138,1954,5946,283046497.0,ok,2022-03-01 00:00:00+00:00,,,50330,A1,2025-01-21 21:53:59+00:00,218,-34.76055301477159,0
20,6.0,45.0,f6428642209698368248e97d30d5602b9f7e8e7f,1.0,3.0,1508,27.870700648714585,airbytehq/airbyte,4321,79.86027685881679,Python,5.0,16.0,140,2012,6355,283046497.0,ok,2022-04-01 00:00:00+00:00,,,54107,A1,2025-01-21 21:53:59+00:00,218,-33.74204909845976,0
24,6.0,45.0,18f59bfc9a7cf8364f12c0eb2e74c3346307b078,1.0,3.0,1573,27.15111763182877,airbytehq/airbyte,4581,79.0713730905325,Python,5.0,16.0,144,2086,6769,283046497.0,ok,2022-05-01 00:00:00+00:00,,,57935,A1,2025-01-21 21:53:59+00:00,218,-32.75640014719024,0
33,6.0,46.0,5f0f106cb640d49ad1b3e0f37aeb99f98d72dbfb,1.0,3.0,1624,26.724591890468663,airbytehq/airbyte,4972,81.81937862032649,Python,5.0,16.0,145,2103,7169,283046497.0,ok,2022-06-01 00:00:00+00:00,,,60768,A1,2025-01-21 21:53:59+00:00,218,-31.73789623087841,0
37,6.0,46.0,2a93dc1ec4c1a274e87941204bfa5995717329e9,1.0,3.0,1749,26.551896889374685,airbytehq/airbyte,5477,83.14736378679541,Python,5.0,16.0,160,2214,7762,283046497.0,ok,2022-07-01 00:00:00+00:00,,,65871,A1,2025-01-21 21:53:59+00:00,218,-30.75224727960889,0
39,7.0,47.0,67333aa3bca19cb0b3f4ab82dd4663c985c63630,1.0,3.0,1848,26.12641906889288,airbytehq/airbyte,5919,83.68088445280138,Python,5.0,16.0,167,2310,8317,283046497.0,ok,2022-08-01 00:00:00+00:00,,,70733,A1,2025-01-21 21:53:59+00:00,218,-29.73374336329706,0
42,7.0,47.0,827e7a55ac21afd029cecbb8f7f2a08dba70d516,1.0,3.0,1874,24.91126856049025,airbytehq/airbyte,6369,84.66375104683159,Python,5.0,16.0,181,2356,8788,283046497.0,ok,2022-09-01 00:00:00+00:00,,,75227,A1,2025-01-21 21:53:59+00:00,218,-28.715239446985226,0
43,7.0,48.0,aaa94f1cbc07bdd8fc8908e9dd1a1bca2038ba36,1.0,3.0,2014,24.60298069875397,airbytehq/airbyte,6909,84.40019545565599,Python,5.0,16.0,192,2494,9325,283046497.0,ok,2022-10-01 00:00:00+00:00,,,81860,A1,2025-01-21 21:53:59+00:00,218,-27.729590495715712,0
