full_name,metric,n_pre,n_post,mean_pre,mean_post,pct_change,mannwhitney_u,p,cliffs_delta,magnitude
airbytehq/airbyte,design_smell_density_per_kloc,37,14,21.979077312911716,14.12254304027158,-35.745514521780116,518.0,4.866268393877553e-08,1.0,large
airbytehq/airbyte,implementation_smell_density_per_kloc,37,14,91.67883322545099,104.38829098273222,13.863023023020926,88.0,0.00031978321730195667,-0.6602316602316602,large
crewAIInc/crewAI,design_smell_density_per_kloc,14,15,7.876092996748094,9.708505776641395,23.265504618214564,21.0,0.000268184369812258,-0.8,large
crewAIInc/crewAI,implementation_smell_density_per_kloc,14,15,77.5147985090599,79.5877501905475,2.674265716172002,67.0,0.10170693003109327,-0.3619047619047619,medium
mlflow/mlflow,design_smell_density_per_kloc,41,10,22.204605922145603,20.84077994980113,-6.142085912834283,310.0,0.013167375987980996,0.5121951219512195,large
mlflow/mlflow,implementation_smell_density_per_kloc,41,10,97.76273913048179,99.46607665458589,1.7423177166002815,124.0,0.05615612922438761,-0.3951219512195122,medium
wieslawsoltes/Dock,design_smell_density_per_kloc,42,6,21.59034994519106,18.198077941352505,-15.711982494263072,220.0,0.0034762181210254537,0.746031746031746,large
wieslawsoltes/Dock,implementation_smell_density_per_kloc,42,6,13.399299682571225,23.83374916600506,77.87309583803219,9.0,0.00027161260008960595,-0.9285714285714286,large
airbytehq/airbyte,design_share_of_smells,37,14,0.19551818523750192,0.11927208102136812,-38.99693735573258,517.0,5.478967839436128e-08,0.9961389961389961,large
crewAIInc/crewAI,design_share_of_smells,14,15,0.09197628264589539,0.10848946175525472,17.953736152758356,22.0,0.0003174895656931951,-0.7904761904761904,large
mlflow/mlflow,design_share_of_smells,41,10,0.18495743880317697,0.17329413017129486,-6.305941900662702,322.0,0.00571143470071815,0.5707317073170731,large
wieslawsoltes/Dock,design_share_of_smells,42,6,0.6167199095572448,0.44176573809731656,-28.368497392200492,235.0,0.0006808902159830857,0.8650793650793651,large
