repo_id,full_name,language,n_lineages,n_file_errors,elapsed_seconds
653589102.0,567-labs/instructor,Python,632,0,34.5
679017521.0,AgentOps-AI/agentops,Python,918,0,25.9
4127088.0,Azure/azure-sdk-for-python,Python,981,0,94.5
614765452.0,Significant-Gravitas/AutoGPT,Python,1975,0,38.9
283046497.0,airbytehq/airbyte,Python,1096,0,171.0
881458615.0,browser-use/browser-use,Python,2698,0,754.0
710601088.0,crewAIInc/crewAI,Python,1376,0,34.6
742063678.0,crewAIInc/crewAI-tools,Python,871,0,68.5
696529789.0,dotnet/aspire,C#,260,0,57.7
17620347.0,dotnet/aspnetcore,C#,852,0,108.7
262395224.0,dotnet/maui,C#,1141,0,81.6
151148482.0,elsa-workflows/elsa-core,C#,242,0,62.7
958026130.0,featureform/enrichmcp,Python,402,0,12.6
174731004.0,ikamensh/flynt,Python,82,0,13.6
781914762.0,julep-ai/julep,Python,2768,0,19.6
678526156.0,marimo-team/marimo,Python,337,0,36.1
496005961.0,marin-community/levanter,Python,2689,0,75.8
65080725.0,microsoft/testfx,C#,6265,0,43.9
136202695.0,mlflow/mlflow,Python,749,0,63.9
134182879.0,wieslawsoltes/Dock,C#,458,0,37.5
216883277.0,wieslawsoltes/Svg.Skia,C#,780,0,39.0
