full_name,language,n_lineages,n_pre_only,n_post_created,n_spans,mean_mod_pre_only,mean_churn_pre_only,mean_mod_post_created,mean_churn_post_created,mean_mod_spans,mean_churn_spans
567-labs/instructor,Python,1206,142,1040,24,1.176,0.192,1.195,0.127,3.625,0.19
AgentOps-AI/agentops,Python,1161,12,1147,2,1.0,0.257,1.14,0.124,2.0,0.833
Azure/azure-sdk-for-python,Python,1146,342,743,61,1.86,0.195,1.024,0.204,2.869,0.171
Significant-Gravitas/AutoGPT,Python,1771,295,1406,70,1.024,0.206,1.194,0.138,3.3,0.14
airbytehq/airbyte,Python,989,532,408,49,1.776,0.234,1.091,0.112,3.551,0.354
browser-use/browser-use,Python,1482,250,1139,93,1.568,0.215,1.594,0.136,11.247,0.321
crewAIInc/crewAI,Python,1527,0,1527,0,,,1.311,0.135,,
crewAIInc/crewAI-tools,Python,1044,136,799,109,1.404,0.199,1.244,0.141,5.303,0.534
dotnet/aspire,C#,1361,271,1028,62,1.69,0.172,1.81,0.144,10.5,0.306
dotnet/aspnetcore,C#,1014,949,51,14,1.205,0.157,1.0,0.08,4.857,0.166
dotnet/maui,C#,920,736,134,50,1.295,0.18,1.164,0.136,5.68,0.353
elsa-workflows/elsa-core,C#,562,290,249,23,1.59,0.377,1.145,0.212,7.913,0.24
featureform/enrichmcp,Python,402,94,223,85,1.021,0.138,1.798,0.238,3.012,0.171
ikamensh/flynt,Python,82,24,56,2,1.042,0.238,1.161,0.18,2.0,0.117
julep-ai/julep,Python,2464,0,2464,0,,,1.192,0.198,,
marimo-team/marimo,Python,1204,141,966,97,1.468,0.242,1.335,0.166,5.155,0.312
marin-community/levanter,Python,2663,1682,777,204,1.664,0.239,1.598,0.191,5.975,0.243
microsoft/testfx,C#,6555,5884,585,86,1.017,0.203,1.427,0.229,5.558,0.631
mlflow/mlflow,Python,1716,685,929,102,1.888,0.226,1.471,0.159,4.745,0.372
wieslawsoltes/Dock,C#,678,62,607,9,1.258,0.176,1.463,0.172,7.444,0.099
wieslawsoltes/Svg.Skia,C#,1542,127,1301,114,1.268,0.18,1.224,0.142,3.263,0.333
