repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_lcom_sampled,class_loc_p50,class_loc_p90,method_loc_p50,method_loc_p90,cyclomatic_complexity_p50,cyclomatic_complexity_p90,pc_p50,pc_p90,wmc_p50,wmc_p90,lcom_p50,lcom_p90,dit_p50,dit_p90,fan_in_p50,fan_in_p90,fan_out_p50,fan_out_p90,status
967503541.0,Azure/azure-mcp,C#,A1,2025-05-01T00:00:00+00:00,6b24ba36cae9d391cc9bd64bec814037aa5b755e,9261,147,0,154,438,0,32,122,8,31.30000000000001,1,4,0,3,2.5,12,0,24.500000000000085,1,4,1,5,1,6,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-06-01T00:00:00+00:00,650e9d93a09c58ae4404b2a14cf32566ccb4c42c,20588,307,0,340,718,0,24,130.10000000000002,15,34,1,4,1,3,2,10.100000000000023,0,6,1,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-07-01T00:00:00+00:00,49fc1fa1f43d419937ed2c2ae2b2b5fbcfec2b7c,34926,452,0,480,1141,0,26,152.60000000000014,16,38,1,4,1,3,2,12,0,6,0,4,1,4,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-08-01T00:00:00+00:00,aa4f8f06fd01a924c8364b649c4b831223f1fd77,62686,750,0,762,1978,0,30,175,17,41,1,4,0,2,2,12,0,6,0,4,1,4,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-09-01T00:00:00+00:00,f7a3323e24328f6502078bbcf33cec595ac2c538,91695,1061,0,1096,2874,0,30,179,17,41.70000000000027,1,4,0,2,2,13,0,6,0,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-10-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,0,30,179,17,41.70000000000027,1,4,0,2,2,13,0,6,0,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-11-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,0,30,179,17,41.70000000000027,1,4,0,2,2,13,0,6,0,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-12-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,0,30,179,17,41.70000000000027,1,4,0,2,2,13,0,6,0,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2026-01-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,0,30,179,17,41.70000000000027,1,4,0,2,2,13,0,6,0,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2026-02-01T00:00:00+00:00,54f04ab1ade20b4adc4955cffea0833788307596,91695,1061,0,1096,2874,0,30,179,17,41.70000000000027,1,4,0,2,2,13,0,6,0,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A1,2026-03-01T00:00:00+00:00,54f04ab1ade20b4adc4955cffea0833788307596,91695,1061,0,1096,2874,0,30,179,17,41.70000000000027,1,4,0,2,2,13,0,6,0,4,1,3,1,7,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-04-21T18:11:20+00:00,037285a4ea680f590c7d05bc0d6d1ef2a2a84d88,9311,147,0,153,463,0,32,129.40000000000003,7,31,1,4,1,3,3,12.800000000000011,0,24,1,4,1,5,1,6,ok
