repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_lcom_sampled,class_loc_p50,class_loc_p90,method_loc_p50,method_loc_p90,cyclomatic_complexity_p50,cyclomatic_complexity_p90,pc_p50,pc_p90,wmc_p50,wmc_p90,lcom_p50,lcom_p90,dit_p50,dit_p90,fan_in_p50,fan_in_p90,fan_out_p50,fan_out_p90,status
671269505.0,BerriAI/litellm,Python,A1,2023-08-01T00:00:00+00:00,929b6959a0787f1efe2f279d7de78fbb1e7564a5,1221,10,0,1,23,0,167.0,167.0,28.0,56.000000000000014,8.0,16.0,3.0,6.800000000000001,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
671269505.0,BerriAI/litellm,Python,A1,2023-09-01T00:00:00+00:00,4ce5e8e66d202b4b93eaf13d6cb1b219a23de8bb,8072,65,0,39,209,0,13.0,142.4,10.0,59.20000000000019,2.0,8.0,1.0,5.0,3.0,25.80000000000001,0.0,1.2000000000000028,0.0,1.0,0.0,1.0,0.0,2.0,ok
671269505.0,BerriAI/litellm,Python,A1,2023-10-01T00:00:00+00:00,45983a3074a643b26a46bbbf983696923085f465,15725,92,0,54,381,0,9.0,102.30000000000003,11.0,70.0,2.0,8.0,1.0,5.0,1.0,12.100000000000009,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,ok
671269505.0,BerriAI/litellm,Python,A1,2023-11-01T00:00:00+00:00,4d9575643207f2f5e505e541b91e73317fc592fc,22424,114,0,89,554,0,13.0,103.4,13.0,62.39999999999998,2.0,9.0,1.0,6.0,4.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,ok
671269505.0,BerriAI/litellm,Python,A1,2023-12-01T00:00:00+00:00,50877b1b383d6d9d4983f7ff1e0c2898c9d8704c,29859,127,0,105,760,0,28.0,107.40000000000003,15.0,60.0,2.0,9.100000000000023,1.0,6.0,7.0,13.400000000000034,0.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-01-01T00:00:00+00:00,d71f89aac34d71a65b5c682ca1586c1bee300c63,54393,183,0,148,1151,0,34.5,173.4000000000001,19.0,68.0,2.0,9.0,1.0,5.0,7.0,27.30000000000001,0.0,12.200000000000045,0.0,1.0,0.0,2.0,0.0,3.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-02-01T00:00:00+00:00,eae99ea8b49c7094a079345f60acf892fe322577,67280,214,0,173,1394,0,34.0,200.00000000000006,21.0,74.70000000000005,2.0,9.0,1.0,5.0,6.0,32.80000000000001,0.0,15.0,0.0,1.0,0.0,2.8000000000000114,0.0,3.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-03-01T00:00:00+00:00,02c3955c5193c7bf467ad5ba25fd8246116c712f,79190,243,0,212,1607,0,27.0,194.3000000000001,21.0,76.0,3.0,9.0,1.0,5.0,4.5,32.900000000000006,0.0,15.0,0.0,1.0,0.0,2.0,0.0,3.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-04-01T00:00:00+00:00,c0336d3f40deb3d3017e143ade99047f1c1980ae,92141,284,0,251,1894,0,27.0,196.0,21.0,76.0,3.0,9.0,1.0,5.0,4.0,37.0,0.0,15.0,0.0,1.0,0.0,3.0,0.0,3.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-05-01T00:00:00+00:00,ce1817380e3412081f0991afac752ce5b7432b69,106974,310,0,289,2215,0,27.0,236.39999999999986,21.0,77.0,3.0,10.0,1.0,5.0,4.0,39.19999999999999,0.0,15.0,0.0,1.0,0.0,3.0,0.0,4.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-06-01T00:00:00+00:00,96adae900fa6e0d1a67136d7c5065376510b82d2,133245,355,0,420,2764,0,20.0,163.5000000000001,22.0,80.0,2.0,10.0,1.0,5.0,2.0,26.200000000000045,0.0,15.0,0.0,1.0,0.0,3.0,0.0,4.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-07-01T00:00:00+00:00,46fe08920409816e631956cf0ad88021d132ca6a,158340,505,0,621,3436,0,15.0,138.0,20.0,76.0,2.0,9.0,1.0,6.0,2.0,24.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,3.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-08-01T00:00:00+00:00,5e2117feaed52f0f56fe0df005651b247ebf532c,178271,556,0,720,3832,0,15.0,138.60000000000014,21.0,77.0,2.0,9.0,1.0,6.0,2.0,25.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,3.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-09-01T00:00:00+00:00,54b60a9afd4c57cb611d51d8c3cbfbcb238f5482,200733,625,0,810,4261,0,14.0,158.10000000000002,22.0,79.0,2.0,9.0,1.0,6.0,1.0,26.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,4.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-10-01T00:00:00+00:00,2a7e1e970d94c5ba7207f6c9c0ad4885afcca69e,221862,722,0,882,4679,0,14.0,167.39999999999986,22.0,79.0,2.0,9.0,1.0,6.0,1.0,26.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,4.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-11-01T00:00:00+00:00,b73039b28337c04ac87eea8e0be11186f142f38f,242737,812,0,966,5296,0,14.0,173.0,22.0,76.0,2.0,9.0,1.0,5.0,1.0,26.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0,4.0,ok
671269505.0,BerriAI/litellm,Python,A1,2024-12-01T00:00:00+00:00,bd59f18809e1aac7c913e38a3e0411bd130336f7,261629,891,0,1049,5787,0,14.0,183.20000000000005,22.0,75.0,2.0,8.0,1.0,5.0,1.0,26.0,0.0,10.200000000000045,0.0,1.0,0.0,3.0,0.0,5.0,ok
