repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_lcom_sampled,class_loc_p50,class_loc_p90,method_loc_p50,method_loc_p90,cyclomatic_complexity_p50,cyclomatic_complexity_p90,pc_p50,pc_p90,wmc_p50,wmc_p90,lcom_p50,lcom_p90,dit_p50,dit_p90,fan_in_p50,fan_in_p90,fan_out_p50,fan_out_p90,status
881458615.0,browser-use/browser-use,Python,A1,2024-11-01T00:00:00+00:00,8b2404479ee34b00b3f47edb36c5250a791db539,384,7,0,5,23,0,38.0,70.60000000000001,7.0,25.800000000000004,1.0,4.600000000000001,1.0,1.8000000000000007,4.0,12.8,1.0,13.200000000000001,0.0,0.0,1.0,1.0,0.0,1.8000000000000003,ok
881458615.0,browser-use/browser-use,Python,A1,2024-12-01T00:00:00+00:00,1db4cf8dda2004ecd3b45bb476226395c8dcf858,5400,49,0,65,236,0,5.0,95.0,10.0,31.5,1.0,5.0,1.0,2.0,0.0,11.200000000000003,0.0,6.000000000000007,0.0,1.0,1.0,3.6000000000000014,0.0,3.6000000000000014,ok
881458615.0,browser-use/browser-use,Python,A1,2025-01-01T00:00:00+00:00,ecce85ca73fcb2371c404b741ee9d9a27b7e47fc,7253,58,0,63,268,0,6.0,128.80000000000004,10.0,38.900000000000034,1.0,6.0,1.0,2.0,0.0,17.400000000000013,0.0,6.800000000000026,0.0,1.0,1.0,4.0,0.0,4.0,ok
881458615.0,browser-use/browser-use,Python,A1,2025-02-01T00:00:00+00:00,2d658b0d6a9c4f1e086edd6c977ef6e6b32473c3,9987,88,0,77,365,0,7.0,127.40000000000003,10.0,40.60000000000002,1.0,6.0,1.0,2.0,0.0,17.00000000000003,0.0,6.200000000000017,0.0,1.0,1.0,4.0,0.0,4.400000000000006,ok
881458615.0,browser-use/browser-use,Python,A1,2025-03-01T00:00:00+00:00,f4065dd1a2c8d056a1c197a37c550d1522f8ee78,12585,115,0,88,441,0,8.0,120.69999999999992,11.0,43.0,1.0,6.0,1.0,2.0,0.0,15.799999999999983,0.0,1.0,0.0,0.29999999999999716,1.0,4.0,0.0,4.0,ok
881458615.0,browser-use/browser-use,Python,A1,2025-04-01T00:00:00+00:00,ca0c6fdd0dca6a1f26405e35120ee624d53c5f63,16292,133,0,108,522,0,7.0,151.7999999999999,12.0,44.0,1.0,7.0,1.0,2.0,0.0,19.299999999999997,0.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,ok
881458615.0,browser-use/browser-use,Python,A1,2025-05-01T00:00:00+00:00,3d89b12cb9c0218740f40a66eb6fee80df7d2dd4,20412,150,0,113,626,0,8.0,195.79999999999993,12.5,49.5,2.0,7.0,1.0,3.0,0.0,19.799999999999997,0.0,7.999999999999986,0.0,0.0,1.0,4.0,0.0,4.0,ok
881458615.0,browser-use/browser-use,Python,A1,2025-08-01T00:00:00+00:00,7d0b2f411c3a56ef0ea6cb2f259eccc0e15c23cd,52449,243,0,266,1503,0,38.0,269.5,17.0,60.0,1.0,8.0,1.0,2.0,3.0,32.5,0.0,34.5,0.0,1.0,1.0,5.0,1.0,6.0,ok
881458615.0,browser-use/browser-use,Python,A1,2025-09-01T00:00:00+00:00,a35707153fe33ad1985fdfbc32a182dd1844e4bf,52879,217,0,294,1432,0,21.5,277.2999999999999,16.0,63.90000000000009,2.0,9.0,1.0,3.0,2.0,39.39999999999998,0.0,28.0,0.0,1.0,1.0,6.0,0.0,6.0,ok
881458615.0,browser-use/browser-use,Python,A1,2025-10-01T00:00:00+00:00,5552212429985c90da9ced19b54f856ebf59dc50,60692,247,0,317,1625,0,24.0,288.4000000000002,17.0,64.60000000000014,2.0,9.0,1.0,3.0,2.0,40.80000000000007,0.0,28.0,0.0,1.0,1.0,6.0,0.0,6.0,ok
