repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_lcom_sampled,class_loc_p50,class_loc_p90,method_loc_p50,method_loc_p90,cyclomatic_complexity_p50,cyclomatic_complexity_p90,pc_p50,pc_p90,wmc_p50,wmc_p90,lcom_p50,lcom_p90,dit_p50,dit_p90,fan_in_p50,fan_in_p90,fan_out_p50,fan_out_p90,status
617269166.0,dropseed/plain,Python,A1,2022-01-01T00:00:00+00:00,4400d8568ad5695c46e8de45635a82a27a26b871,387624,2728,1,6748,25464,0,10.0,106.0,7.0,23.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-02-01T00:00:00+00:00,71e7c8e73712419626f1c2b6ec036e8559a2d667,389503,2732,1,6763,25568,0,10.0,107.0,7.0,23.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-03-01T00:00:00+00:00,119f227aa62885f12cd7dd2558a62148d02adbb4,437621,2737,1,6778,25675,0,10.0,118.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-04-01T00:00:00+00:00,ae506181f7fb9d9e74f4935686540bef29b60255,439427,2741,1,6792,25776,0,10.0,118.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-05-01T00:00:00+00:00,1b3a949ba26ca8fefde7fa224e11c4aadbbdd724,440938,2747,1,6803,25876,0,10.0,118.80000000000018,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-06-01T00:00:00+00:00,ebf25555bbed3e9112d4b726575d60b242daf48a,443522,2748,1,6827,25988,0,10.0,119.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-07-01T00:00:00+00:00,02561f31284f280d2a54b8443863d4d3205a7143,87,8,0,1,3,0,2.0,2.0,12.0,28.0,2.0,6.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok
617269166.0,dropseed/plain,Python,A1,2022-08-01T00:00:00+00:00,d38324edc840049d42c3454b9487ac370aab5ee9,445416,2749,1,6833,26079,0,10.0,120.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-09-01T00:00:00+00:00,cb06f5ef8c80fc6a610db0fc36fb9dc7c625335a,446694,2750,1,6838,26134,0,10.0,120.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-10-01T00:00:00+00:00,5e0aa362d91d000984995ce374c2d7547d8d107f,447565,2751,1,6845,26184,0,10.0,120.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-11-01T00:00:00+00:00,2bc47d7fe95ec9fc62bc5c0d2408944e5269d9d0,448143,2751,1,6848,26230,0,10.0,120.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2022-12-01T00:00:00+00:00,e20fd899be87cf70ed5c4372c7b2ee634da1453a,449656,2754,1,6859,26314,0,10.0,120.0,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2023-01-01T00:00:00+00:00,c179ad9fe7e82dcb80261aa016f2fe18c8fcc181,451667,2755,1,6875,26405,0,10.0,120.60000000000036,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
617269166.0,dropseed/plain,Python,A1,2023-02-01T00:00:00+00:00,88258b73c656a3915471eb57669b6ab9b337838c,147,6,0,0,8,0,,,8.5,25.499999999999996,2.0,4.199999999999999,0.5,2.3,,,,,,,,,,,ok
617269166.0,dropseed/plain,Python,A1,2023-03-01T00:00:00+00:00,498bff949925c672bcef17261e59316ef9b0bc6f,450517,2745,1,6872,26413,0,10.0,120.90000000000055,8.0,27.0,1.0,3.0,0.0,2.0,1.0,14.0,0.0,3.0,2.0,5.0,1.0,9.0,1.0,5.0,ok
