repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
967503541.0,Azure/azure-mcp,C#,A1,2025-05-01T00:00:00+00:00,6b24ba36cae9d391cc9bd64bec814037aa5b755e,9261,147,0,154,438,2,11,20,8,0,13,1.4037360976136488,28,3.0234315948601664,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-06-01T00:00:00+00:00,650e9d93a09c58ae4404b2a14cf32566ccb4c42c,20588,307,0,340,718,12,59,39,12,0,71,3.448610841266757,51,2.4771711676704875,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-07-01T00:00:00+00:00,49fc1fa1f43d419937ed2c2ae2b2b5fbcfec2b7c,34926,452,0,480,1141,8,80,54,22,0,88,2.519612895836912,76,2.176029319131879,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-08-01T00:00:00+00:00,aa4f8f06fd01a924c8364b649c4b831223f1fd77,62686,750,0,762,1978,24,180,112,29,0,204,3.2543151580895255,141,2.249306065150113,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-09-01T00:00:00+00:00,f7a3323e24328f6502078bbcf33cec595ac2c538,91695,1061,0,1096,2874,30,264,128,55,0,294,3.206281694748896,183,1.9957467691804354,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-10-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,30,264,128,55,0,294,3.206281694748896,183,1.9957467691804354,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-11-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,30,264,128,55,0,294,3.206281694748896,183,1.9957467691804354,ok
967503541.0,Azure/azure-mcp,C#,A1,2025-12-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,30,264,128,55,0,294,3.206281694748896,183,1.9957467691804354,ok
967503541.0,Azure/azure-mcp,C#,A1,2026-01-01T00:00:00+00:00,b8fb975d73fb120aceeb1ea271c64751fd3f11b2,91695,1061,0,1096,2874,30,264,128,55,0,294,3.206281694748896,183,1.9957467691804354,ok
967503541.0,Azure/azure-mcp,C#,A1,2026-02-01T00:00:00+00:00,54f04ab1ade20b4adc4955cffea0833788307596,91695,1061,0,1096,2874,30,264,128,55,0,294,3.206281694748896,183,1.9957467691804354,ok
967503541.0,Azure/azure-mcp,C#,A1,2026-03-01T00:00:00+00:00,54f04ab1ade20b4adc4955cffea0833788307596,91695,1061,0,1096,2874,30,264,128,55,0,294,3.206281694748896,183,1.9957467691804354,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-04-21T18:11:20+00:00,037285a4ea680f590c7d05bc0d6d1ef2a2a84d88,9311,147,0,153,463,1,11,19,8,0,12,1.288798195682526,27,2.8997959402856837,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-04-28T18:11:20+00:00,d6d21accf87aa9980e217edd72a18c6d2286212d,9268,147,0,154,438,2,11,20,8,0,13,1.4026758739749676,28,3.021148036253776,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-05-05T18:11:20+00:00,78e9622bfc58c451d48e36d05e77cb84b7fbab4e,11032,172,0,189,508,3,13,21,7,0,16,1.4503263234227701,28,2.5380710659898478,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-05-12T18:11:20+00:00,e20c354f6e4bf4af8b0cf389d20208830f79d303,17167,259,0,291,809,4,17,38,8,0,21,1.2232772179180986,46,2.679559620201549,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-05-19T18:11:20+00:00,105af3129dab2c6165f56b2eaef20155d6b32a51,18478,270,0,303,740,8,45,35,8,0,53,2.868275787422881,43,2.3270916765883753,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-05-26T18:11:20+00:00,e2e20fb88bfffab85fbcca2f60dfe1cfafe8296c,21267,304,0,337,823,10,55,38,12,0,65,3.0563784266704284,50,2.351060328208022,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-06-02T18:11:20+00:00,d72487faf78ea29a0145aae9cb14bc48ed051945,20638,307,0,340,718,12,59,39,12,0,71,3.440255838744064,51,2.471169686985173,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-06-09T18:11:20+00:00,f33ecedc181f81c62922d3d54138a9647ae59cfa,22209,316,0,359,755,13,65,41,13,0,78,3.5120896933675536,54,2.4314467107929216,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-06-16T18:11:20+00:00,36d59ba6c8c502520b08e3a8ed6d3268b98796ad,24018,335,0,381,812,18,68,40,15,0,86,3.5806478474477474,55,2.2899492047630945,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-06-23T18:11:20+00:00,bad838c2ca7ed365eed0b59762c25bd87de27585,27548,387,0,422,928,9,70,47,17,0,79,2.86772179468564,64,2.3232176564541893,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-06-30T18:11:20+00:00,f95934d0ec40d037d8477c6c9d5f89c5d6ec4d02,34922,452,0,480,1141,8,80,54,22,0,88,2.5199014947597504,76,2.1762785636561484,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-07-07T18:11:20+00:00,f8d4e60ad5dc71a966e9960d0c5e7aa6fb305f84,37072,481,0,509,1193,9,87,70,23,0,96,2.589555459646094,93,2.5086318515321535,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-07-14T18:11:20+00:00,aeca4f1827432acb114ecffdb343315d06ac319f,43258,542,0,560,1436,20,91,76,23,0,111,2.5659993527208838,99,2.288594017291599,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-07-21T18:11:20+00:00,3a815af2bae9d6f8301825dab6bdea0e7e498f11,50196,624,0,655,1615,24,116,84,24,0,140,2.7890668579169655,108,2.151565861821659,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-07-28T18:11:20+00:00,bc407f2d27c2f0d11119da08e14364193b26f8c4,60898,738,0,728,1926,24,166,111,26,0,190,3.1199710992150806,137,2.2496633715392953,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-08-04T18:11:20+00:00,0cc92300d3054838bae2b4f939d18b2817f90ca4,63388,754,0,766,1995,24,181,112,28,0,205,3.234050608948066,140,2.208619928062094,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-08-11T18:11:20+00:00,da4903f74cb5134eb3f904f7e18736b82c6ba856,73837,832,0,854,2333,23,202,119,41,0,225,3.04725273236995,160,2.1669352763519645,ok
967503541.0,Azure/azure-mcp,C#,A2,2025-08-18T18:11:20+00:00,b46d7813dde1f5d1081d470b3ce6b0cba5208a39,77413,887,0,904,2447,23,214,111,43,0,237,3.0615012982315633,154,1.9893299575006782,ok
