repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
671269505.0,BerriAI/litellm,Python,A1,2023-08-01T00:00:00+00:00,929b6959a0787f1efe2f279d7de78fbb1e7564a5,1221,10,0,1,7,0,0,0,0,0,0,0.0,0,0.0,ok
671269505.0,BerriAI/litellm,Python,A1,2023-09-01T00:00:00+00:00,4ce5e8e66d202b4b93eaf13d6cb1b219a23de8bb,8072,65,0,39,98,0,0,0,10,0,0,0.0,10,1.2388503468780971,ok
671269505.0,BerriAI/litellm,Python,A1,2023-10-01T00:00:00+00:00,45983a3074a643b26a46bbbf983696923085f465,15725,92,0,54,119,1,0,0,22,0,1,0.06359300476947535,22,1.399046104928458,ok
671269505.0,BerriAI/litellm,Python,A1,2023-11-01T00:00:00+00:00,4d9575643207f2f5e505e541b91e73317fc592fc,22424,114,0,89,195,0,0,0,17,0,0,0.0,17,0.7581163039600428,ok
671269505.0,BerriAI/litellm,Python,A1,2023-12-01T00:00:00+00:00,50877b1b383d6d9d4983f7ff1e0c2898c9d8704c,29859,127,0,105,311,4,0,0,37,0,4,0.13396295924176965,37,1.2391573729863692,ok
671269505.0,BerriAI/litellm,Python,A1,2024-01-01T00:00:00+00:00,d71f89aac34d71a65b5c682ca1586c1bee300c63,54393,183,0,148,457,4,0,0,64,0,4,0.07353887448752597,64,1.1766219918004155,ok
671269505.0,BerriAI/litellm,Python,A1,2024-02-01T00:00:00+00:00,eae99ea8b49c7094a079345f60acf892fe322577,67280,214,0,173,519,5,0,1,86,0,5,0.07431629013079667,87,1.293103448275862,ok
671269505.0,BerriAI/litellm,Python,A1,2024-03-01T00:00:00+00:00,02c3955c5193c7bf467ad5ba25fd8246116c712f,79190,243,0,212,615,5,0,1,97,0,5,0.06313928526329082,98,1.2375299911605,ok
671269505.0,BerriAI/litellm,Python,A1,2024-04-01T00:00:00+00:00,c0336d3f40deb3d3017e143ade99047f1c1980ae,92141,284,0,251,732,5,1,3,114,0,6,0.0651175915173484,117,1.269793034588294,ok
671269505.0,BerriAI/litellm,Python,A1,2024-05-01T00:00:00+00:00,ce1817380e3412081f0991afac752ce5b7432b69,106974,310,0,289,903,6,1,6,137,0,7,0.0654364611961785,143,1.3367734215790752,ok
671269505.0,BerriAI/litellm,Python,A1,2024-06-01T00:00:00+00:00,96adae900fa6e0d1a67136d7c5065376510b82d2,133245,355,0,420,1164,7,2,9,183,0,9,0.06754474839581222,192,1.4409546324439941,ok
671269505.0,BerriAI/litellm,Python,A1,2024-07-01T00:00:00+00:00,46fe08920409816e631956cf0ad88021d132ca6a,158340,505,0,621,1621,26,1,13,259,0,27,0.17051913603637742,272,1.7178224074775799,ok
671269505.0,BerriAI/litellm,Python,A1,2024-08-01T00:00:00+00:00,5e2117feaed52f0f56fe0df005651b247ebf532c,178271,556,0,720,1784,28,4,15,300,0,32,0.17950199415496632,315,1.7669727549629497,ok
671269505.0,BerriAI/litellm,Python,A1,2024-09-01T00:00:00+00:00,54b60a9afd4c57cb611d51d8c3cbfbcb238f5482,200733,625,0,810,1954,29,4,25,318,0,33,0.1643974832239841,343,1.708737477146259,ok
671269505.0,BerriAI/litellm,Python,A1,2024-10-01T00:00:00+00:00,2a7e1e970d94c5ba7207f6c9c0ad4885afcca69e,221862,722,0,882,2114,33,4,29,352,0,37,0.16677033471256908,381,1.7172837169051032,ok
671269505.0,BerriAI/litellm,Python,A1,2024-11-01T00:00:00+00:00,b73039b28337c04ac87eea8e0be11186f142f38f,242737,812,0,966,2331,36,4,40,360,0,40,0.16478740365086494,400,1.6478740365086493,ok
671269505.0,BerriAI/litellm,Python,A1,2024-12-01T00:00:00+00:00,bd59f18809e1aac7c913e38a3e0411bd130336f7,261629,891,0,1049,2571,41,4,45,380,0,45,0.17199928142522425,425,1.6244376579048958,ok
671269505.0,BerriAI/litellm,Python,A1,2025-01-01T00:00:00+00:00,859f6e16357fe70d75db5ed6bd37495ef509f928,275716,987,0,1149,2986,48,5,49,368,0,53,0.1922267840821715,417,1.512425829476708,ok
