repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
832879402.0,Kiln-AI/Kiln,Python,A1,2024-09-01T00:00:00+00:00,893792d3ec8185a731507a0c9fa48b0858cc195a,1115,15,0,17,34,0,0,0,0,0,0,0.0,0,0.0,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2024-10-01T00:00:00+00:00,bf9e65a4268090cb17f0bc55759d397114c411f0,3533,27,0,34,79,0,0,1,3,0,0,0.0,4,1.132182281347297,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2024-11-01T00:00:00+00:00,8f605e1872b0a323d7bcf48be7e84528eb5d4680,9523,58,0,58,108,0,0,0,2,0,0,0.0,2,0.21001785151737898,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2024-12-01T00:00:00+00:00,46cbfac54080ec7c17303d22ac3ab04f9fc11ca3,15698,80,0,89,142,1,0,1,6,0,1,0.06370238246910434,7,0.4459166772837304,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-01-01T00:00:00+00:00,f23f125dc468860999abeebe36c2b7c8a8ff5033,20410,87,0,95,173,1,1,2,8,0,2,0.09799118079372857,10,0.4899559039686428,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-02-01T00:00:00+00:00,f9c319fcb18c8e99ee60ab3c63af64aef9d76587,22418,101,0,106,193,1,1,4,12,0,2,0.0892140244446427,16,0.7137121955571416,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-03-01T00:00:00+00:00,12428970a78a2aefcb131f3832691dc05a650ca1,31489,136,0,149,282,3,1,14,16,0,4,0.12702848613801646,30,0.9527136460351233,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-04-01T00:00:00+00:00,3ffe3c317febc7255c5bb8502c3e87839b3b3b43,35203,139,0,158,291,3,1,15,17,0,4,0.11362667954435701,32,0.9090134363548561,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-05-01T00:00:00+00:00,30dce61e7e379a936d685cfe24e9187e8c5859a2,37464,141,0,159,303,3,1,16,21,0,4,0.10676916506512919,37,0.987614776852445,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-06-01T00:00:00+00:00,2e335295e5b45762838ecebd9a09dcbdb70f3c35,41622,145,0,174,327,3,1,16,21,0,4,0.09610302244005574,37,0.8889529575705156,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-07-01T00:00:00+00:00,fdef842c9f53844be570c8d95c07283fe64fef6e,43832,152,0,185,353,3,1,21,20,0,4,0.09125752874612156,41,0.935389669647746,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-08-01T00:00:00+00:00,de6b9935a7d8d004cdd1e836438f3aabcf0777b5,54918,192,0,273,573,4,1,47,18,0,5,0.09104483047452566,65,1.1835827961688334,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-09-01T00:00:00+00:00,315777c3f26303453773d154dbe9c11533c7615f,48617,157,0,192,382,3,1,22,20,0,4,0.08227574716662896,42,0.8638953452496041,ok
832879402.0,Kiln-AI/Kiln,Python,A1,2025-10-01T00:00:00+00:00,ac51557cf7e3828d8e88efbdf1c971afb72c3971,91199,256,0,416,1267,9,1,77,39,0,10,0.10965032511321396,116,1.271943771313282,ok
