repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
881458615.0,browser-use/browser-use,Python,A1,2024-11-01T00:00:00+00:00,8b2404479ee34b00b3f47edb36c5250a791db539,384,7,0,5,21,0,0,0,1,0,0,0.0,1,2.6041666666666665,ok
881458615.0,browser-use/browser-use,Python,A1,2024-12-01T00:00:00+00:00,1db4cf8dda2004ecd3b45bb476226395c8dcf858,5400,49,0,65,136,1,0,1,15,0,1,0.18518518518518517,16,2.962962962962963,ok
881458615.0,browser-use/browser-use,Python,A1,2025-01-01T00:00:00+00:00,ecce85ca73fcb2371c404b741ee9d9a27b7e47fc,7253,58,0,63,152,2,0,1,25,0,2,0.2757479663587481,26,3.5847235626637253,ok
881458615.0,browser-use/browser-use,Python,A1,2025-02-01T00:00:00+00:00,2d658b0d6a9c4f1e086edd6c977ef6e6b32473c3,9987,88,0,77,203,2,0,2,27,0,2,0.20026033843997196,29,2.9037749073795935,ok
881458615.0,browser-use/browser-use,Python,A1,2025-03-01T00:00:00+00:00,f4065dd1a2c8d056a1c197a37c550d1522f8ee78,12585,115,0,88,214,3,0,2,29,0,3,0.23837902264600713,31,2.463249900675407,ok
881458615.0,browser-use/browser-use,Python,A1,2025-04-01T00:00:00+00:00,ca0c6fdd0dca6a1f26405e35120ee624d53c5f63,16292,133,0,108,261,3,0,2,33,0,3,0.18413945494721334,35,2.1482936410508224,ok
881458615.0,browser-use/browser-use,Python,A1,2025-05-01T00:00:00+00:00,3d89b12cb9c0218740f40a66eb6fee80df7d2dd4,20412,150,0,113,325,0,1,2,37,0,1,0.048990789731530475,39,1.9106407995296886,ok
881458615.0,browser-use/browser-use,Python,A1,2025-08-01T00:00:00+00:00,7d0b2f411c3a56ef0ea6cb2f259eccc0e15c23cd,52449,243,0,266,1118,4,2,26,51,0,6,0.11439684264714295,77,1.4680928139716678,ok
881458615.0,browser-use/browser-use,Python,A1,2025-09-01T00:00:00+00:00,a35707153fe33ad1985fdfbc32a182dd1844e4bf,52879,217,0,294,1086,3,2,38,69,0,5,0.09455549461979236,107,2.0234875848635565,ok
881458615.0,browser-use/browser-use,Python,A1,2025-10-01T00:00:00+00:00,5552212429985c90da9ced19b54f856ebf59dc50,60692,247,0,317,1227,3,2,45,71,0,5,0.08238318064983853,116,1.9112897910762539,ok
881458615.0,browser-use/browser-use,Python,A1,2025-11-01T00:00:00+00:00,508d72dbf27770bf3fa9d51f8976c8d491839b3c,68507,283,0,358,1335,6,3,52,115,0,9,0.13137343629118192,167,2.437707095625264,ok
881458615.0,browser-use/browser-use,Python,A1,2025-12-01T00:00:00+00:00,0126a7a7ee4d38120d7be4bfab59f6529c3f7edb,75779,305,0,378,1480,6,3,58,117,0,9,0.11876641285844364,175,2.30934691669196,ok
881458615.0,browser-use/browser-use,Python,A1,2026-01-01T00:00:00+00:00,6b4ed25347a5999297e3ff3df88edd1cb8bbaa57,80914,322,0,401,1593,6,3,59,125,0,9,0.11122920631781892,184,2.274019329164298,ok
881458615.0,browser-use/browser-use,Python,A1,2026-02-01T00:00:00+00:00,b98118a27bf473588fdc81a89522682c46245eaf,85220,338,0,417,1667,6,3,60,129,0,9,0.10560901196902135,189,2.2177892513494486,ok
881458615.0,browser-use/browser-use,Python,A1,2026-03-01T00:00:00+00:00,c21cfc7d417ed481622124f3618d693d5be4e21b,99985,371,0,473,1897,6,3,66,141,0,9,0.0900135020253038,207,2.0703105465819873,ok
881458615.0,browser-use/browser-use,Python,A2,2024-11-24T11:08:50+00:00,0f9fd1c78da0a43f40ac78324b9981aec2bafe3c,4644,45,0,63,115,5,0,2,12,0,5,1.0766580534022394,14,3.0146425495262705,ok
881458615.0,browser-use/browser-use,Python,A2,2024-12-24T11:08:50+00:00,2454893f69f08a646f4d32180b4a99f88ad14c21,6973,55,0,63,151,2,0,1,25,0,2,0.286820593718629,26,3.728667718342177,ok
881458615.0,browser-use/browser-use,Python,A2,2025-01-24T11:08:50+00:00,9ce97b23aa0525fe0a84d3d255d64fb17985da2b,9726,84,0,74,196,2,0,1,21,0,2,0.20563438206868187,22,2.2619782027555004,ok
881458615.0,browser-use/browser-use,Python,A2,2025-02-24T11:08:50+00:00,ded1addb95d78020a5d0e38a20f57ce3cced8d12,11919,104,0,85,203,3,0,3,26,0,3,0.25169896803423103,29,2.4330900243309,ok
881458615.0,browser-use/browser-use,Python,A2,2025-03-25T11:08:50+00:00,bf521fda9e051aeb4c5f028d55f90027b2c592ad,12614,115,2,86,205,3,0,2,30,0,3,0.23783098144918344,32,2.5368638021246235,ok
881458615.0,browser-use/browser-use,Python,A2,2025-04-01T11:08:50+00:00,364a3f311000f69dbc8e19d7f3f62c6a9eacd9c2,15108,134,1,105,212,4,0,2,30,0,4,0.2647603918453799,32,2.1180831347630393,ok
881458615.0,browser-use/browser-use,Python,A2,2025-04-08T11:08:50+00:00,026ac9551a2423fab6d37f26ed2362374a59a5b7,17075,136,0,110,265,1,0,2,36,0,1,0.05856515373352855,38,2.225475841874085,ok
