repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
172811550.0,cartography-cncf/cartography,Python,A1,2022-01-01T00:00:00+00:00,70fbdea6b55738ee547bba42f04ee86099b86e8e,39549,330,0,26,62,0,1,1,1,0,1,0.02528508938279097,2,0.05057017876558194,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-02-01T00:00:00+00:00,50bc4b07af1bfd6dfddcc7d06e565d777dd25279,41397,334,0,26,62,0,1,1,1,0,1,0.02415633983138875,2,0.0483126796627775,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-03-01T00:00:00+00:00,ece45a518ce18cfbbd2be600d886b2e0d30dc49a,41521,335,0,26,62,0,1,1,1,0,1,0.024084198357457672,2,0.048168396714915344,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-04-01T00:00:00+00:00,c1b08f39a53cf1f797f2c53e3b0315af9bd53b6a,42034,338,0,26,62,0,1,1,1,0,1,0.023790265023552363,2,0.047580530047104726,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-05-01T00:00:00+00:00,031f282f096b9bc3b3dbad52653f25539f8bf76f,42317,338,0,26,62,0,1,1,1,0,1,0.023631164780112013,2,0.047262329560224026,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-06-01T00:00:00+00:00,69e53481f8b1aed3201ea32d345355bb7d4840b1,42899,352,0,26,62,0,1,1,1,0,1,0.023310566679875987,2,0.04662113335975197,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-07-01T00:00:00+00:00,1a7480be3fbbea3317afc56771826fcd6b965314,43725,359,0,26,62,0,1,1,1,0,1,0.022870211549456832,2,0.045740423098913664,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-08-01T00:00:00+00:00,3fa62ee2c07b92954ef5a4f4d039d4c94e918e85,45469,380,0,26,62,0,1,1,1,0,1,0.02199300622402076,2,0.04398601244804152,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-09-01T00:00:00+00:00,6b02a42178018905458bf86f1d7b966d46b36864,46290,384,0,26,62,0,1,1,1,0,1,0.02160293799956794,2,0.04320587599913588,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-10-01T00:00:00+00:00,1960113953c436bf8dca4098c5336fde19c3925f,46411,387,0,26,62,0,1,1,1,0,1,0.021546616103940874,2,0.04309323220788175,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-11-01T00:00:00+00:00,6e6e69d3879f0c02950499d5a6f2e5887e0c72db,46728,387,0,26,62,0,1,1,1,0,1,0.021400445129258688,2,0.042800890258517375,ok
172811550.0,cartography-cncf/cartography,Python,A1,2022-12-01T00:00:00+00:00,1a73b132cc3e959c56ebb11a2965aa7ec08dda2a,46558,386,0,26,62,0,1,1,1,0,1,0.021478585849907642,2,0.042957171699815284,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-01-01T00:00:00+00:00,b33446918aa806e3d3e097e1b4c68ec1e4fa7f9b,48763,411,0,62,77,0,1,1,4,0,1,0.020507351885651007,5,0.10253675942825503,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-02-01T00:00:00+00:00,c120a4aa2c07d1a711c0fdd10f3d6f87bfa33b64,49031,413,0,62,78,0,1,1,4,0,1,0.020395260141543105,5,0.10197630070771553,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-03-01T00:00:00+00:00,d94ef53cbf5b23ecf132d472a8952a9cad1b89ce,50255,429,0,69,79,0,1,1,4,0,1,0.019898517560441746,5,0.09949258780220872,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-04-01T00:00:00+00:00,915c2549cd54e17731f10ba7eb24b4d22e71b582,51288,441,0,117,79,2,1,1,4,0,3,0.058493214787084705,5,0.09748869131180783,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-05-01T00:00:00+00:00,6a76e3d50bbc3be74553c327ef7e7c83d976f3b0,52523,462,0,141,79,2,1,1,4,0,3,0.05711783409173124,5,0.09519639015288539,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-06-01T00:00:00+00:00,0c852d26ec32e7dedda28d260290023ea98f3b7e,55691,498,0,198,79,2,0,1,4,0,2,0.03591244545797346,5,0.08978111364493364,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-07-01T00:00:00+00:00,143a443fd1a62bff8abb561cb365376a91c16b22,55760,498,0,198,79,2,0,1,4,0,2,0.035868005738880916,5,0.0896700143472023,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-08-01T00:00:00+00:00,c78da1a1b70027d2ba3e46ce6225fe27e15811ee,55850,499,0,200,79,2,0,1,4,0,2,0.03581020590868397,5,0.08952551477170993,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-09-01T00:00:00+00:00,5c1aa119dad88bb2e934aee5bdcc77275f358ac7,56915,514,0,226,79,2,0,1,4,0,2,0.03514012123341825,5,0.08785030308354563,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-10-01T00:00:00+00:00,1939101e2722d7b96a84c6ba17b471e6a0e6d7e8,57355,526,0,270,79,2,0,1,4,0,2,0.03487054310870892,5,0.0871763577717723,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-11-01T00:00:00+00:00,8117bae5777dd5bff368c853b6f45962afe9cc42,57664,528,0,274,79,2,0,1,4,0,2,0.034683684794672584,5,0.08670921198668147,ok
172811550.0,cartography-cncf/cartography,Python,A1,2023-12-01T00:00:00+00:00,98701d9344122d167d5e593e9e8d17ed57de11f1,57666,528,0,274,79,2,0,1,4,0,2,0.03468248187840322,5,0.08670620469600805,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-01-01T00:00:00+00:00,a5a28f97830ac71bd14123426c5a164ea38929b2,57671,528,0,274,79,2,0,1,4,0,2,0.034679474952749215,5,0.08669868738187304,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-02-01T00:00:00+00:00,0e06029cd8f1032c360ddcb01e10f444072eff4e,58643,532,0,282,79,2,0,1,4,0,2,0.03410466722370956,5,0.0852616680592739,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-03-01T00:00:00+00:00,56f11c2e81aad3ae21092f7bf28b16289a87c645,58643,532,0,282,79,2,0,1,4,0,2,0.03410466722370956,5,0.0852616680592739,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-04-01T00:00:00+00:00,8f2b57a92c0004221e9f0f6757b2693e540a2a10,58643,532,0,282,79,2,0,1,4,0,2,0.03410466722370956,5,0.0852616680592739,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-05-01T00:00:00+00:00,fa1be115c80e83cefe0e31be5d738b5cda9a0887,59103,542,0,288,79,2,0,1,4,0,2,0.03383922981912932,5,0.0845980745478233,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-06-01T00:00:00+00:00,4327fdfe1f144a453bd017262f775e9d8157f75a,59128,542,0,288,79,2,0,1,4,0,2,0.033824922202678936,5,0.08456230550669734,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-07-01T00:00:00+00:00,07243c224c3e27fb9022d88a95b4331c10cd76ba,59609,545,0,298,79,2,0,1,4,0,2,0.033551980405643445,5,0.08387995101410861,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-08-01T00:00:00+00:00,5719448427399ea7dc1d9421f7d40aa8e8dc7e77,59947,546,0,298,79,2,0,1,4,0,2,0.03336280381003219,5,0.08340700952508048,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-09-01T00:00:00+00:00,ad4d16a89d822423320a7918f47e620c538d698d,61354,561,0,310,79,2,0,1,4,0,2,0.032597711640642825,5,0.08149427910160707,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-10-01T00:00:00+00:00,6a6e2778204938cbd51add75827f7aaacef31526,60646,555,0,310,79,2,0,1,4,0,2,0.03297826732183491,5,0.08244566830458727,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-11-01T00:00:00+00:00,5fcbe830116d82a3539a1b72323669205fa82351,60732,555,0,310,79,2,0,1,4,0,2,0.032931568201277746,5,0.08232892050319436,ok
172811550.0,cartography-cncf/cartography,Python,A1,2024-12-01T00:00:00+00:00,774d67b560ea50035fe6f8ed72795ec0c3d45cf7,63697,582,0,365,79,2,0,1,4,0,2,0.031398652997786394,5,0.07849663249446598,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-01-01T00:00:00+00:00,1401ca580ff0acf4206e8a0b7ec0f2fcd413e596,65377,587,0,399,79,2,0,1,4,0,2,0.030591798338865352,5,0.07647949584716338,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-02-01T00:00:00+00:00,bad901258c0395b0812ced4d29308c7eb86c0508,65585,591,0,401,79,2,0,1,4,0,2,0.030494777769307008,5,0.07623694442326752,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-03-01T00:00:00+00:00,f77ef29189a85e55b1f345631d0cbe1f265f0970,66588,598,0,430,79,2,0,1,4,0,2,0.030035441821349197,5,0.07508860455337299,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-04-01T00:00:00+00:00,0723241d98da822bc7ac6f47f710c8bcd13b6e48,67257,605,0,438,79,2,0,1,4,0,2,0.029736681683690914,5,0.07434170420922728,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-05-01T00:00:00+00:00,b68938f763adbedee0e25e2b32f04b0c81447c9c,70168,634,0,492,79,2,0,1,4,0,2,0.028503021320259943,5,0.07125755330064987,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-06-01T00:00:00+00:00,125ce37fbdf99acb9cbd1892210d8e7be031fbd4,86632,766,0,653,84,2,0,1,7,0,2,0.02308615753993905,8,0.0923446301597562,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-07-01T00:00:00+00:00,8908a16acbb3d90831e7b3a5a64e3b01c4777adf,95330,832,0,796,158,12,0,1,7,0,12,0.12587852722123152,8,0.08391901814748767,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-08-01T00:00:00+00:00,5c296cfd6a9cc21a22c00a99533592aef959b930,115649,1007,0,1170,181,13,0,1,8,0,13,0.11240909994898356,9,0.07782168458006554,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-09-01T00:00:00+00:00,9026e9bf137e9334eb6bda6f54b690237a285c96,130123,1092,0,1390,188,14,0,1,7,0,14,0.10759051051697241,8,0.06148029172398423,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-10-01T00:00:00+00:00,fb256eb90421b8f02d707d43f70123857696a2b1,137896,1164,0,1560,188,14,0,1,7,0,14,0.10152578755003772,8,0.058014735742878694,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-11-01T00:00:00+00:00,75fcd0e821dcfe2d1670cf444f0b078bf181df4c,148888,1239,0,1682,188,14,0,1,7,0,14,0.09403041212186342,8,0.05373166406963623,ok
172811550.0,cartography-cncf/cartography,Python,A1,2025-12-01T00:00:00+00:00,41a6afbf5b9d19054cf9281c8f1835f13b3d0d00,166423,1352,0,1901,198,15,0,1,8,0,15,0.09013177265161666,9,0.05407906359097,ok
172811550.0,cartography-cncf/cartography,Python,A1,2026-01-01T00:00:00+00:00,3881615b88816199205ea864d97e7019e37a20e3,179904,1471,0,2227,207,16,0,1,8,0,16,0.08893632159373889,9,0.050026680896478125,ok
172811550.0,cartography-cncf/cartography,Python,A1,2026-02-01T00:00:00+00:00,290caaf6b926999e4908482db3b3585b08ba5a4a,229412,1751,0,3065,246,19,0,1,8,0,19,0.08282042787648422,9,0.03923072899412411,ok
172811550.0,cartography-cncf/cartography,Python,A1,2026-03-01T00:00:00+00:00,63025b20416ac174734251b12bbaa1182b1cadba,249359,1839,0,3259,291,20,0,0,8,0,20,0.08020564727962495,8,0.03208225891184998,ok
172811550.0,cartography-cncf/cartography,Python,A2,2024-06-09T17:59:41+00:00,21bd5a379bb5a992d6e540c4b70c9228fa2f15c4,59414,543,0,288,79,2,0,1,4,0,2,0.03366209984178813,5,0.08415524960447032,ok
