repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
55075302.0,dotnet/android,C#,A1,2022-01-01T00:00:00+00:00,fc12409a0690ceea491be8f0a05890972da70860,188365,1495,64,1749,7743,37,306,310,187,0,343,1.8209327635176384,497,2.6384944124439254,ok
55075302.0,dotnet/android,C#,A1,2022-02-01T00:00:00+00:00,84f31d5956d43886c02042f08295ec80b1ef917a,190231,1508,64,1787,7833,42,307,311,200,0,349,1.8346116037869749,511,2.686207821017605,ok
55075302.0,dotnet/android,C#,A1,2022-03-01T00:00:00+00:00,c71dfe6705d8f2edd8c2c7d75a46ed4797d84982,190693,1508,64,1786,7869,41,309,310,201,0,350,1.8354108436072638,511,2.679699831666605,ok
55075302.0,dotnet/android,C#,A1,2022-04-01T00:00:00+00:00,d6ae9beaf9bffcae26f44a7778f9083bd970a085,192214,1520,64,1802,7930,47,310,313,199,0,357,1.8573048789370181,512,2.6636977535455273,ok
55075302.0,dotnet/android,C#,A1,2022-05-01T00:00:00+00:00,8fef069b82ef132ca74264c2b13357b0cda89c6e,193065,1523,64,1804,7957,47,310,318,201,0,357,1.8491181726361587,519,2.6882138140004663,ok
55075302.0,dotnet/android,C#,A1,2022-06-01T00:00:00+00:00,06ff6564019922ec8ba5d54b8475e3a8c68337b2,194270,1531,64,1812,7989,41,314,320,203,0,355,1.8273536830184793,523,2.692129510475112,ok
55075302.0,dotnet/android,C#,A1,2022-07-01T00:00:00+00:00,065973ce6a2464fdbaa5cea1eeaa03621f50d61f,195073,1532,64,1825,8016,46,313,321,205,0,359,1.8403366944682247,526,2.696426465989655,ok
55075302.0,dotnet/android,C#,A1,2022-08-01T00:00:00+00:00,950b65f748971c14999ddec0dfcf4ed28773ed47,8232,52,0,64,432,0,2,3,0,0,2,0.24295432458697766,3,0.3644314868804665,ok
55075302.0,dotnet/android,C#,A1,2022-09-01T00:00:00+00:00,7c9c24b3614710614c5512d7a3b8272065270dc2,199697,1547,64,1924,8194,48,316,315,213,0,364,1.8227614836477264,528,2.6440056685879108,ok
55075302.0,dotnet/android,C#,A1,2022-10-01T00:00:00+00:00,ca8f5617cc55cc3510a61433d8d50c6a58ec0ac2,201032,1550,64,1929,8230,48,316,318,212,0,364,1.810657009829281,530,2.6363961956305464,ok
55075302.0,dotnet/android,C#,A1,2022-11-01T00:00:00+00:00,5f3deea2fa3b5d496a0c6ebde94ea48addbdb14d,201770,1561,64,1966,8301,48,321,323,224,0,369,1.8288149873618476,547,2.711007582891411,ok
55075302.0,dotnet/android,C#,A1,2022-12-01T00:00:00+00:00,525b080d68ee96fb00b4bf5b8277d4e9530ab5e5,202220,1562,64,1970,8326,48,321,324,225,0,369,1.824745326871724,549,2.7148649985164672,ok
55075302.0,dotnet/android,C#,A1,2023-01-01T00:00:00+00:00,ec712da8c1ce03f71578e08cafb6a767cdb90cd5,202640,1565,64,1973,8334,49,322,327,226,0,371,1.8308330043426768,553,2.728977497039084,ok
55075302.0,dotnet/android,C#,A1,2023-02-01T00:00:00+00:00,8872d0480cb4cc0ff41334e4dc2fefd9e0e074c2,205147,1582,64,1991,8413,50,326,334,231,0,376,1.832832066761883,565,2.754122653511872,ok
55075302.0,dotnet/android,C#,A1,2023-03-01T00:00:00+00:00,3524476d199a284a737ca591fd963302101dd1e7,204762,1580,64,1988,8397,50,326,334,232,0,376,1.8362782156845507,566,2.764184760844297,ok
55075302.0,dotnet/android,C#,A1,2023-04-01T00:00:00+00:00,9766e874e6458d2f647f20375d4a90849cd9e93d,205097,1582,64,1991,8427,51,326,333,232,0,377,1.838154629272978,565,2.7547940730483624,ok
55075302.0,dotnet/android,C#,A1,2023-05-01T00:00:00+00:00,c52368694cb0df4d4c11b5d4be5f3f80a2583b6f,204231,1571,64,1981,8409,50,316,333,229,0,366,1.7920883705216153,562,2.7517859678501306,ok
55075302.0,dotnet/android,C#,A1,2023-06-01T00:00:00+00:00,eb0f8b0f7d3be46a1d8f2657e42785a876b89c8c,8589,55,0,69,458,0,4,3,0,0,4,0.4657119571544999,3,0.34928396786587496,ok
55075302.0,dotnet/android,C#,A1,2023-07-01T00:00:00+00:00,69b4ab056badcb5d25a5faf39d08baeb1b8b7010,203829,1567,64,1975,8390,49,315,332,225,0,364,1.7858106550098367,557,2.732682788023294,ok
55075302.0,dotnet/android,C#,A1,2023-08-01T00:00:00+00:00,16e0943f5af8774d3b7cc93535333222ed6d78a7,206709,1572,64,2031,8604,50,319,336,226,0,369,1.7851182096570541,562,2.718797923651123,ok
55075302.0,dotnet/android,C#,A1,2023-09-01T00:00:00+00:00,b10a4d52dbb368a8c6f6084160546efc229b2b16,205430,1576,64,2029,8565,50,319,327,223,0,369,1.7962322932385726,550,2.6773110061821543,ok
55075302.0,dotnet/android,C#,A1,2023-10-01T00:00:00+00:00,ae9841277c8be5b0702a81eb9c82b3e02bf3e3d8,153234,870,4,1588,8676,55,122,300,103,0,177,1.1550961274912879,403,2.629964629259825,ok
55075302.0,dotnet/android,C#,A1,2023-11-01T00:00:00+00:00,9fa4d29b53473e122a1f8bef2a27e65d57bd199b,205535,1575,64,2023,8559,50,317,324,225,0,367,1.7855839638017856,549,2.671077918602671,ok
55075302.0,dotnet/android,C#,A1,2023-12-01T00:00:00+00:00,f0051a3e4d7cc3b92b7bb7f4224f74956460b7d0,202125,1548,64,1971,8518,49,298,309,203,0,347,1.7167594310451453,512,2.5330859616573904,ok
55075302.0,dotnet/android,C#,A1,2024-01-01T00:00:00+00:00,45e7cb9e39da65e301b4f8eb4f3059028c5fefa5,199806,1526,64,1953,8422,49,296,306,200,0,345,1.7266748746283895,506,2.5324564827883047,ok
55075302.0,dotnet/android,C#,A1,2024-02-01T00:00:00+00:00,80ee320ed0bb245768ba436b76f9309aca18abc3,199318,1526,64,1953,8422,49,296,298,200,0,345,1.730902377105931,498,2.4985199530398656,ok
55075302.0,dotnet/android,C#,A1,2024-03-01T00:00:00+00:00,e873731229274e5382af7672fa4a419f1f1d9bb1,201214,1535,64,1969,8523,48,298,301,203,0,346,1.7195622570994067,504,2.504795888954049,ok
55075302.0,dotnet/android,C#,A1,2024-04-01T00:00:00+00:00,378b4929ca69bc41a7c532ae4c77de0a0b74bddd,205447,1557,64,2006,8662,47,310,308,202,0,357,1.7376744367160386,510,2.482392052451484,ok
55075302.0,dotnet/android,C#,A1,2024-05-01T00:00:00+00:00,74a90be5b3654173582b8ef455236de9b06508dd,205617,1560,64,2008,8665,47,312,307,202,0,359,1.745964584640375,509,2.475476249531897,ok
55075302.0,dotnet/android,C#,A1,2024-06-01T00:00:00+00:00,17f8b79c46b7b6fa11a42d527a831d8d3fc2e437,205607,1560,64,2008,8666,47,312,309,202,0,359,1.7460495022056641,511,2.4853239432509593,ok
55075302.0,dotnet/android,C#,A1,2024-07-01T00:00:00+00:00,06bb1dc6a292ef5618a3bb6ecca3ca869253ff2e,207143,1583,64,2028,8717,48,318,313,202,0,366,1.7668953331756323,515,2.4862051819274607,ok
55075302.0,dotnet/android,C#,A1,2024-08-01T00:00:00+00:00,95bf32a84e72aabcd3f074b6a47b0e7ca8930783,207991,1589,64,2047,8748,52,319,315,210,0,371,1.7837310268232758,525,2.5241476794668998,ok
55075302.0,dotnet/android,C#,A1,2024-09-01T00:00:00+00:00,df68c208ad02d09ebb9e6a87053343985dfc1e36,208316,1591,64,2048,8758,52,319,316,211,0,371,1.7809481748881506,527,2.5298104802319554,ok
55075302.0,dotnet/android,C#,A1,2024-10-01T00:00:00+00:00,b3079db44e4f1f626d5708e47f0b83153b8548e6,209622,1600,64,2059,8803,52,320,320,210,0,372,1.774622892635315,530,2.528360572840637,ok
55075302.0,dotnet/android,C#,A1,2024-11-01T00:00:00+00:00,4266c2bc0971a7504c24ca20cbba7a14852fa144,209689,1601,64,2061,8807,52,318,320,202,0,370,1.7645179289328483,522,2.4894009700079645,ok
55075302.0,dotnet/android,C#,A1,2024-12-01T00:00:00+00:00,b870836db01089e3e57bd68064ab3cc4e7494899,210100,1618,64,2087,8843,52,319,320,208,0,371,1.7658257972394098,528,2.513089005235602,ok
55075302.0,dotnet/android,C#,A1,2025-01-01T00:00:00+00:00,6b37563d39d4357069ed59ca046d4c2a154937f4,210799,1623,64,2094,8862,53,323,321,211,0,376,1.7836896759472294,532,2.523731137244484,ok
55075302.0,dotnet/android,C#,A1,2025-02-01T00:00:00+00:00,18af3ac2d5f5e7c80eef0044f77dc1a55d8d569a,211238,1627,64,2101,8898,53,324,322,210,0,377,1.7847167649759987,532,2.51848625720751,ok
55075302.0,dotnet/android,C#,A1,2025-03-01T00:00:00+00:00,0edc16db744fc628f50c687bea76dc3a3b901cf1,214421,1647,64,2142,9012,54,332,328,212,0,386,1.8001968090812002,540,2.5184100437923527,ok
55075302.0,dotnet/android,C#,A1,2025-04-01T00:00:00+00:00,f8830479b8635ff418108d4c81e3e7929d897b84,215438,1652,64,2148,9042,54,336,327,212,0,390,1.81026559845524,539,2.501879891198396,ok
55075302.0,dotnet/android,C#,A1,2025-05-01T00:00:00+00:00,a8a573cbeedf91a321400d779612f4f4a0a66f89,217684,1665,64,2176,9123,55,348,336,210,0,403,1.851307399717021,546,2.508222928648867,ok
55075302.0,dotnet/android,C#,A1,2025-06-01T00:00:00+00:00,0f8d36af48be827ac739de3efaf2eefc836e0e35,218940,1673,64,2198,9165,56,350,341,209,0,406,1.854389330410158,550,2.5121037727231204,ok
55075302.0,dotnet/android,C#,A1,2025-07-01T00:00:00+00:00,e466592f47de53bd266c3a9e91261c574c6cf820,178182,945,2,1848,9898,56,152,322,106,0,208,1.16734574760638,428,2.4020383652669746,ok
55075302.0,dotnet/android,C#,A1,2025-08-01T00:00:00+00:00,9be7d9d44b794e85669c174d792e77c8ba03f350,221221,1664,64,2203,9202,55,347,349,206,0,402,1.8171873375493284,555,2.5088034137807895,ok
55075302.0,dotnet/android,C#,A1,2025-09-01T00:00:00+00:00,fa5d691bf671343f9613b28a91f12b7f3bca623f,224118,1666,64,2207,9230,55,349,352,202,0,404,1.80262183314147,554,2.4719121177236993,ok
55075302.0,dotnet/android,C#,A1,2025-10-01T00:00:00+00:00,f763743128a312a1fb9994e11f26d20c7f0c305b,224678,1674,64,2215,9242,54,351,354,204,0,405,1.802579691825635,558,2.4835542420708747,ok
55075302.0,dotnet/android,C#,A1,2025-11-01T00:00:00+00:00,23e7448dbd8a9276571421788521693d0ce14f78,224771,1674,64,2215,9243,54,351,355,205,0,405,1.8018338664685392,560,2.4914246054873628,ok
55075302.0,dotnet/android,C#,A1,2025-12-01T00:00:00+00:00,746e8bca6c7283db7ea26a0135fceec605e42c2c,227949,1676,64,2219,9295,59,350,353,216,0,409,1.794260996977394,569,2.496172389437988,ok
55075302.0,dotnet/android,C#,A1,2026-01-01T00:00:00+00:00,bb5968d700eaea7c4aae25e7c671c73efebc777f,229409,1676,64,2219,9323,60,350,354,222,0,410,1.7872010252431247,576,2.5107994891220486,ok
55075302.0,dotnet/android,C#,A1,2026-02-01T00:00:00+00:00,dc4f4f1e20cb433862271f5c22ffcf42a76cc9b3,230884,1681,64,2224,9355,60,350,357,223,0,410,1.775783510334194,580,2.51208399022886,ok
55075302.0,dotnet/android,C#,A1,2026-03-01T00:00:00+00:00,7850a1b1df5ebb05909bced6c7caa9080f1ab29b,235203,1697,64,2306,9590,63,355,371,229,0,418,1.777188216136699,600,2.550987870052678,ok
55075302.0,dotnet/android,C#,A2,2024-06-04T20:52:17+00:00,0aede13b0b7b4e618f6c82650ae54c1f047a23a2,205563,1560,64,2007,8665,47,312,310,202,0,359,1.746423237644907,512,2.4907206063347975,ok
55075302.0,dotnet/android,C#,A2,2024-07-04T20:52:17+00:00,6b665dcbf509edad621308a16d0af13cfbd0a5ff,207181,1583,64,2028,8718,48,318,314,202,0,366,1.7665712589474902,516,2.4905758732702323,ok
55075302.0,dotnet/android,C#,A2,2024-08-04T20:52:17+00:00,95bf32a84e72aabcd3f074b6a47b0e7ca8930783,207991,1589,64,2047,8748,52,319,315,210,0,371,1.7837310268232758,525,2.5241476794668998,ok
55075302.0,dotnet/android,C#,A2,2024-09-04T20:52:17+00:00,550f66e519b2efddddd864bf9dc8e47e953b031c,208018,1589,64,2047,8751,52,319,315,210,0,371,1.7834995048505418,525,2.5238200540337856,ok
55075302.0,dotnet/android,C#,A2,2024-10-04T20:52:17+00:00,4e4bc088400aa7f42721f6e7e888f6a778b1d10f,209732,1601,64,2060,8804,52,320,321,202,0,372,1.7736921404459023,523,2.4936585737989434,ok
55075302.0,dotnet/android,C#,A2,2024-11-04T20:52:17+00:00,4266c2bc0971a7504c24ca20cbba7a14852fa144,209689,1601,64,2061,8807,52,318,320,202,0,370,1.7645179289328483,522,2.4894009700079645,ok
55075302.0,dotnet/android,C#,A2,2024-12-04T20:52:17+00:00,bf1a482c32092c64266a0e231c527b1a29472f21,210135,1618,64,2087,8844,52,319,320,209,0,371,1.7655316820139435,529,2.517429271658696,ok
55075302.0,dotnet/android,C#,A2,2025-01-04T20:52:17+00:00,6b37563d39d4357069ed59ca046d4c2a154937f4,210799,1623,64,2094,8862,53,323,321,211,0,376,1.7836896759472294,532,2.523731137244484,ok
55075302.0,dotnet/android,C#,A2,2025-02-04T20:52:17+00:00,70a4f9344d9fa3d33b3cbdc6f6bf57eb91425c78,211598,1628,64,2102,8916,53,324,322,210,0,377,1.7816803561470334,532,2.5142014574806946,ok
55075302.0,dotnet/android,C#,A2,2025-03-05T20:52:17+00:00,acbeba3964faa8972c5daa79259a079f0915265f,177220,940,2,1840,9846,54,152,314,106,0,206,1.1623970206522967,420,2.3699356731745853,ok
55075302.0,dotnet/android,C#,A2,2025-03-12T20:52:17+00:00,43f82b7b3e7d0c4466f5f8e47e6faffc34b456ab,214835,1650,64,2145,9022,54,334,328,212,0,388,1.8060371913328832,540,2.5135569157725697,ok
55075302.0,dotnet/android,C#,A2,2025-03-19T20:52:17+00:00,224ad260dfeb4673de79be3e85da8f6d9f329f77,215446,1653,64,2149,9046,54,336,327,212,0,390,1.8101983791762206,539,2.5017869907076484,ok
