repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
63984307.0,dotnet/sdk,C#,A1,2022-01-01T00:00:00+00:00,023b715b871f2cbd43a92f67c2701cba3b135bdb,239330,1865,2,1945,8371,56,172,241,127,0,228,0.9526595077925876,368,1.5376258722266325,ok
63984307.0,dotnet/sdk,C#,A1,2022-02-01T00:00:00+00:00,cba345665a07c9dfbe402b9c0aa8f3f3b3232f76,240414,1871,2,1952,8408,56,173,241,128,0,229,0.9525235635195954,369,1.5348523796451123,ok
63984307.0,dotnet/sdk,C#,A1,2022-03-01T00:00:00+00:00,801b92cbe0b3753ff3ed189a7e31b3097ad96cf1,8860,110,0,115,372,1,8,3,7,0,9,1.0158013544018059,10,1.1286681715575622,ok
63984307.0,dotnet/sdk,C#,A1,2022-04-01T00:00:00+00:00,5823e4c5b316baafb45ea9865274c25ba894615c,242055,1895,2,1977,8468,57,176,242,129,0,233,0.9625911466402264,371,1.532709508169631,ok
63984307.0,dotnet/sdk,C#,A1,2022-05-01T00:00:00+00:00,35201336493c82318b010cb7d6695c187ffafe98,350997,1219,0,1331,10915,60,38,123,54,0,98,0.2792046655669422,177,0.5042778143402935,ok
63984307.0,dotnet/sdk,C#,A1,2022-06-01T00:00:00+00:00,f43efbebfc29f82ab71eb65d68e8888e5bcb62d2,241629,1877,2,1963,8444,57,178,262,128,0,235,0.9725653791556478,390,1.614044671790224,ok
63984307.0,dotnet/sdk,C#,A1,2022-07-01T00:00:00+00:00,4a6f6b7bcd4f30416414bdd179db81a27d98cf94,241567,1876,2,1965,8438,57,179,258,129,0,236,0.976954633704107,387,1.602040013743599,ok
63984307.0,dotnet/sdk,C#,A1,2022-08-01T00:00:00+00:00,f87c35f82213d5b93937e03fd9bb5112d4b2e7ad,247809,1937,2,2017,8593,58,183,276,132,0,241,0.9725231932657813,408,1.6464293064416546,ok
63984307.0,dotnet/sdk,C#,A1,2022-09-01T00:00:00+00:00,831a42fe1bee07cd9a7b8fb50aafecbdb886ee11,9163,111,0,116,385,1,8,3,8,0,9,0.9822110662446797,11,1.2004801920768307,ok
63984307.0,dotnet/sdk,C#,A1,2022-10-01T00:00:00+00:00,d07f3fe1da14613d9ee0d78b8feb2453ddb30fd2,289988,2276,34,2327,9940,67,192,369,148,0,259,0.8931404058098956,517,1.7828323930645407,ok
63984307.0,dotnet/sdk,C#,A1,2022-11-01T00:00:00+00:00,bc509f72d20c34f48a9a996d9788403a743cba97,291031,2278,34,2329,9968,62,195,367,149,0,257,0.8830674395511131,516,1.7730069992543749,ok
63984307.0,dotnet/sdk,C#,A1,2022-12-01T00:00:00+00:00,25cf3d3325eb6a0811a40daf894476cc9ab8d63a,292371,2285,34,2331,10000,65,194,364,146,0,259,0.8858607727852627,510,1.7443590506582392,ok
63984307.0,dotnet/sdk,C#,A1,2023-01-01T00:00:00+00:00,30eb823b433fc3b255b22a8946238066a58a8582,295018,2329,34,2371,10101,65,196,365,150,0,261,0.8846917815184159,515,1.7456561972489817,ok
