relpath,lineage_id,kind,status,first_qualified_name,last_qualified_name,first_commit,first_date,last_commit,last_date,modification_count,age_days,relative_churn,change_entropy,review_count,ended,had_rename_or_move,pre_touch_count,post_touch_count,pre_window_days,post_window_days,pre_churn_rate,post_churn_rate,repo_id,full_name,language
examples/consumer.py,0,callable,ok,examples.consumer.main,examples.consumer.main,e7d64bb04217fea1c29bc8c0ba96479a4663ba1f,2024-10-29T21:52:17+01:00,e7d64bb04217fea1c29bc8c0ba96479a4663ba1f,2024-10-29T21:52:17+01:00,1,640,0.09090909090909091,,,False,False,1,0,217.42,0.0,0.004599497920084681,,788904329.0,janbjorge/pgqueuer,Python
examples/fastapi_usage.py,0,callable,ok,examples.fastapi_usage.get_driver,examples.fastapi_usage.get_driver,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,1,0,0.16666666666666666,,,True,False,1,0,61.6,0.0,0.016235010800791906,,788904329.0,janbjorge/pgqueuer,Python
examples/fastapi_usage.py,1,callable,ok,examples.fastapi_usage.enqueue_job,examples.fastapi_usage.enqueue_job,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,1,0,0.1111111111111111,,,True,False,1,0,61.6,0.0,0.016235010800791906,,788904329.0,janbjorge/pgqueuer,Python
examples/fastapi_usage.py,2,callable,ok,examples.fastapi_usage.get_queue_size,examples.fastapi_usage.get_queue_size,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,1,0,0.07142857142857142,,,True,False,1,0,61.6,0.0,0.016235010800791906,,788904329.0,janbjorge/pgqueuer,Python
examples/fastapi_usage.py,3,callable,ok,examples.fastapi_usage.get_pgq_queries,examples.fastapi_usage.get_pgq_queries,4a1781b8de18f44b8b9ef59586960e4847232450,2025-04-15T11:33:05+02:00,4a1781b8de18f44b8b9ef59586960e4847232450,2025-04-15T11:33:05+02:00,1,473,0.3333333333333333,,,False,False,1,0,49.89,0.0,0.020045422370273753,,788904329.0,janbjorge/pgqueuer,Python
examples/fastapi_usage.py,4,callable,ok,examples.fastapi_usage.create_app,examples.fastapi_usage.create_app,4a1781b8de18f44b8b9ef59586960e4847232450,2025-04-15T11:33:05+02:00,1f46ad2ac5dc33ee97797b61b95beb0c0101d239,2026-07-19T23:56:18+02:00,4,473,0.07547169811320754,0.29549710056267237,,False,False,2,2,49.89,410.63,0.040090844740547506,0.0048705716061121385,788904329.0,janbjorge/pgqueuer,Python
examples/flask_sync_usage.py,0,callable,ok,examples.flask_sync_usage.get_driver,examples.flask_sync_usage.get_driver,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,1,0,0.16666666666666666,,,True,False,1,0,61.6,0.0,0.016235010800791906,,788904329.0,janbjorge/pgqueuer,Python
examples/flask_sync_usage.py,1,callable,ok,examples.flask_sync_usage.teardown_db,examples.flask_sync_usage.teardown_db,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,1,0,0.2,,,True,False,1,0,61.6,0.0,0.016235010800791906,,788904329.0,janbjorge/pgqueuer,Python
examples/flask_sync_usage.py,2,callable,ok,examples.flask_sync_usage.enqueue,examples.flask_sync_usage.enqueue,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,1,0,0.1111111111111111,,,True,False,1,0,61.6,0.0,0.016235010800791906,,788904329.0,janbjorge/pgqueuer,Python
examples/flask_sync_usage.py,3,callable,ok,examples.flask_sync_usage.queue_size,examples.flask_sync_usage.queue_size,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,701c8e6fa98f48eda6a6b0a37126c1b3fce2bf5a,2025-04-03T18:32:44+02:00,1,0,0.07142857142857142,,,True,False,1,0,61.6,0.0,0.016235010800791906,,788904329.0,janbjorge/pgqueuer,Python
