relpath,lineage_id,kind,status,first_qualified_name,last_qualified_name,first_commit,first_date,last_commit,last_date,modification_count,age_days,relative_churn,change_entropy,review_count,ended,had_rename_or_move,pre_touch_count,post_touch_count,pre_window_days,post_window_days,pre_churn_rate,post_churn_rate,repo_id,full_name,language
examples/agent_comparison/pipelines/agent_comparison.py,0,callable,ok,examples.agent_comparison.pipelines.agent_comparison.compare_agent_architectures,examples.agent_comparison.pipelines.agent_comparison.compare_agent_architectures,6b0047a574e8929427dc6380b33909a4537ef59b,2025-07-14T14:12:09+02:00,6b0047a574e8929427dc6380b33909a4537ef59b,2025-07-14T14:12:09+02:00,1,398,0.02702702702702703,,,False,False,0,1,0.0,139.68,,0.00715922107674685,314197645.0,zenml-io/zenml,Python
examples/deploying_ml_model/pipelines/hooks.py,0,callable,ok,examples.deploying_ml_model.pipelines.hooks.init_model,examples.deploying_ml_model.pipelines.hooks.init_model,9187250b33c79dc772e835ce5978ae17c8ca4737,2025-10-25T17:35:40+02:00,9187250b33c79dc772e835ce5978ae17c8ca4737,2025-10-25T17:35:40+02:00,1,295,0.03125,,,False,False,0,1,0.0,242.82,,0.004118254338716791,314197645.0,zenml-io/zenml,Python
examples/deploying_ml_model/pipelines/hooks.py,1,callable,ok,examples.deploying_ml_model.pipelines.hooks.cleanup_model,examples.deploying_ml_model.pipelines.hooks.cleanup_model,9187250b33c79dc772e835ce5978ae17c8ca4737,2025-10-25T17:35:40+02:00,9187250b33c79dc772e835ce5978ae17c8ca4737,2025-10-25T17:35:40+02:00,1,295,0.16666666666666666,,,False,False,0,1,0.0,242.82,,0.004118254338716791,314197645.0,zenml-io/zenml,Python
examples/e2e_nlp/steps/promotion/promote_metric_compare_promoter.py,0,callable,ok,examples.e2e_nlp.steps.promotion.promote_metric_compare_promoter.promote_metric_compare_promoter,examples.e2e_nlp.steps.promotion.promote_metric_compare_promoter.promote_metric_compare_promoter,250e65cb306163d4ebc379ea950919826c33a620,2024-01-11T15:47:06+01:00,250e65cb306163d4ebc379ea950919826c33a620,2024-01-11T15:47:06+01:00,1,948,0.016666666666666666,,,False,False,1,0,410.21,0.0,0.00243776153562725,,314197645.0,zenml-io/zenml,Python
examples/hierarchical_doc_search_agent/pipelines/hierarchical_search_pipeline.py,0,callable,ok,examples.hierarchical_doc_search_agent.pipelines.hierarchical_search_pipeline.hierarchical_search_pipeline,examples.hierarchical_doc_search_agent.pipelines.hierarchical_search_pipeline.hierarchical_search_pipeline,5dc2d9dab5b47df3db7154fbefb125da8ea890e4,2026-02-02T11:02:43+01:00,5dc2d9dab5b47df3db7154fbefb125da8ea890e4,2026-02-02T11:02:43+01:00,1,195,0.01282051282051282,,,False,False,0,1,0.0,342.59,,0.002918940022066376,314197645.0,zenml-io/zenml,Python
examples/mlops_starter/steps/inference_predict.py,0,callable,ok,examples.mlops_starter.steps.inference_predict.inference_predict,examples.mlops_starter.steps.inference_predict.inference_predict,1129bd10e9e14b86eb1842dd45eeeea226152d23,2024-08-28T15:38:42+02:00,1129bd10e9e14b86eb1842dd45eeeea226152d23,2024-08-28T15:38:42+02:00,1,718,0.03571428571428571,,,False,False,1,0,180.26,0.0,0.005547545644454333,,314197645.0,zenml-io/zenml,Python
examples/mlops_starter/steps/model_trainer.py,0,callable,ok,examples.mlops_starter.steps.model_trainer.model_trainer,examples.mlops_starter.steps.model_trainer.model_trainer,1129bd10e9e14b86eb1842dd45eeeea226152d23,2024-08-28T15:38:42+02:00,1129bd10e9e14b86eb1842dd45eeeea226152d23,2024-08-28T15:38:42+02:00,1,718,0.024390243902439025,,,False,False,1,0,180.26,0.0,0.005547545644454333,,314197645.0,zenml-io/zenml,Python
examples/rlm_document_analysis/setup_data.py,0,callable,ok,examples.rlm_document_analysis.setup_data._normalize_date,examples.rlm_document_analysis.setup_data._normalize_date,915184f1283b8b959974d11bef59504f06bbce9b,2026-02-20T08:23:37+01:00,915184f1283b8b959974d11bef59504f06bbce9b,2026-02-20T08:23:37+01:00,1,178,0.043478260869565216,,,False,False,0,1,0.0,360.48,,0.0027740818559635052,314197645.0,zenml-io/zenml,Python
examples/rlm_document_analysis/setup_data.py,1,callable,ok,examples.rlm_document_analysis.setup_data.parse_raw_email,examples.rlm_document_analysis.setup_data.parse_raw_email,915184f1283b8b959974d11bef59504f06bbce9b,2026-02-20T08:23:37+01:00,915184f1283b8b959974d11bef59504f06bbce9b,2026-02-20T08:23:37+01:00,1,178,0.045454545454545456,,,False,False,0,1,0.0,360.48,,0.0027740818559635052,314197645.0,zenml-io/zenml,Python
examples/rlm_document_analysis/setup_data.py,2,callable,ok,examples.rlm_document_analysis.setup_data.main,examples.rlm_document_analysis.setup_data.main,915184f1283b8b959974d11bef59504f06bbce9b,2026-02-20T08:23:37+01:00,915184f1283b8b959974d11bef59504f06bbce9b,2026-02-20T08:23:37+01:00,1,178,0.014705882352941176,,,False,False,0,1,0.0,360.48,,0.0027740818559635052,314197645.0,zenml-io/zenml,Python
