full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi,repo_id,language,stars,log1p_stars,agent_pr_count,distinct_agents,dominant_agent,is_degenerate
567-labs/instructor,A1,cyclomatic_complexity_p90,33,21,12,0.5286807307451142,0.0806134800326945,0.2994658311698615,0.7896888164995374,-0.506339549060234,0.6675665091256231,0.1247009727937377,0.0367307778702415,0.0020064740376864,0.0527086481680644,0.1966932974194111,-0.0129219238103367,0.381612544741215,29,4.129729833257054,0.1706099795734815,8.785210839315647e-21,3.79533427329303,4.464125393221078,0.0145444565095691,-0.0414290585690921,0.0155852109484187,653589102.0,Python,11095.0,9.314339961994667,51,4,Devin,False
AgentOps-AI/agentops,A1,cyclomatic_complexity_p90,31,16,15,0.8819358724582713,1.570450656505262,0.5341383026645725,0.0066501042124398,0.5235395832826999,2.617361729727824,-0.0140081144072279,0.0599378067552811,0.8169724483588579,-0.1314862156475791,0.1034699868331231,0.1378103484832477,0.0019838651285971,27,2.147226686671624,0.3545581604307912,1.825329620042938e-06,1.4522926922272732,2.8421606811159745,0.0402459650712904,0.0589282569435183,0.216692440022977,679017521.0,Python,4722.0,8.460199469896118,51,3,Devin,False
Significant-Gravitas/AutoGPT,A1,cyclomatic_complexity_p90,35,25,10,0.1182848963518489,0.6846521384423564,0.716766200796892,0.3468685182761653,-0.720209615119552,2.089513892004265,-0.0037223571245863,0.1087592612880917,0.9729166385455108,-0.2168905092492462,0.2094457950000735,0.0037223571245863,0.8854591909714149,31,5.220264796143869,0.3808089402297164,1.0604223891508028e-14,4.473879273293625,5.966650318994113,0.0256284586221201,-0.0465094217747691,0.0539541360239418,614765452.0,Python,177379.0,12.086049602930443,43,2,OpenAI_Codex,False
airbytehq/airbyte,A1,cyclomatic_complexity_p90,51,37,14,0.4516729891024778,0.4511142842181084,0.236379579777049,0.0624535180505103,-0.0121896921449077,0.9144182605811244,-0.0251581989269667,0.0259630488846148,0.3375053904243153,-0.0760457747408119,0.0257293768868784,0.0154337899356664,0.0115962619107334,47,3.019913360074204,0.1228380320950815,1.7703521079769574e-28,2.779150817167844,3.260675902980564,0.0058751873060381,0.0039184228158317,0.0269491570555012,283046497.0,Python,19011.0,9.8528256377339,218,3,Devin,False
crewAIInc/crewAI,A1,cyclomatic_complexity_p90,29,14,15,0.7064146320812202,0.4752766054632268,0.3694361622909977,0.2100579644073762,-0.2488182726271287,1.1993714835535825,-0.1096257323426858,0.0441063238470226,0.019982955360394,-0.1960741270828501,-0.0231773376025214,0.1096257323426859,0.0025762367667949,25,3.0016555843875,0.2505241528639214,7.424441633392603e-12,2.5106282447742143,3.492682924000786,0.0327384692387028,0.0454583326348282,0.1737931320505435,710601088.0,Python,35096.0,10.465870935715712,327,1,Devin,False
dotnet/aspire,A1,cyclomatic_complexity_p90,30,20,10,-inf,-3.752747560815866e-16,1.6169885963075357e-15,0.8182909739621392,-3.5445724048443565e-15,2.794022892681184e-15,-2.5277030267426993e-16,2.444243000567606e-16,0.3105918094955595,-7.318419307855206e-16,2.2630132543698093e-16,1.5979811969343462e-16,0.0601010321721502,26,4.0,9.048088097218707e-16,0.0,3.9999999999999982,4.000000000000002,8.129412324621167e-17,4.616381308597945e-19,3.191346012560095e-16,696529789.0,C#,4723.0,8.460411177317253,169,1,Copilot,True
dotnet/aspnetcore,A1,cyclomatic_complexity_p90,51,41,10,-inf,-1.9259487778750275e-16,1.3384692547437474e-15,0.8862010398936515,-2.815994617085248e-15,2.4308048615102418e-15,8.59345209709158e-17,2.1172770005730131e-16,0.6866779846795764,-3.2905177114139473e-16,5.009208130832263e-16,-6.704755623227109e-17,0.0107456026323596,47,3.0,5.859319286757285e-16,0.0,2.9999999999999987,3.0000000000000013,2.5237448186937733e-17,-1.1651295467866903e-16,-1.7582157785873128e-17,17620347.0,C#,36926.0,10.516698269778406,52,1,Copilot,True
dotnet/maui,A1,cyclomatic_complexity_p90,51,41,10,-inf,-1.2652026160092192e-16,1.1906047096253853e-15,0.9158239416027528,-2.460105492466677e-15,2.207064969264833e-15,6.440504926378372e-16,1.8834061439382568e-16,0.0013058464049061,2.7490288842593876e-16,1.0131980968497354e-15,-5.191241613157087e-17,0.0251852080407296,47,4.0,5.212108732578574e-16,0.0,3.999999999999999,4.000000000000001,2.2449762104692648e-17,-9.591394985676848e-17,-7.91088240637327e-18,262395224.0,C#,22821.0,10.035480261994625,80,1,Copilot,True
elsa-workflows/elsa-core,A1,cyclomatic_complexity_p90,51,41,10,0.8988230239467135,0.6907799241301601,0.0884062415194812,4.838467018444527e-10,0.5175036907519768,0.8640561575083434,0.0425776025988178,0.0139814069206634,0.0038027652034335,0.0151740450343174,0.0699811601633182,-1.214306433183765e-17,0.9999999999999942,47,1.9999999999999984,0.0386919270383941,4.500824502772976e-43,1.9241638230047455,2.075836176995251,0.001666551106186,-0.0032664401681246,0.0032664401681246,151148482.0,C#,7225.0,8.885440911707585,31,2,Copilot,False
ikamensh/flynt,A1,cyclomatic_complexity_p90,51,42,9,0.6734124836223869,0.3468936003211017,0.1438266715986028,0.0198285129121966,0.06499332398784,0.6287938766543634,0.0874214860946913,0.0240317763646032,0.0006816006123329,0.0403192044200691,0.1345237677693136,-0.0205217899362769,2.4132642245893478e-11,47,4.058227666293966,0.0561794433749565,8.064235184201451e-50,3.948115957279051,4.168339375308881,0.0023610857225203,-0.0251495179524168,-0.0158940619201371,174731004.0,Python,718.0,6.577861357721047,28,1,OpenAI_Codex,False
