repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
676672661.0,langchain-ai/langgraph,Python,A1,2023-09-01T00:00:00+00:00,f98046ce0c3116ef1ecf81d98e378f3e7726122b,959,12,0,11,28,1,0,0,1,0,1,1.0427528675703859,1,1.0427528675703859,ok
676672661.0,langchain-ai/langgraph,Python,A1,2023-10-01T00:00:00+00:00,d19f4999b8eabb354ae23b84e2c364a1904dbca3,1390,12,0,13,39,0,0,0,2,0,0,0.0,2,1.4388489208633095,ok
676672661.0,langchain-ai/langgraph,Python,A1,2023-11-01T00:00:00+00:00,77b0515cc0ed7d5aaf0fd4862c2d43accd0d0526,2997,25,0,19,90,0,0,0,2,0,0,0.0,2,0.6673340006673341,ok
676672661.0,langchain-ai/langgraph,Python,A1,2023-12-01T00:00:00+00:00,6fb060add0b4b05333446087a875246406282b11,3300,30,0,21,79,0,0,0,2,0,0,0.0,2,0.6060606060606061,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-01-01T00:00:00+00:00,58b95028727cb1ba8b8fc8adf5989d3f1d93d687,3482,30,0,23,81,0,0,0,2,0,0,0.0,2,0.5743825387708213,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-02-01T00:00:00+00:00,1f8a51595e7c90fbceaafdeadd487bb822932dba,5487,31,0,27,96,0,0,0,3,0,0,0.0,3,0.5467468562055768,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-03-01T00:00:00+00:00,e2070527d148db1048dd52c17bb7c79d8f56b1cc,8901,40,0,38,139,0,0,0,5,0,0,0.0,5,0.5617346365576902,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-04-01T00:00:00+00:00,4fd90f8ad628740e0d3dd70f5dc6c844958db3c2,10572,44,0,40,156,0,0,0,8,0,0,0.0,8,0.7567158531971245,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-05-01T00:00:00+00:00,b2020c1972df31fd3c82ac4ddd981f08312cb2e3,15055,52,0,67,207,1,0,0,11,0,1,0.06642311524410495,11,0.7306542676851544,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-06-01T00:00:00+00:00,515f724876c0c6a53443edf32e20a90a973289fa,22956,71,0,86,259,0,1,1,12,0,1,0.04356159609688099,13,0.5663007492594528,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-07-01T00:00:00+00:00,7a68cc63c4692d7c57b22d4ae88c5bb1d64b9d77,27711,103,0,123,323,1,1,0,12,0,2,0.07217350510627549,12,0.4330410306376529,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-08-01T00:00:00+00:00,eb762c4a778e396905de06beceadbecd14b48e1f,34432,110,0,140,385,1,0,2,15,0,1,0.02904275092936803,17,0.49372676579925645,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-09-01T00:00:00+00:00,8c698fc36252bb6a84b09d98c4d0bab2fbf98328,40352,129,0,164,473,1,0,3,21,0,1,0.02478191911181602,24,0.5947660586835845,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-10-01T00:00:00+00:00,29f58fd9e555ab57275e9540ef7b77cf5cea2ed6,54008,163,0,235,680,2,2,11,37,0,4,0.07406310176270182,48,0.8887572211524218,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-11-01T00:00:00+00:00,7bacb8c984ef08df9a12de8a92249fd289f71b73,61954,181,0,260,791,1,2,12,39,0,3,0.04842302353358944,51,0.8231914000710204,ok
676672661.0,langchain-ai/langgraph,Python,A1,2024-12-01T00:00:00+00:00,784821705b5134e36c3e346854b6ae33f22cc100,72859,195,0,275,833,1,2,15,49,0,3,0.04117542101867992,64,0.8784089817318382,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-01-01T00:00:00+00:00,7256752f482cb4e5ac652b41bc4d6ae793585e8e,82267,206,0,316,889,1,3,14,61,0,4,0.04862216927808234,75,0.911665673964044,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-02-01T00:00:00+00:00,c0db7f4d098982cf7c34600b4ed7d177c0b68b5a,83506,199,0,317,839,1,3,13,68,0,4,0.04790074964673197,81,0.9699901803463225,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-03-01T00:00:00+00:00,7d025e42ef7eb34dfcbbe04fb3c85e650170e41b,87376,220,0,338,876,1,3,13,74,0,4,0.04577916132576451,87,0.9956967588353781,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-04-01T00:00:00+00:00,881b07cf7f20ba34dc37a3cab4c8fdfdd86012ca,93515,227,0,352,931,1,3,9,78,0,4,0.042773886542265944,87,0.9303320322942843,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-05-01T00:00:00+00:00,9a5b602287af9472e06381fbfd3ab29c911bffbf,99652,234,0,359,960,1,3,9,83,0,4,0.040139686107654636,92,0.9232127804760567,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-06-01T00:00:00+00:00,3b85c83d51b02e1dd08e438aae7748ee467176f5,97545,244,0,368,998,4,3,14,91,0,7,0.07176175098672408,105,1.0764262648008611,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-07-01T00:00:00+00:00,f3ed32e6115719f4680147207785b64c326e9bb9,95901,229,0,353,970,7,3,12,87,0,10,0.10427419943483385,99,1.032314574404855,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-08-01T00:00:00+00:00,41a4f993b195503765fd7991df679f979733eed1,100104,246,0,353,961,7,3,12,84,0,10,0.09989610804763047,96,0.9590026372572524,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-09-01T00:00:00+00:00,120ae38c122e499c839f062308f12ae879f24d4d,102376,250,0,357,1003,7,1,12,86,0,8,0.07814331483941549,98,0.9572556067828397,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-10-01T00:00:00+00:00,efb0e8c176aeb1794ed68d87751537ce2d69e5ee,104723,263,0,383,1018,9,2,12,90,0,11,0.10503900766784756,102,0.9739980711018592,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-11-01T00:00:00+00:00,ae525fb74f7b935c00f0b67397c3510b1cb7ee38,109234,266,0,392,1022,9,2,11,89,0,11,0.10070124686452936,100,0.9154658805866306,ok
676672661.0,langchain-ai/langgraph,Python,A1,2025-12-01T00:00:00+00:00,630bd9ab953da68e9a00c46e8245176a76c697f7,110341,270,0,402,1028,8,1,11,92,0,9,0.08156532929736,103,0.9334698797364535,ok
676672661.0,langchain-ai/langgraph,Python,A1,2026-01-01T00:00:00+00:00,0acd5decf82751cf6f97d1bec8b30188ce316ff6,112081,274,0,414,1053,8,1,11,90,0,9,0.08029906942300657,101,0.9011340013026293,ok
676672661.0,langchain-ai/langgraph,Python,A1,2026-02-01T00:00:00+00:00,82f9c09b95c5ce65cff2a628d7f4b02733c60278,108486,248,0,398,1037,8,1,11,88,0,9,0.08296001327360213,99,0.9125601460096233,ok
676672661.0,langchain-ai/langgraph,Python,A1,2026-03-01T00:00:00+00:00,79a75645cafaac57104bf22f2e25e7f1f659740e,117771,296,0,438,1090,8,1,15,92,0,9,0.07641949206510941,107,0.9085428501074119,ok
676672661.0,langchain-ai/langgraph,Python,A2,2024-06-03T22:53:21+00:00,8d54b093718075b6dbb7643b31c126742d0ffc79,22956,71,0,86,259,0,1,1,12,0,1,0.04356159609688099,13,0.5663007492594528,ok
676672661.0,langchain-ai/langgraph,Python,A2,2024-07-03T22:53:21+00:00,56086512ca69085eb2d35215243eea2406992d51,27893,103,0,123,323,1,1,0,12,0,2,0.0717025777076686,12,0.43021546624601154,ok
676672661.0,langchain-ai/langgraph,Python,A2,2024-08-03T22:53:21+00:00,4f2f5f7cbc3801c3d85290c114a551dc151e5b7f,34464,110,0,139,383,1,0,2,15,0,1,0.029015784586815228,17,0.4932683379758589,ok
676672661.0,langchain-ai/langgraph,Python,A2,2024-09-03T22:53:21+00:00,ec51760f5715affcf997a1f464f97de1f1079066,41289,129,0,165,484,1,0,3,21,0,1,0.024219525781685194,24,0.5812686187604447,ok
676672661.0,langchain-ai/langgraph,Python,A2,2024-10-03T22:53:21+00:00,f9afd3c2159337c5175fb213476e7493899a2d11,54772,164,0,236,684,2,2,12,38,0,4,0.07303001533630323,50,0.9128751917037903,ok
676672661.0,langchain-ai/langgraph,Python,A2,2024-11-03T22:53:21+00:00,39dcafcdeae9d3d9e5e572b6d944b6dda1eedfcf,62100,181,0,260,791,1,2,12,39,0,3,0.04830917874396135,51,0.821256038647343,ok
