repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
130741783.0,netket/netket,Python,A1,2022-01-01T00:00:00+00:00,4e012f7587814bb15af6b6a4b48199d8881d3545,48292,373,0,184,971,0,6,17,23,0,6,0.12424418123084568,40,0.8282945415389712,ok
130741783.0,netket/netket,Python,A1,2022-02-01T00:00:00+00:00,f9ec9c1bdd91cd17d00993529473d6c3d2fb4870,48531,372,0,182,971,0,6,18,23,0,6,0.12363231748779131,41,0.844820836166574,ok
130741783.0,netket/netket,Python,A1,2022-03-01T00:00:00+00:00,45a7e0642e9f7bb02dc88837ecb2f82b7ed80ee9,50249,376,0,181,1001,0,7,16,25,0,7,0.1393062548508428,41,0.8159366355549363,ok
130741783.0,netket/netket,Python,A1,2022-04-01T00:00:00+00:00,3bd1c11534944da6c1273f862eed3ba0e2d09b7b,50362,377,0,181,1001,0,7,16,25,0,7,0.13899368571542034,41,0.8141058734760335,ok
130741783.0,netket/netket,Python,A1,2022-05-01T00:00:00+00:00,1e5917a2d6ec4b4bb32163f74c71e6edf684ea84,50688,379,0,181,1002,0,7,16,24,0,7,0.13809974747474746,40,0.7891414141414141,ok
130741783.0,netket/netket,Python,A1,2022-06-01T00:00:00+00:00,4b2ff2db9557362820f9aa36c531b7cc4e04e8e8,51326,383,0,178,998,0,7,19,22,0,7,0.13638311966644587,41,0.7988154151891829,ok
130741783.0,netket/netket,Python,A1,2022-07-01T00:00:00+00:00,fe47c1952160ed33546cdd2a0ca2ba92cbf16d3a,52008,387,0,181,1015,0,6,19,23,0,6,0.11536686663590216,42,0.8075680664513152,ok
130741783.0,netket/netket,Python,A1,2022-08-01T00:00:00+00:00,4a9fc59117c035cd2c082980036f0b86ca768527,52508,392,0,184,1019,0,6,19,23,0,6,0.11426830197303267,42,0.7998781138112288,ok
130741783.0,netket/netket,Python,A1,2022-09-01T00:00:00+00:00,198a61cab04dcd071fb750c420e8d8bf3b67c17a,53991,402,0,186,1031,0,7,19,23,0,7,0.12965123816932453,42,0.7779074290159471,ok
130741783.0,netket/netket,Python,A1,2022-10-01T00:00:00+00:00,074ec7c89c9b34310511e71ec4f7a33ce1ce3e18,54931,413,0,190,1041,0,7,19,24,0,7,0.1274325972583787,43,0.7828002403014691,ok
130741783.0,netket/netket,Python,A1,2022-11-01T00:00:00+00:00,4059b03031c0c9f47f6e2f1491feee4e05c8e4b5,56258,414,0,194,1058,0,7,19,24,0,7,0.12442674819581215,43,0.7643357389171318,ok
130741783.0,netket/netket,Python,A1,2022-12-01T00:00:00+00:00,56c903f5f53cb48e48513bece3e732a130258136,55611,413,0,195,1043,0,8,19,23,0,8,0.143856431281581,42,0.7552462642283002,ok
130741783.0,netket/netket,Python,A1,2023-01-01T00:00:00+00:00,d4cc1a5131dd924c91878f22974776a516ae8018,55744,412,0,195,1045,0,8,19,23,0,8,0.14351320321469574,42,0.7534443168771527,ok
130741783.0,netket/netket,Python,A1,2023-02-01T00:00:00+00:00,f2f6ed631a50827620377b42997228aed8a0e4e9,55954,413,0,196,1049,0,8,20,23,0,8,0.14297458626729098,43,0.768488401186689,ok
130741783.0,netket/netket,Python,A1,2023-03-01T00:00:00+00:00,4ac191ca9749930278881297e068f57457a2e9cb,58424,427,0,207,1090,0,8,20,24,0,8,0.13693002875530605,44,0.7531151581541832,ok
130741783.0,netket/netket,Python,A1,2023-04-01T00:00:00+00:00,4ac191ca9749930278881297e068f57457a2e9cb,58424,427,0,207,1090,0,8,20,24,0,8,0.13693002875530605,44,0.7531151581541832,ok
130741783.0,netket/netket,Python,A1,2023-05-01T00:00:00+00:00,ef3aca57ebfdea8ffa1b6299d5b8a612a8d280e1,58955,429,0,212,1108,0,8,20,25,0,8,0.13569671783563736,45,0.7632940378254601,ok
130741783.0,netket/netket,Python,A1,2023-06-01T00:00:00+00:00,fae7c32914ddc041b7fe4c5fb74febe1ac8264b1,59092,431,0,212,1108,0,8,20,25,0,8,0.13538211602247344,45,0.7615244026264131,ok
130741783.0,netket/netket,Python,A1,2023-07-01T00:00:00+00:00,426379d19ea30bc84fb095ac9db1d26a44e5e0ea,60591,440,0,220,1132,0,7,21,24,0,7,0.11552870888415771,45,0.7426845571124424,ok
130741783.0,netket/netket,Python,A1,2023-08-01T00:00:00+00:00,2cf428e7dd91a12fcdc4675fd336876277efd624,62459,448,0,231,1165,0,6,21,25,0,6,0.09606301733937463,46,0.7364831329352055,ok
130741783.0,netket/netket,Python,A1,2023-09-01T00:00:00+00:00,f4f2844739302fd7e044b722eae8a93d0bfc59ec,62579,448,0,231,1165,0,6,21,23,0,6,0.09587880918518991,44,0.7031112673580594,ok
130741783.0,netket/netket,Python,A1,2023-10-01T00:00:00+00:00,8bdcf835e5c551d456980c7733bf2c77b50b6d66,63315,459,0,232,1177,0,5,21,24,0,5,0.07897022822395958,45,0.7107320540156361,ok
130741783.0,netket/netket,Python,A1,2023-11-01T00:00:00+00:00,d64df2bf413a6db8b4a420b1a5b1ab2c9930a6d1,67476,477,0,255,1280,0,7,21,28,0,7,0.10374058924654692,49,0.7261841247258285,ok
130741783.0,netket/netket,Python,A1,2023-12-01T00:00:00+00:00,20a5c6e2faa36a0ec8e9cc97afc944801f453bee,73087,499,0,272,1350,1,6,22,29,0,7,0.09577626664112633,51,0.6977985140996347,ok
130741783.0,netket/netket,Python,A1,2024-01-01T00:00:00+00:00,3051753bf837748e785ae5c42553c617786aec0c,73245,500,0,273,1362,1,8,22,29,0,9,0.12287528158918697,51,0.6962932623387261,ok
130741783.0,netket/netket,Python,A1,2024-02-01T00:00:00+00:00,a4a9af222eaaedf9a55e1b36f8666116f1a4cbc4,74939,508,0,280,1375,1,9,23,26,0,10,0.13344186605105487,49,0.6538651436501689,ok
130741783.0,netket/netket,Python,A1,2024-03-01T00:00:00+00:00,50b13ec8a08011edb7004c7abd4e980a5ed47b45,75534,512,0,281,1392,1,9,20,26,0,10,0.13239071146768341,46,0.6089972727513437,ok
130741783.0,netket/netket,Python,A1,2024-04-01T00:00:00+00:00,926aca630546d77b711cd5a1ad507828d42e167b,75879,515,0,286,1420,1,8,20,26,0,9,0.11860989206499821,46,0.606228337221102,ok
130741783.0,netket/netket,Python,A1,2024-05-01T00:00:00+00:00,353976345e75e0be9c6d10671c500f87e8cb7ddc,77533,526,0,293,1451,1,8,20,26,0,9,0.11607960481343428,46,0.5932957579353307,ok
130741783.0,netket/netket,Python,A1,2024-06-01T00:00:00+00:00,442d5e27a0c13f466aab4abc336b2d522aa9f4b5,78647,531,0,296,1455,1,9,21,27,0,10,0.12715043167571552,48,0.6103220720434346,ok
130741783.0,netket/netket,Python,A1,2024-07-01T00:00:00+00:00,8350307f104f09136bd4fa3017da2c80a586efcb,76179,517,0,278,1371,1,8,21,25,0,9,0.11814279525853581,46,0.6038409535436275,ok
130741783.0,netket/netket,Python,A1,2024-08-01T00:00:00+00:00,0b2e9e467003e407649eeb360aaa4894f025c65f,76937,524,0,279,1377,1,8,21,25,0,9,0.11697882683234335,46,0.5978917815875326,ok
130741783.0,netket/netket,Python,A1,2024-09-01T00:00:00+00:00,996e5d7d5741a68db193dbf1c862df5468a6f2ab,78942,529,0,293,1406,0,8,23,26,0,8,0.10134022446859721,49,0.6207088748701579,ok
130741783.0,netket/netket,Python,A1,2024-10-01T00:00:00+00:00,03e8e1f59c0b667c98d6a94606ad1016735a6e63,80230,530,0,293,1418,0,8,23,27,0,8,0.09971332419294528,50,0.623208276205908,ok
130741783.0,netket/netket,Python,A1,2024-11-01T00:00:00+00:00,781f2d2bd3b3eda6ebb6eb13469fa78aed9d20f5,81040,536,0,295,1434,0,7,25,27,0,7,0.08637709772951628,52,0.6416584402764066,ok
130741783.0,netket/netket,Python,A1,2024-12-01T00:00:00+00:00,611422b8ba7d2cf1173593f158fd9d8602d15676,81533,537,0,297,1451,0,7,25,26,0,7,0.0858548072559577,51,0.6255135957219776,ok
130741783.0,netket/netket,Python,A1,2025-01-01T00:00:00+00:00,44a4aa71cee7d42202106eca01074bd7185f3543,81674,537,0,298,1453,0,7,25,28,0,7,0.08570658961236133,53,0.6489213213507358,ok
130741783.0,netket/netket,Python,A1,2025-02-01T00:00:00+00:00,739cebc760ae20df915a9ddf2c0638f0640260d8,82270,542,0,302,1475,0,6,25,27,0,6,0.07293059438434424,52,0.6320651513309834,ok
130741783.0,netket/netket,Python,A1,2025-03-01T00:00:00+00:00,cd54db91bed1d9173b8129ff979cdef688dd58bc,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A1,2025-04-01T00:00:00+00:00,4538b91e0cf9bb46dcd9f4944fe7e4f007626902,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A1,2025-05-01T00:00:00+00:00,9693f99cc456c419c4d976e5d90bee93c1f46293,82848,543,0,302,1471,0,6,14,27,0,6,0.07242178447276941,41,0.4948821938972576,ok
130741783.0,netket/netket,Python,A1,2025-06-01T00:00:00+00:00,aafb876ccf4c8e7d734638ea8c02e6c9660cf042,82853,543,0,302,1471,0,6,14,27,0,6,0.07241741397414699,41,0.49485232882333774,ok
130741783.0,netket/netket,Python,A1,2025-07-01T00:00:00+00:00,c588695f3af2e76068cb165730a45dcace1a0602,85574,557,0,309,1515,0,7,14,26,0,7,0.08180054689508495,40,0.4674316965433426,ok
130741783.0,netket/netket,Python,A1,2025-08-01T00:00:00+00:00,14f293f4ea6986ef74861b5999c787d4dfd11c3d,85957,518,0,313,1558,0,7,15,25,0,7,0.08143606687064463,40,0.46534895354654077,ok
130741783.0,netket/netket,Python,A1,2025-09-01T00:00:00+00:00,8baf64049684179aa8e5a8bc9959fc68c321d419,85997,518,0,313,1558,0,7,15,25,0,7,0.08139818830889449,40,0.46513250462225425,ok
130741783.0,netket/netket,Python,A1,2025-10-01T00:00:00+00:00,3d5bf68da9fdd3b58fa424095350c4a8af415411,90912,547,0,328,1644,1,7,20,25,0,8,0.0879971840901091,45,0.4949841605068637,ok
130741783.0,netket/netket,Python,A1,2025-11-01T00:00:00+00:00,8bc3bb15cc45f12d2378b5d3a9a400c65a1e3789,90955,548,0,329,1645,1,7,20,25,0,8,0.08795558243087241,45,0.49475015117365734,ok
130741783.0,netket/netket,Python,A1,2025-12-01T00:00:00+00:00,6a101be50735dc0a246dbafd700379f763eb0539,92198,553,0,335,1663,1,7,21,25,0,8,0.08676977808629255,46,0.49892622399618214,ok
130741783.0,netket/netket,Python,A1,2026-01-01T00:00:00+00:00,63b594245843ac71a6d1390a4fed268dbba66360,93512,559,0,337,1693,1,7,21,25,0,8,0.08555051758063137,46,0.49191547608863034,ok
130741783.0,netket/netket,Python,A1,2026-02-01T00:00:00+00:00,a8675bdc6f457b922262b0acfc5916183fc6c2c1,93602,559,0,337,1693,1,7,21,25,0,8,0.08546825922523023,46,0.49144249054507383,ok
130741783.0,netket/netket,Python,A1,2026-03-01T00:00:00+00:00,8767e82c3d51cf1f67df72fec47eaf2ae769d895,99533,581,0,360,1840,2,7,25,27,0,9,0.09042227201028805,52,0.5224397938372198,ok
130741783.0,netket/netket,Python,A2,2024-05-26T12:57:04+00:00,1f284e433f4294f98041ad095b6941ff5cd8d895,78273,528,0,296,1456,1,9,21,27,0,10,0.1277579752916076,48,0.6132382813997164,ok
130741783.0,netket/netket,Python,A2,2024-06-26T12:57:04+00:00,8350307f104f09136bd4fa3017da2c80a586efcb,76179,517,0,278,1371,1,8,21,25,0,9,0.11814279525853581,46,0.6038409535436275,ok
130741783.0,netket/netket,Python,A2,2024-07-26T12:57:04+00:00,0b2e9e467003e407649eeb360aaa4894f025c65f,76937,524,0,279,1377,1,8,21,25,0,9,0.11697882683234335,46,0.5978917815875326,ok
130741783.0,netket/netket,Python,A2,2024-08-26T12:57:04+00:00,9881c9fb217a2ac4dc9274a054bf6e6a2993c519,78122,525,0,287,1401,1,8,21,25,0,9,0.11520442384987584,46,0.5888226107882543,ok
130741783.0,netket/netket,Python,A2,2024-09-26T12:57:04+00:00,d444d833f9297854304cdf64e7cd460385e9b9f8,80210,530,0,293,1417,0,8,23,27,0,8,0.09973818725844659,50,0.6233636703652912,ok
130741783.0,netket/netket,Python,A2,2024-10-26T12:57:04+00:00,f0b9dabc46e6bb4c0fc1d366f14d179f79d5083d,80803,534,0,295,1432,0,7,25,27,0,7,0.08663044688934816,52,0.6435404626065864,ok
130741783.0,netket/netket,Python,A2,2024-11-26T12:57:04+00:00,94303210e81f995c61f666f3b2ee2d227a5ec725,81516,537,0,297,1451,0,7,25,26,0,7,0.0858727121055989,51,0.625644045340792,ok
130741783.0,netket/netket,Python,A2,2024-12-26T12:57:04+00:00,44a4aa71cee7d42202106eca01074bd7185f3543,81674,537,0,298,1453,0,7,25,28,0,7,0.08570658961236133,53,0.6489213213507358,ok
130741783.0,netket/netket,Python,A2,2025-01-26T12:57:04+00:00,94feded70a2b4c5cb3b9fcc1edb1577b1e183f4a,81658,537,0,298,1453,0,7,25,27,0,7,0.08572338288961277,52,0.6368022728942663,ok
130741783.0,netket/netket,Python,A2,2025-02-24T12:57:04+00:00,f1db6bb9677719f457b184c10ba028ece781f318,82638,544,0,303,1476,0,6,25,27,0,6,0.07260582298700355,52,0.6292504658873641,ok
130741783.0,netket/netket,Python,A2,2025-03-03T12:57:04+00:00,a2e87926d42d50c9815996a1613bd535ca797d37,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A2,2025-03-10T12:57:04+00:00,49c824e802057c278b0a6429f78aff35f4d03866,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A2,2025-03-17T12:57:04+00:00,49c824e802057c278b0a6429f78aff35f4d03866,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A2,2025-03-24T12:57:04+00:00,9f0cf2de29101d1a03bef276e2bc18d27437b369,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A2,2025-03-31T12:57:04+00:00,4538b91e0cf9bb46dcd9f4944fe7e4f007626902,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A2,2025-04-07T12:57:04+00:00,4538b91e0cf9bb46dcd9f4944fe7e4f007626902,82650,544,0,303,1476,0,6,24,27,0,6,0.07259528130671505,51,0.617059891107078,ok
130741783.0,netket/netket,Python,A2,2025-04-14T12:57:04+00:00,304b1a1516757b540dc159ea2ff9e32fd9ec19f2,82709,544,0,303,1476,0,6,24,27,0,6,0.07254349587106602,51,0.6166197149040612,ok
130741783.0,netket/netket,Python,A2,2025-04-21T12:57:04+00:00,9ffc28d96ad6b84c7cf814e7b3f8b016a03073d3,82831,543,0,302,1471,0,6,14,27,0,6,0.07243664811483623,41,0.49498376211804757,ok
130741783.0,netket/netket,Python,A2,2025-04-28T12:57:04+00:00,8f0e6a212f7a4670d8ccbd07395472d811b43a2a,82842,543,0,302,1471,0,6,14,27,0,6,0.07242702976750924,41,0.49491803674464646,ok
130741783.0,netket/netket,Python,A2,2025-05-05T12:57:04+00:00,e500144b9bdd1c5f3f882ceac20a1b656b1aec24,82848,543,0,302,1471,0,6,14,27,0,6,0.07242178447276941,41,0.4948821938972576,ok
130741783.0,netket/netket,Python,A2,2025-05-12T12:57:04+00:00,e500144b9bdd1c5f3f882ceac20a1b656b1aec24,82848,543,0,302,1471,0,6,14,27,0,6,0.07242178447276941,41,0.4948821938972576,ok
130741783.0,netket/netket,Python,A2,2025-05-19T12:57:04+00:00,e5bd814c76477b4953cb7f26ef17183b54267415,82853,543,0,302,1471,0,6,14,27,0,6,0.07241741397414699,41,0.49485232882333774,ok
130741783.0,netket/netket,Python,A2,2025-05-26T12:57:04+00:00,53124d511e1f579b9949eb7b9937d9e505b4935c,82853,543,0,302,1471,0,6,14,27,0,6,0.07241741397414699,41,0.49485232882333774,ok
