repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
633262635.0,onyx-dot-app/onyx,Python,A1,2023-05-01T00:00:00+00:00,4e96283a0b4d6fbc137e6ef4a670d0c3a909655e,2488,50,0,33,36,0,0,0,2,0,0,0.0,2,0.8038585209003215,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2023-06-01T00:00:00+00:00,8c9b3079aa95d99d0edad8f2da1c4f5670123cd9,6271,72,0,78,65,3,0,2,5,0,3,0.4783926008611067,7,1.116249402009249,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2023-07-01T00:00:00+00:00,af329d31fb87479277ae3b6d6b43a348fe5f6290,7895,89,0,86,78,3,0,2,6,0,3,0.3799873337555415,8,1.013299556681444,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2023-08-01T00:00:00+00:00,132a9f750def18c6c955e5b483eec4136b553491,10724,108,0,114,165,1,0,2,10,0,1,0.09324878776575904,12,1.1189854531891086,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2023-09-01T00:00:00+00:00,80a08bbf0c5be56648354502636414b80ea0e34d,16532,151,0,178,280,1,0,5,15,0,1,0.06048874909266876,20,1.2097749818533752,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2023-10-01T00:00:00+00:00,aa9071e44103fac65a688aa89b6400c2c5c083e5,20979,187,0,210,288,1,0,6,19,0,1,0.047666714333381,25,1.191667858334525,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2023-11-01T00:00:00+00:00,d9e5795b36fc14bfa7f75dd9ee0775989c9c02b2,24419,213,0,241,316,6,0,8,22,0,6,0.2457103075474016,30,1.228551537737008,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2023-12-01T00:00:00+00:00,17c2f063388c7297939d35ae16320c596659ed9b,27574,248,0,247,328,6,0,9,25,0,6,0.21759628635671283,34,1.2330456226880393,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-01-01T00:00:00+00:00,ae9b556876182f1afa252eb0458ab7fa94633ce3,30204,274,0,262,329,8,0,10,26,0,8,0.2648655807177857,36,1.1918951132300357,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-02-01T00:00:00+00:00,6a2b7514fe23447931540d46b4313c45a842a653,34300,299,0,285,370,7,0,10,33,0,7,0.20408163265306123,43,1.2536443148688048,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-03-01T00:00:00+00:00,9308ba02a1c72a2e6c2f86cc112a6591071fc2b9,35810,306,0,289,371,7,0,10,33,0,7,0.1954761239877129,43,1.2007819044959507,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-04-01T00:00:00+00:00,b8af1377ba7bef1c3218adbd005158d2acfc14b8,38188,335,0,311,393,13,0,10,34,0,13,0.34042107468314653,44,1.1521944066198806,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-05-01T00:00:00+00:00,b89e9127d75b6aaa60535b00904950629f7e71db,40656,362,0,343,410,16,0,12,36,0,16,0.39354584809130266,48,1.1806375442739079,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-06-01T00:00:00+00:00,b690ae05b42634946de3861b2fb13d9f805635af,44969,398,0,378,462,15,0,14,41,0,15,0.3335631212613133,55,1.223064777958149,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-07-01T00:00:00+00:00,2035e9f39ccecedfba55bffc57c128f0806635e7,53765,489,0,433,527,19,0,18,48,0,19,0.35338975169720077,66,1.2275644006323816,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-08-01T00:00:00+00:00,d6d391d244de061c9b1ad67ef8bc76194baebe2d,59872,525,0,464,577,21,0,24,52,0,21,0.35074826296098344,76,1.2693746659540353,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-09-01T00:00:00+00:00,634de83d7286cae542c3f9747611d71aab86bdc6,67232,572,0,506,629,23,0,31,58,0,23,0.3420990004759638,89,1.323774393146121,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-10-01T00:00:00+00:00,3e511497d2e501bb91ffc78acfa5def709bd406e,79664,643,0,570,770,23,0,48,74,0,23,0.28871259289013856,122,1.531432014460735,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-11-01T00:00:00+00:00,0b08bf4e3f0a8133ca8fc21d734d4693a6fb58ae,88548,699,0,602,839,21,3,50,81,0,24,0.2710394362379726,131,1.4794235894656005,ok
633262635.0,onyx-dot-app/onyx,Python,A1,2024-12-01T00:00:00+00:00,f12eb4a5cf0147fe364c87ef04e26c204a245e1c,100651,775,0,662,1003,23,1,52,92,0,24,0.23844770543760122,144,1.4306862326256073,ok
