repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
946380199.0,openai/openai-agents-python,Python,A1,2025-04-01T00:00:00+00:00,9c53abe8c15ab2cf1c5591c1db1f61b52a1b24dc,27030,187,0,223,608,6,2,8,27,0,8,0.2959674435812061,35,1.2948575656677765,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-05-01T00:00:00+00:00,f9763495b86afcf0c421451a92200e1141fa8dcb,29822,212,0,236,657,6,2,9,29,0,8,0.2682583327744618,38,1.2742270806786937,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-06-01T00:00:00+00:00,cfe9099f3f30607c92e3e7fd62d59990c0642e70,31126,222,0,253,672,6,2,9,31,0,8,0.25701985478378203,40,1.2850992739189102,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-07-01T00:00:00+00:00,18cb55e4c45f096d00263c3561d6f22a2299368e,33858,235,0,269,706,7,2,9,34,0,9,0.2658160552897395,43,1.2700100419398666,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-08-01T00:00:00+00:00,d5205352cf8305c14cae62fd59380dc64ed1fd4a,43729,277,0,372,992,10,2,19,52,0,12,0.27441743465434837,71,1.6236364883715613,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-09-01T00:00:00+00:00,de9d1fd0c4a99578be85d76a6a623e6a065af85c,47918,305,0,393,1059,9,2,19,56,0,11,0.2295588296673484,75,1.5651738386410117,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-10-01T00:00:00+00:00,a450c21bfe642eff8383eda807ce5c402eb7792e,58974,334,0,432,1204,11,2,18,68,0,13,0.22043612439380067,86,1.4582697459897582,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-11-01T00:00:00+00:00,0c4f2b9d1f64c15881f4b767a654c867c1a82900,63888,351,0,446,1237,11,2,19,71,0,13,0.203481091910844,90,1.4087152516904584,ok
946380199.0,openai/openai-agents-python,Python,A1,2025-12-01T00:00:00+00:00,db68d1c30e9bad534697faf2650f3e42a07d4021,71152,368,0,476,1315,11,3,20,78,0,14,0.1967618619293906,98,1.377333033505734,ok
946380199.0,openai/openai-agents-python,Python,A1,2026-01-01T00:00:00+00:00,c4ed605d33df63f7d24e6c0126e072ad7e60a866,73469,370,0,486,1355,13,3,21,79,0,16,0.21777892716656005,100,1.3611182947910003,ok
946380199.0,openai/openai-agents-python,Python,A1,2026-02-01T00:00:00+00:00,d463a97feeb1fe5d1be9a9c6374e32e183bcead6,110829,468,0,628,1788,16,6,30,90,0,22,0.19850400166021528,120,1.0827490999648106,ok
946380199.0,openai/openai-agents-python,Python,A1,2026-03-01T00:00:00+00:00,5edf91a6c66586c45c64ddb1a0577fb1739ca9e3,126876,483,0,669,1944,17,7,33,95,0,24,0.18916107065165988,128,1.0088590434755194,ok
946380199.0,openai/openai-agents-python,Python,A2,2025-03-12T16:12:20+00:00,51d79bf1418a7153343ea8345fe95620f029c60d,19114,111,0,146,411,5,2,9,20,0,7,0.36622371036936274,29,1.51721251438736,ok
946380199.0,openai/openai-agents-python,Python,A2,2025-03-19T16:12:20+00:00,e7c2c19564389a4e55efb9ced5c2fc1c7445fcac,20569,122,0,148,415,5,2,8,20,0,7,0.34031795420292676,28,1.361271816811707,ok
946380199.0,openai/openai-agents-python,Python,A2,2025-03-26T16:12:20+00:00,7f02967156ba9dde363d440c269792c93dfb32d4,26868,185,0,223,608,6,2,8,27,0,8,0.2977519726068185,35,1.302664880154831,ok
946380199.0,openai/openai-agents-python,Python,A2,2025-04-02T16:12:20+00:00,01f5e86ea546905c3d935b6f25c9b074acbf85d6,27207,187,0,224,608,6,2,8,27,0,8,0.2940419744918587,35,1.2864336384018817,ok
946380199.0,openai/openai-agents-python,Python,A2,2025-04-09T16:12:20+00:00,d089886f01d46e3a4cd550d50a68d15a56cbba78,27497,188,0,224,609,6,2,8,27,0,8,0.29094082990871734,35,1.2728661308506382,ok
946380199.0,openai/openai-agents-python,Python,A2,2025-04-16T16:12:20+00:00,65cae71b1452dc1942cf667b12756ac18d68456f,28162,192,0,226,613,6,2,8,28,0,8,0.28407073361266955,36,1.278318301257013,ok
946380199.0,openai/openai-agents-python,Python,A2,2025-04-23T16:12:20+00:00,178020ea33980e5873a82dc715e79f0c6a285623,29294,209,0,236,654,6,2,9,29,0,8,0.27309346623882025,38,1.2971939646343962,ok
