repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
953683578.0,oraios/serena,Python,A1,2025-04-01T00:00:00+00:00,fac2822de0de9ec5c88c28f091d4c9775b9ad56b,16280,59,0,553,487,22,0,6,20,0,22,1.3513513513513513,26,1.597051597051597,ok
953683578.0,oraios/serena,Python,A1,2025-05-01T00:00:00+00:00,191c30a98a4579ed7de256561d9553d780a9ce19,19381,72,0,580,586,25,0,9,28,0,25,1.2899231205820132,37,1.9090862184613797,ok
953683578.0,oraios/serena,Python,A1,2025-06-01T00:00:00+00:00,99ade87f16c4341867a3c3c9323af83a59177eb7,21933,86,0,607,716,28,0,10,34,0,28,1.276615146126841,44,2.0061095153421786,ok
953683578.0,oraios/serena,Python,A1,2025-07-01T00:00:00+00:00,cfe3350c34b9a7a564e74aa08f5a54ad85fd67dd,26451,99,0,641,935,28,0,11,41,0,28,1.0585611130013988,52,1.9658992098597405,ok
953683578.0,oraios/serena,Python,A1,2025-08-01T00:00:00+00:00,9af709eb7b8d7221c3dfd782593fb609dec55202,30711,130,0,682,1084,26,3,12,53,0,29,0.9442870632672333,65,2.116505486633454,ok
953683578.0,oraios/serena,Python,A1,2025-09-01T00:00:00+00:00,2ef466eeae8ab5686f6054966333fddce12a2c74,37778,161,0,711,1304,21,3,14,85,0,24,0.6352903806448198,99,2.6205728201598815,ok
953683578.0,oraios/serena,Python,A1,2025-10-01T00:00:00+00:00,7d4b8a58b8d34d6883c7bab14f4e00fbb53504d5,39150,163,0,713,1330,25,3,13,91,0,28,0.7151979565772669,104,2.656449553001277,ok
953683578.0,oraios/serena,Python,A1,2025-11-01T00:00:00+00:00,5cb3bf9a88571ff56026b4bf8810e2afec4d9776,43710,185,0,751,1474,30,3,15,101,0,33,0.7549759780370624,116,2.653854953099977,ok
953683578.0,oraios/serena,Python,A1,2025-12-01T00:00:00+00:00,855818da6357ab37fe1d413f5451f1b7027a99e6,45169,195,0,758,1545,24,2,14,105,0,26,0.5756160198366136,119,2.6345502446368085,ok
953683578.0,oraios/serena,Python,A1,2026-01-01T00:00:00+00:00,a8c720e3b47470d9334cefd9c83f63888ba5308b,50841,215,0,787,1727,31,2,16,111,0,33,0.6490824334690506,127,2.497983910623316,ok
953683578.0,oraios/serena,Python,A1,2026-02-01T00:00:00+00:00,01dc6f87345276da8fde0d7abfc67b2ef9a257f8,56363,229,0,833,1929,25,2,13,122,0,27,0.4790376665542998,135,2.395188332771499,ok
953683578.0,oraios/serena,Python,A1,2026-03-01T00:00:00+00:00,918a90280e9fc2e4e915432d23589b1259a1c185,61316,248,0,880,2105,33,1,16,119,0,34,0.5545045338900124,135,2.2017091786809315,ok
953683578.0,oraios/serena,Python,A2,2025-03-28T09:54:58+00:00,db71f25ac9ee7646abdf213bdc6fd57b8e216ac4,15485,57,0,523,430,17,0,4,17,0,17,1.0978366160800774,21,1.3561511139812723,ok
953683578.0,oraios/serena,Python,A2,2025-04-04T09:54:58+00:00,1c71b1e5d140d7dca3267bb48fc35a11307baf92,16676,59,0,556,498,24,0,6,20,0,24,1.4391940513312547,26,1.5591268889421925,ok
953683578.0,oraios/serena,Python,A2,2025-04-11T09:54:58+00:00,3e08d91a39259d4c725ab1fca7438febdfc2a207,18534,64,0,570,566,27,0,6,27,0,27,1.4567821301392037,33,1.7805114923923602,ok
953683578.0,oraios/serena,Python,A2,2025-04-18T09:54:58+00:00,529e223f5ae7a7ab15d3d5adb976f76c81905448,18549,64,0,570,566,27,0,6,27,0,27,1.455604075691412,33,1.7790716480672812,ok
953683578.0,oraios/serena,Python,A2,2025-04-25T09:54:58+00:00,d5a1754574468bdff93852e259a298ba3a85dcfe,19028,66,0,575,573,27,0,6,27,0,27,1.4189615303762877,33,1.7342863149043517,ok
953683578.0,oraios/serena,Python,A2,2025-05-02T09:54:58+00:00,81f786a2b413cc3f5e4d02bd1f1f10c4719c2751,19390,72,0,580,586,25,0,9,28,0,25,1.2893243940175347,37,1.9082001031459515,ok
953683578.0,oraios/serena,Python,A2,2025-05-09T09:54:58+00:00,2d5437e7f7a2cab919bffdb54656cb1aa4615301,19388,72,0,580,586,25,0,9,28,0,25,1.2894573963276252,37,1.9083969465648853,ok
953683578.0,oraios/serena,Python,A2,2025-05-16T09:54:58+00:00,2d5437e7f7a2cab919bffdb54656cb1aa4615301,19388,72,0,580,586,25,0,9,28,0,25,1.2894573963276252,37,1.9083969465648853,ok
