repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
557075997.0,reflex-dev/reflex,Python,A1,2022-12-01T00:00:00+00:00,f0355e7f39796318376b3a19c300a90fbae9a92e,9884,119,0,209,185,2,0,0,4,0,2,0.20234722784297854,4,0.4046944556859571,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-01-01T00:00:00+00:00,22deb9eb1bb34072a6cacfc63a491ad491018aa1,10356,120,0,215,192,3,0,0,4,0,3,0.28968713789107764,4,0.3862495171881035,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-02-01T00:00:00+00:00,6c2f4deb70d413207e7b3442656209441a720ed5,12866,126,0,238,228,4,0,0,6,0,4,0.310896937665164,6,0.46634540649774603,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-03-01T00:00:00+00:00,f06de5289eabd94241915dcaef4ca9764cb67e31,14854,134,0,243,258,3,0,0,12,0,3,0.20196580045778917,12,0.8078632018311567,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-04-01T00:00:00+00:00,a43a83ad245a3c4771413d48e802279a869cff9b,16095,152,0,253,269,2,0,0,12,0,2,0.12426219322771048,12,0.7455731593662629,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-05-01T00:00:00+00:00,1a254aca8e95732a627ef622972ec8d5800b218c,22439,169,0,374,295,10,1,2,12,0,11,0.49021792414991755,14,0.6239137216453496,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-06-01T00:00:00+00:00,d4b5c78406a90496b561ff1b66d54d9b6db43eed,24359,174,0,395,309,10,1,1,14,0,11,0.451578472022661,15,0.6157888254854468,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-07-01T00:00:00+00:00,6b54b2500cdb2f08ed0dd4f7fe1bb6c20f5838e5,26148,184,0,418,326,8,0,1,15,0,8,0.30595074193054916,16,0.6119014838610983,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-08-01T00:00:00+00:00,b9536bcf409f6aebf2e85a639a699ccbba4972bb,28575,192,0,427,363,11,0,1,17,0,11,0.38495188101487315,18,0.6299212598425197,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-09-01T00:00:00+00:00,97869136bd8b240fc96f9b8875cc226a7d4a86a9,32474,204,0,436,419,11,0,1,20,0,11,0.3387325244811234,21,0.6466711831003265,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-10-01T00:00:00+00:00,4f6b3c049be876def1277a72b5880600d5b572d4,39058,230,0,480,505,13,0,4,23,0,13,0.33283834297711096,27,0.6912796354139997,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-11-01T00:00:00+00:00,8eb68a006e5ca252c6197d46e8b9026bb98c208d,49522,286,0,578,582,17,1,15,24,0,18,0.3634748192722427,39,0.7875287750898591,ok
557075997.0,reflex-dev/reflex,Python,A1,2023-12-01T00:00:00+00:00,3e9e718b892829494154ce4f377ed4ebcbf77bf7,49678,297,0,580,656,16,1,18,31,0,17,0.3422037924232055,49,0.9863521075727687,ok
557075997.0,reflex-dev/reflex,Python,A1,2024-01-01T00:00:00+00:00,accaf6dc528db25a420e8d76de5d8839854b8dad,54013,360,0,687,718,26,1,21,32,0,27,0.49987965860070727,53,0.9812452557717587,ok
557075997.0,reflex-dev/reflex,Python,A1,2024-02-01T00:00:00+00:00,9c086163dfec19c1f4c86c7a80e2cbd7b79f5f78,59132,374,0,739,772,25,1,24,36,0,26,0.43969424338767504,60,1.014679023202327,ok
557075997.0,reflex-dev/reflex,Python,A1,2024-03-01T00:00:00+00:00,93fc2698601dfd8a042ed7eec8712a2a2fcbc7b2,63218,382,0,782,827,20,1,26,37,0,21,0.3321838716821158,63,0.9965516150463475,ok
557075997.0,reflex-dev/reflex,Python,A1,2024-04-01T00:00:00+00:00,7e4668f5ca80b257eb2888e68603e5614a9ae007,66842,396,0,788,860,16,1,26,42,0,17,0.2543311091828491,68,1.0173244367313965,ok
557075997.0,reflex-dev/reflex,Python,A1,2024-05-01T00:00:00+00:00,b7e85ecec4a981222d48f6378dcea31b5e98156b,68865,409,0,823,870,20,5,25,45,0,25,0.3630291149350178,70,1.0164815218180498,ok
