repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,n_tcc_sampled,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
172703996.0,spcl/dace,Python,A1,2022-01-01T00:00:00+00:00,88d71ac8403e4f5884816afa9e027b26c43dccb6,163903,782,0,533,2814,18,3,139,200,0,21,0.12812456147843543,339,2.0682964924376006,ok
172703996.0,spcl/dace,Python,A1,2022-02-01T00:00:00+00:00,fc62cbb5aedbf8de6ca344dc42c1bff9ca18ca59,150510,784,0,545,2815,8,3,141,196,0,11,0.07308484486080659,337,2.239053883462893,ok
172703996.0,spcl/dace,Python,A1,2022-03-01T00:00:00+00:00,74c293d32aa70397982d830af9ec4a2ba8db2ee4,151486,772,0,537,2783,8,3,142,195,0,11,0.07261397092800655,337,2.2246280184307463,ok
172703996.0,spcl/dace,Python,A1,2022-04-01T00:00:00+00:00,e7ff676de9e5d1c6001ddbdb969bf62cace2b2bb,155145,804,0,554,2879,8,3,150,199,0,11,0.07090141480550452,349,2.2495085242837343,ok
172703996.0,spcl/dace,Python,A1,2022-05-01T00:00:00+00:00,dfeba4aa02259cba261e9de19ebcc810a05fc297,157758,796,0,566,2924,8,3,149,201,0,11,0.06972705029221972,350,2.2185879638433548,ok
172703996.0,spcl/dace,Python,A1,2022-06-01T00:00:00+00:00,1f841d2af505273aacbe37aa31c491d9b0882418,159571,805,0,586,2985,8,3,149,205,0,11,0.06893483151700497,354,2.2184482142745234,ok
172703996.0,spcl/dace,Python,A1,2022-07-01T00:00:00+00:00,6e89314ec17191f78640c61406ac6dc8e37b5ea3,163417,816,0,595,3037,9,3,154,214,0,12,0.07343177270418622,368,2.2519076962617106,ok
172703996.0,spcl/dace,Python,A1,2022-08-01T00:00:00+00:00,a1d207f7316c467460761c1aaeabc76620f4ff46,167846,838,0,619,3108,9,3,155,223,0,12,0.07149410769395756,378,2.252064392359663,ok
172703996.0,spcl/dace,Python,A1,2022-09-01T00:00:00+00:00,9b3c347aa8dd44a993380129f4faf5fe16a5c47b,170463,843,0,622,3121,9,3,162,226,0,12,0.07039650833318668,388,2.2761537694397025,ok
172703996.0,spcl/dace,Python,A1,2022-10-01T00:00:00+00:00,0b597741bfaa2f8835a348a2e83b5f4c6a49c469,179129,886,0,631,3144,9,3,165,226,0,12,0.06699082783915503,391,2.1827844737591344,ok
172703996.0,spcl/dace,Python,A1,2022-11-01T00:00:00+00:00,b815b30cac73c89509e3cab263b2de2de6e5e3ed,181447,893,0,633,3170,9,3,165,226,0,12,0.06613501463237198,391,2.154899226771454,ok
172703996.0,spcl/dace,Python,A1,2022-12-01T00:00:00+00:00,cb57fc7362b47c2c58b170f341d8007b0620ef24,183320,894,0,635,3176,9,3,166,229,0,12,0.065459306131355,395,2.1547021601571026,ok
172703996.0,spcl/dace,Python,A1,2023-01-01T00:00:00+00:00,f3171c3fdf2b7d015742965365910e14f2968190,185742,905,0,643,3200,9,3,169,229,0,12,0.06460574345059276,398,2.1427571577779934,ok
172703996.0,spcl/dace,Python,A1,2023-02-01T00:00:00+00:00,b1434c63ebc801c7b28aa0b92d4c473230d0cfb9,185838,906,0,643,3200,9,3,169,229,0,12,0.06457236948309819,398,2.1416502545227565,ok
172703996.0,spcl/dace,Python,A1,2023-03-01T00:00:00+00:00,655254489369ce90da43c568059c93879396f821,187634,912,0,653,3226,10,3,172,232,0,13,0.06928381849771365,404,2.1531278979289468,ok
172703996.0,spcl/dace,Python,A1,2023-04-01T00:00:00+00:00,e25b591e9ee4cf66227ae7419ea18ab35630fb17,192356,922,0,661,3265,10,3,175,236,0,13,0.06758302314458609,411,2.136663270186529,ok
