full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi
3rdIteration/btcrecover,A1,cyclomatic_complexity_p90,51,43,8,0.779046827654184,-0.15600259461024701,0.1840667005305311,0.40099354716398894,-0.5167733276500879,0.2047681384295939,-0.0339766972110882,0.037912896530113656,0.3747250869361359,-0.10828597441011097,0.04033257998793456,0.033976697211090194,5.383666070729061e-15,47,5.706041518411385,0.07328487678717874,2.4468291717929863e-51,5.562403159908515,5.849679876914255,0.0030071167739534783,0.028082748334141375,0.03987064608803901
567-labs/instructor,A1,cyclomatic_complexity_p90,33,21,12,0.5286807307451142,0.0806134800326945,0.29946583116986153,0.7896888164995374,-0.506339549060234,0.6675665091256231,0.12470097279373779,0.036730777870241524,0.0020064740376864823,0.052708648168064406,0.19669329741941116,-0.01292192381033671,0.38161254474121503,29,4.129729833257054,0.17060997957348156,8.785210839315648e-21,3.79533427329303,4.464125393221078,0.014544456509569119,-0.04142905856909218,0.015585210948418762
AgentOps-AI/agentops,A1,cyclomatic_complexity_p90,31,16,15,0.8819358724582713,1.570450656505262,0.5341383026645725,0.006650104212439859,0.5235395832826999,2.617361729727824,-0.014008114407227983,0.05993780675528119,0.8169724483588579,-0.13148621564757912,0.10346998683312314,0.1378103484832477,0.001983865128597198,27,2.147226686671624,0.3545581604307912,1.825329620042938e-06,1.4522926922272732,2.8421606811159745,0.040245965071290496,0.05892825694351832,0.21669244002297705
Albeoris/Memoria,A1,cyclomatic_complexity_p90,51,41,10,0.8949716649929408,0.9026158313341336,0.09291708357952749,8.095417916752141e-13,0.7204983475182597,1.0847333151500074,-0.0034778032755873097,0.015368932630738538,0.8219587748269758,-0.03360091123183484,0.026645304680660224,0.003477803275586642,0.06378979899967953,47,7.9549295948155585,0.04253174400694241,3.664963395794576e-69,7.871567376561951,8.038291813069165,0.0018319409357010102,-0.00011280095838733795,0.007068407509560622
Azure/azure-cosmos-dotnet-v3,A1,cyclomatic_complexity_p90,51,41,10,-inf,-4.1558678502289776e-17,1.8585792847347085e-15,0.9822550885499496,-3.684374076582319e-15,3.601256719577739e-15,-1.3585095276290747e-15,2.9545291583334563e-16,3.227212901873984e-05,-1.9375972426624323e-15,-7.794218125957173e-16,8.694536071106059e-17,0.017247440816324327,47,3.999999999999999,8.176317825218264e-16,0.0,3.9999999999999973,4.000000000000001,3.521729869547385e-17,1.791945526793185e-17,1.5597126615418933e-16
Azure/azure-functions-core-tools,A1,cyclomatic_complexity_p90,51,41,10,0.35697857644505915,-0.8097109320840473,0.2616529549987003,0.0033154247140265995,-1.3225507238814997,-0.2968711402865948,-0.021563231207081576,0.041866113007457545,0.6089305925859217,-0.10362081270169836,0.060494350287535206,0.021563231207081465,7.991763161583803e-05,47,4.932741615183929,0.1158596269358073,3.401028042685768e-39,4.705656746389747,5.159826483978111,0.004990343056332413,0.011782158816669936,0.031344303597492996
Azure/data-api-builder,A1,cyclomatic_complexity_p90,51,41,10,0.544502543741016,-0.007544212635668969,0.26222543387689606,0.9771698857951342,-0.5215060630343852,0.5064176377630473,-0.0294959621030786,0.041484712566579984,0.4805930878863159,-0.11080599873357537,0.051814074527418166,0.029495962103079122,3.041187080185858e-07,47,3.8108900041862803,0.11480414531549611,2.818659798052557e-34,3.585873879367908,4.035906129004653,0.004944881013045113,0.019803995317510703,0.03918792888864754
BerriAI/litellm,A1,cyclomatic_complexity_p90,32,19,13,0.487076701981882,-0.704213577517412,0.919889860897839,0.4503546529778471,-2.5071977048771763,1.0987705498423526,0.09235696465429799,0.10983053286936408,0.40752571226927653,-0.12291087976965559,0.30762480907825157,-0.12527851237225524,0.02799914707330077,28,10.34639270633817,0.5710192641185166,5.318016191046814e-17,9.227194948665877,11.465590464010463,0.05405501397128121,-0.2312263397559664,-0.019330684988544067
Blaizzy/mlx-vlm,A1,cyclomatic_complexity_p90,23,13,10,0.707070026243708,-0.335601412830099,0.16912260334299709,0.06184883127011861,-0.6670817153823733,-0.004121110277824691,0.1270185516484777,0.026585139795936498,0.0001308415850647167,0.07491167764844216,0.17912542564851325,-1.8908485888147197e-16,0.99999999999999,19,5.000000000000003,0.10540553226881114,3.3569538299285595e-21,4.793405156753133,5.206594843246872,0.01486664113606083,-0.029138616626679416,0.029138616626679034
DaveSkender/Stock.Indicators,A1,cyclomatic_complexity_p90,51,42,9,0.35817762426131294,0.26196062877589293,0.25755408804377644,0.31430886712010503,-0.2428453837899089,0.7667666413416947,0.02080773075920287,0.04291579807267996,0.6300348175353201,-0.06330723346324985,0.10492269498165557,-0.020807730759202368,1.0478565031425438e-05,47,3.59265301952936,0.10032490362495033,9.113846531108439e-36,3.396016208424457,3.7892898306342624,0.00421641232685642,-0.029071898919840952,-0.012543562598563785
