full_name,track,metric,n_pre,n_post,reason
Azure/azure-mcp,A1,god_class_density_per_kloc,1,10,below min_pre=5/min_post=5
Azure/azure-mcp,A1,data_class_density_per_kloc,1,10,below min_pre=5/min_post=5
Azure/azure-mcp,A1,feature_envy_density_per_kloc,1,10,below min_pre=5/min_post=5
Azure/azure-mcp,A1,brain_method_density_per_kloc,1,10,below min_pre=5/min_post=5
OpenPipe/ART,A1,god_class_density_per_kloc,2,10,below min_pre=5/min_post=5
OpenPipe/ART,A1,data_class_density_per_kloc,2,10,below min_pre=5/min_post=5
OpenPipe/ART,A1,feature_envy_density_per_kloc,2,10,below min_pre=5/min_post=5
OpenPipe/ART,A1,brain_method_density_per_kloc,2,10,below min_pre=5/min_post=5
bespokelabsai/curator,A1,god_class_density_per_kloc,2,15,below min_pre=5/min_post=5
bespokelabsai/curator,A1,data_class_density_per_kloc,2,15,below min_pre=5/min_post=5
bespokelabsai/curator,A1,feature_envy_density_per_kloc,2,15,below min_pre=5/min_post=5
bespokelabsai/curator,A1,brain_method_density_per_kloc,2,15,below min_pre=5/min_post=5
dotnet/macios,A1,god_class_density_per_kloc,1,10,below min_pre=5/min_post=5
dotnet/macios,A1,data_class_density_per_kloc,1,10,below min_pre=5/min_post=5
dotnet/macios,A1,feature_envy_density_per_kloc,1,10,below min_pre=5/min_post=5
dotnet/macios,A1,brain_method_density_per_kloc,1,10,below min_pre=5/min_post=5
featureform/enrichmcp,A1,god_class_density_per_kloc,1,9,below min_pre=5/min_post=5
featureform/enrichmcp,A1,data_class_density_per_kloc,1,9,below min_pre=5/min_post=5
featureform/enrichmcp,A1,feature_envy_density_per_kloc,1,9,below min_pre=5/min_post=5
featureform/enrichmcp,A1,brain_method_density_per_kloc,1,9,below min_pre=5/min_post=5
marimo-team/marimo,A1,god_class_density_per_kloc,16,2,below min_pre=5/min_post=5
marimo-team/marimo,A1,data_class_density_per_kloc,16,2,below min_pre=5/min_post=5
marimo-team/marimo,A1,feature_envy_density_per_kloc,16,2,below min_pre=5/min_post=5
marimo-team/marimo,A1,brain_method_density_per_kloc,16,2,below min_pre=5/min_post=5
microsoft/Generative-AI-for-beginners-dotnet,A1,god_class_density_per_kloc,4,10,below min_pre=5/min_post=5
microsoft/Generative-AI-for-beginners-dotnet,A1,data_class_density_per_kloc,4,10,below min_pre=5/min_post=5
microsoft/Generative-AI-for-beginners-dotnet,A1,feature_envy_density_per_kloc,4,10,below min_pre=5/min_post=5
microsoft/Generative-AI-for-beginners-dotnet,A1,brain_method_density_per_kloc,4,10,below min_pre=5/min_post=5
openai/openai-agents-python,A1,god_class_density_per_kloc,2,10,below min_pre=5/min_post=5
openai/openai-agents-python,A1,data_class_density_per_kloc,2,10,below min_pre=5/min_post=5
openai/openai-agents-python,A1,feature_envy_density_per_kloc,2,10,below min_pre=5/min_post=5
openai/openai-agents-python,A1,brain_method_density_per_kloc,2,10,below min_pre=5/min_post=5
oraios/serena,A1,god_class_density_per_kloc,3,9,below min_pre=5/min_post=5
oraios/serena,A1,data_class_density_per_kloc,3,9,below min_pre=5/min_post=5
oraios/serena,A1,feature_envy_density_per_kloc,3,9,below min_pre=5/min_post=5
oraios/serena,A1,brain_method_density_per_kloc,3,9,below min_pre=5/min_post=5
saturday06/VRM-Addon-for-Blender,A1,god_class_density_per_kloc,3,0,below min_pre=5/min_post=5
saturday06/VRM-Addon-for-Blender,A1,data_class_density_per_kloc,3,0,below min_pre=5/min_post=5
saturday06/VRM-Addon-for-Blender,A1,feature_envy_density_per_kloc,3,0,below min_pre=5/min_post=5
saturday06/VRM-Addon-for-Blender,A1,brain_method_density_per_kloc,3,0,below min_pre=5/min_post=5
skypilot-org/skypilot,A1,god_class_density_per_kloc,2,0,below min_pre=5/min_post=5
skypilot-org/skypilot,A1,data_class_density_per_kloc,2,0,below min_pre=5/min_post=5
skypilot-org/skypilot,A1,feature_envy_density_per_kloc,2,0,below min_pre=5/min_post=5
skypilot-org/skypilot,A1,brain_method_density_per_kloc,2,0,below min_pre=5/min_post=5
tinygrad/tinygrad,A1,god_class_density_per_kloc,0,9,below min_pre=5/min_post=5
tinygrad/tinygrad,A1,data_class_density_per_kloc,0,9,below min_pre=5/min_post=5
tinygrad/tinygrad,A1,feature_envy_density_per_kloc,0,9,below min_pre=5/min_post=5
tinygrad/tinygrad,A1,brain_method_density_per_kloc,0,9,below min_pre=5/min_post=5
vlm-run/vlmrun-hub,A1,god_class_density_per_kloc,2,13,below min_pre=5/min_post=5
vlm-run/vlmrun-hub,A1,data_class_density_per_kloc,2,13,below min_pre=5/min_post=5
vlm-run/vlmrun-hub,A1,feature_envy_density_per_kloc,2,13,below min_pre=5/min_post=5
vlm-run/vlmrun-hub,A1,brain_method_density_per_kloc,2,13,below min_pre=5/min_post=5
willccbb/verifiers,A1,god_class_density_per_kloc,4,9,below min_pre=5/min_post=5
willccbb/verifiers,A1,data_class_density_per_kloc,4,9,below min_pre=5/min_post=5
willccbb/verifiers,A1,feature_envy_density_per_kloc,4,9,below min_pre=5/min_post=5
willccbb/verifiers,A1,brain_method_density_per_kloc,4,9,below min_pre=5/min_post=5
