full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi,repo_id,language,stars,log1p_stars,agent_pr_count,distinct_agents,dominant_agent,is_degenerate,n_agent_prs_matched,mean_comments,median_comments,log1p_n_agent_prs_matched
567-labs/instructor,A1,cyclomatic_complexity_p90,33,21,12,0.5286807307451142,0.0806134800326945,0.2994658311698615,0.7896888164995374,-0.506339549060234,0.6675665091256231,0.1247009727937377,0.0367307778702415,0.0020064740376864,0.0527086481680644,0.1966932974194111,-0.0129219238103367,0.381612544741215,29,4.129729833257054,0.1706099795734815,8.785210839315647e-21,3.79533427329303,4.464125393221078,0.0145444565095691,-0.0414290585690921,0.0155852109484187,653589102.0,Python,11095.0,9.314339961994667,51,4,Devin,False,2,2.0,2.0,1.0986122886681098
AgentOps-AI/agentops,A1,cyclomatic_complexity_p90,31,16,15,0.8819358724582713,1.570450656505262,0.5341383026645725,0.0066501042124398,0.5235395832826999,2.617361729727824,-0.0140081144072279,0.0599378067552811,0.8169724483588579,-0.1314862156475791,0.1034699868331231,0.1378103484832477,0.0019838651285971,27,2.147226686671624,0.3545581604307912,1.825329620042938e-06,1.4522926922272732,2.8421606811159745,0.0402459650712904,0.0589282569435183,0.216692440022977,679017521.0,Python,4722.0,8.460199469896118,51,3,Devin,False,2,2.0,2.0,1.0986122886681098
Significant-Gravitas/AutoGPT,A1,cyclomatic_complexity_p90,35,25,10,0.1182848963518489,0.6846521384423564,0.716766200796892,0.3468685182761653,-0.720209615119552,2.089513892004265,-0.0037223571245863,0.1087592612880917,0.9729166385455108,-0.2168905092492462,0.2094457950000735,0.0037223571245863,0.8854591909714149,31,5.220264796143869,0.3808089402297164,1.0604223891508028e-14,4.473879273293625,5.966650318994113,0.0256284586221201,-0.0465094217747691,0.0539541360239418,614765452.0,Python,177379.0,12.086049602930443,43,2,OpenAI_Codex,False,10,5.3,3.5,2.3978952727983707
airbytehq/airbyte,A1,cyclomatic_complexity_p90,51,37,14,0.4516729891024778,0.4511142842181084,0.236379579777049,0.0624535180505103,-0.0121896921449077,0.9144182605811244,-0.0251581989269667,0.0259630488846148,0.3375053904243153,-0.0760457747408119,0.0257293768868784,0.0154337899356664,0.0115962619107334,47,3.019913360074204,0.1228380320950815,1.7703521079769574e-28,2.779150817167844,3.260675902980564,0.0058751873060381,0.0039184228158317,0.0269491570555012,283046497.0,Python,19011.0,9.8528256377339,218,3,Devin,False,11,4.181818181818182,4.0,2.4849066497880004
browser-use/browser-use,A1,cyclomatic_complexity_p90,15,7,8,0.9441417154531778,0.6515075944173745,0.6606135221317527,0.3452233373110172,-0.6432949089608608,1.9463100977956096,-0.2242407417589221,0.1270856513766138,0.1053622976814141,-0.4733286184570852,0.024847134939241,0.4046765934510178,0.0017709478164821,11,4.736756052643399,0.3535457987224829,3.7194590118264194e-08,4.043806287147332,5.429705818139466,0.0987945044618879,0.2110393647057175,0.598313822196318,881458615.0,Python,66661.0,11.10739035441195,36,2,Cursor,False,2,3.5,3.5,1.0986122886681098
crewAIInc/crewAI,A1,cyclomatic_complexity_p90,29,14,15,0.7064146320812202,0.4752766054632268,0.3694361622909977,0.2100579644073762,-0.2488182726271287,1.1993714835535825,-0.1096257323426858,0.0441063238470226,0.019982955360394,-0.1960741270828501,-0.0231773376025214,0.1096257323426859,0.0025762367667949,25,3.0016555843875,0.2505241528639214,7.424441633392603e-12,2.5106282447742143,3.492682924000786,0.0327384692387028,0.0454583326348282,0.1737931320505435,710601088.0,Python,35096.0,10.465870935715712,327,1,Devin,False,15,2.7333333333333334,2.0,2.772588722239781
crewAIInc/crewAI-tools,A1,cyclomatic_complexity_p90,25,10,15,0.9054693189829844,1.2346822698171895,0.3597087985438442,0.002500014117361,0.5296530246712549,1.939711514963124,-0.090051440334329,0.0537857589090984,0.1089094013406131,-0.195471527796162,0.0153686471275038,0.1449072452193173,0.0058282542705935,21,2.744422590469622,0.253386264961271,4.703614766450795e-10,2.2477855111455307,3.241059669793713,0.0472213330604458,0.0523534324208433,0.2374610580177912,742063678.0,Python,1177.0,7.071573364211532,29,1,Devin,False,6,2.6666666666666665,3.0,1.9459101490553132
dotnet/aspnetcore,A1,cyclomatic_complexity_p90,51,41,10,-inf,-1.9259487778750275e-16,1.3384692547437474e-15,0.8862010398936515,-2.815994617085248e-15,2.4308048615102418e-15,8.59345209709158e-17,2.1172770005730131e-16,0.6866779846795764,-3.2905177114139473e-16,5.009208130832263e-16,-6.704755623227109e-17,0.0107456026323596,47,3.0,5.859319286757285e-16,0.0,2.9999999999999987,3.0000000000000013,2.5237448186937733e-17,-1.1651295467866903e-16,-1.7582157785873128e-17,17620347.0,C#,36926.0,10.516698269778406,52,1,Copilot,True,4,4.0,5.0,1.6094379124341003
dotnet/maui,A1,cyclomatic_complexity_p90,51,41,10,-inf,-1.2652026160092192e-16,1.1906047096253853e-15,0.9158239416027528,-2.460105492466677e-15,2.207064969264833e-15,6.440504926378372e-16,1.8834061439382568e-16,0.0013058464049061,2.7490288842593876e-16,1.0131980968497354e-15,-5.191241613157087e-17,0.0251852080407296,47,4.0,5.212108732578574e-16,0.0,3.999999999999999,4.000000000000001,2.2449762104692648e-17,-9.591394985676848e-17,-7.91088240637327e-18,262395224.0,C#,22821.0,10.035480261994625,80,1,Copilot,True,4,4.5,5.0,1.6094379124341003
elsa-workflows/elsa-core,A1,cyclomatic_complexity_p90,51,41,10,0.8988230239467135,0.6907799241301601,0.0884062415194812,4.838467018444527e-10,0.5175036907519768,0.8640561575083434,0.0425776025988178,0.0139814069206634,0.0038027652034335,0.0151740450343174,0.0699811601633182,-1.214306433183765e-17,0.9999999999999942,47,1.9999999999999984,0.0386919270383941,4.500824502772976e-43,1.9241638230047455,2.075836176995251,0.001666551106186,-0.0032664401681246,0.0032664401681246,151148482.0,C#,7225.0,8.885440911707585,31,2,Copilot,False,7,0.0,0.0,2.0794415416798357
