full_name,n_agent,n_other,median_agent,median_other,mannwhitney_p,cliffs_delta
567-labs/instructor,2,1409,0.0,0.0,0.5224256407248244,-0.1717530163236338
AgentOps-AI/agentops,8,1613,0.0,0.0,0.30297556997104724,-0.11779293242405456
Azure/azure-functions-core-tools,19,635,0.0,0.0,0.17665759388643576,-0.08818897637795275
Azure/data-api-builder,6,1065,1.0,0.0,8.075440658573216e-08,0.7192488262910798
Blaizzy/mlx-vlm,2,1559,1.0,0.0,0.028249259656599333,0.4342527261064785
NewFuture/DDNS,421,1291,0.0,0.0,0.00035431745130528,0.0917571125515399
Significant-Gravitas/AutoGPT,4,3205,1.0,0.0,5.289287297888131e-09,0.8726989079563182
TobikoData/sqlmesh,2,1964,0.5,0.0,0.7734131467642162,-0.10819755600814664
airbytehq/airbyte,22,1720,0.0,0.0,0.013240173528990472,-0.22151162790697673
alexanderjeurissen/ranger_devicons,11,7,0.0,1.0,0.00727454806692794,-0.5714285714285714
bentoml/BentoML,2,1124,0.0,0.0,0.5077696985899722,-0.18238434163701067
commaai/opendbc,6,1261,0.0,1.0,0.021747805759399375,-0.500396510705789
dotnet/aspire,33,1319,0.0,0.0,0.2996705692028425,0.08374112619753257
dotnet/aspnetcore,2,1526,0.0,0.0,0.5826872809036878,-0.13237221494102228
dotnet/macios,7,1405,0.0,1.0,0.007629486378185188,-0.5437722419928825
featureform/enrichmcp,85,249,1.0,1.0,0.9882704297342186,0.0010394519253484526
ikamensh/flynt,10,91,0.0,0.0,0.1870628740535154,-0.15384615384615385
janbjorge/pgqueuer,21,1575,0.0,0.0,0.1528467052275677,0.14509448223733937
keephq/keep,16,975,0.0,0.0,0.001663545690723964,-0.40205128205128204
marimo-team/marimo,23,1362,0.0,0.0,0.6753408006523898,-0.03833876013535083
microsoft/autogen,10,1288,0.0,0.0,0.1773647505224818,-0.15527950310559005
microsoft/fluentui-blazor,4,5049,0.0,0.0,0.5416570611069518,-0.08536343830461478
microsoft/perfview,9,4727,0.0,0.0,0.19092831119789155,-0.16056695578591074
microsoft/testfx,85,11796,0.0,0.0,2.2231889158346727e-245,0.46853469770410705
mlflow/mlflow,80,2203,0.0,0.0,0.001597022732070808,-0.18171243758511121
stanford-crfm/levanter,5,1892,0.0,0.0,0.13494145669694413,-0.3181818181818182
ucbepic/docetl,18,1545,0.0,0.0,0.05449116635873168,-0.17216828478964402
vlm-run/vlmrun-hub,19,259,0.0,0.0,0.6501320893772242,0.04287746393009551
willccbb/verifiers,72,1301,0.0,0.0,0.0029664741601015923,0.15752839695960372
"pooled (non-independent, see caveat)",1007,165362,0.0,0.0,8.987810011403931e-20,0.11697484092166628
