full_name,n_agent,n_other,median_agent,median_other,mannwhitney_p,cliffs_delta
567-labs/instructor,2,1409,0.0,0.0,0.5230768760961125,-0.1717530163236338
AgentOps-AI/agentops,8,1613,0.0,0.0,0.30323140260514114,-0.11779293242405456
Azure/azure-functions-core-tools,19,635,0.0,0.0,0.1770282075714199,-0.08818897637795275
Azure/data-api-builder,6,1065,0.0025380710659898475,0.0,5.825511957988646e-08,0.7276995305164319
Blaizzy/mlx-vlm,2,1559,0.002183406113537118,0.0,0.0517626646197496,0.3851828094932649
NewFuture/DDNS,421,1291,0.0,0.0,7.80422821923081e-06,0.11521753929543284
Significant-Gravitas/AutoGPT,4,3205,0.002652519893899204,0.0,3.614525899190758e-08,0.8240249609984399
TobikoData/sqlmesh,2,1964,0.0011627906976744186,0.0,0.9348311272167954,-0.031059063136456212
airbytehq/airbyte,22,1720,0.0,0.0,0.01345878928085276,-0.22151162790697673
alexanderjeurissen/ranger_devicons,11,7,0.0,0.0012048192771084338,0.007447375270207492,-0.5714285714285714
bentoml/BentoML,2,1124,0.0,0.0,0.5083373754621954,-0.18238434163701067
commaai/opendbc,6,1261,0.0,0.0013698630136986301,0.02345614038865962,-0.500396510705789
dotnet/aspire,33,1319,0.0,0.0,0.5241878695760548,0.05160015622487192
dotnet/aspnetcore,2,1526,0.0,0.0,0.5830354940953624,-0.13237221494102228
dotnet/macios,7,1405,0.0,0.00046253469010175765,0.009214897448308024,-0.5409252669039146
featureform/enrichmcp,85,249,0.00625,0.0055248618784530384,0.14746401619774246,0.09926765887077722
ikamensh/flynt,10,91,0.0,0.0,0.18793496231268414,-0.15384615384615385
janbjorge/pgqueuer,21,1575,0.0,0.0,0.39900653176163914,0.08589569160997733
keephq/keep,16,975,0.0,0.0,0.001760014855802183,-0.40205128205128204
marimo-team/marimo,23,1362,0.0,0.0,0.5399353608445441,-0.0563110515226968
microsoft/autogen,10,1288,0.0,0.0,0.1778601683366947,-0.15527950310559005
microsoft/fluentui-blazor,4,5049,0.0,0.0,0.5420067579054948,-0.08536343830461478
microsoft/perfview,9,4727,0.0,0.0,0.19142851150058138,-0.16056695578591074
microsoft/testfx,85,11796,0.0,0.0,6.661748645845127e-250,0.47287415474836936
mlflow/mlflow,80,2203,0.0,0.0,0.0015304195882053244,-0.18356218792555606
stanford-crfm/levanter,5,1892,0.0,0.0,0.13635515234742204,-0.3181818181818182
ucbepic/docetl,18,1545,0.0,0.0,0.054807917221926725,-0.17216828478964402
vlm-run/vlmrun-hub,19,259,0.0,0.0,0.7041955954323869,0.03596829912619386
willccbb/verifiers,72,1301,0.0,0.0,0.10446410949143342,0.08621573148859851
"pooled (non-independent, see caveat)",1007,165362,0.0,0.0,1.4044881000790298e-22,0.1258617382390705
