full_name,n_human,n_agent,thin
567-labs/instructor,6,2,True
AgentOps-AI/agentops,18,6,False
Azure/azure-functions-core-tools,57,19,False
Azure/data-api-builder,18,6,False
Blaizzy/mlx-vlm,6,2,True
NewFuture/DDNS,1185,405,False
Significant-Gravitas/AutoGPT,12,4,True
TobikoData/sqlmesh,6,2,True
airbytehq/airbyte,66,22,False
alexanderjeurissen/ranger_devicons,3,11,True
bentoml/BentoML,6,2,True
commaai/opendbc,18,6,False
dotnet/android,3,1,True
dotnet/aspire,87,29,False
dotnet/aspnetcore,6,2,True
dotnet/macios,21,7,False
dotnet/maui,3,1,True
dropseed/plain,3,1,True
featureform/enrichmcp,240,80,False
ikamensh/flynt,30,10,False
janbjorge/pgqueuer,63,21,False
keephq/keep,48,16,False
marimo-team/marimo,66,22,False
microsoft/autogen,30,10,False
microsoft/fluentui-blazor,12,4,True
microsoft/perfview,27,9,False
microsoft/testfx,162,54,False
mlflow/mlflow,234,78,False
stanford-crfm/levanter,15,5,False
ucbepic/docetl,54,18,False
vlm-run/vlmrun-hub,57,19,False
willccbb/verifiers,189,63,False
