full_name,repo_id,language,agent_prs_in_registry,agent_prs_resolved_to_a_commit,resolved_rate
crewAIInc/crewAI,710601088.0,Python,327,40,0.12232415902140673
wieslawsoltes/Dock,134182879.0,C#,309,172,0.5566343042071198
airbytehq/airbyte,283046497.0,Python,218,86,0.3944954128440367
dotnet/aspire,696529789.0,C#,169,113,0.6686390532544378
mlflow/mlflow,136202695.0,Python,91,74,0.8131868131868132
featureform/enrichmcp,958026130.0,Python,87,57,0.6551724137931034
dotnet/maui,262395224.0,C#,80,23,0.2875
wieslawsoltes/Svg.Skia,216883277.0,C#,76,45,0.5921052631578947
stanford-crfm/levanter,496005961.0,Python,71,20,0.28169014084507044
julep-ai/julep,781914762.0,Python,67,0,0.0
microsoft/testfx,65080725.0,C#,60,39,0.65
Azure/azure-sdk-for-python,4127088.0,Python,57,16,0.2807017543859649
dotnet/aspnetcore,17620347.0,C#,52,31,0.5961538461538461
AgentOps-AI/agentops,679017521.0,Python,51,18,0.35294117647058826
567-labs/instructor,653589102.0,Python,51,20,0.39215686274509803
getsentry/sentry,873328.0,Python,51,34,0.6666666666666666
dotnet/runtime,210716005.0,C#,50,30,0.6
marimo-team/marimo,678526156.0,Python,46,31,0.6739130434782609
Significant-Gravitas/AutoGPT,614765452.0,Python,43,14,0.32558139534883723
Azure/azure-sdk-for-net,2928944.0,C#,37,22,0.5945945945945946
browser-use/browser-use,881458615.0,Python,36,18,0.5
elsa-workflows/elsa-core,151148482.0,C#,31,15,0.4838709677419355
microsoft/perfview,33010673.0,C#,30,27,0.9
crewAIInc/crewAI-tools,742063678.0,Python,29,3,0.10344827586206896
ikamensh/flynt,174731004.0,Python,28,23,0.8214285714285714
dotnet/android,55075302.0,C#,26,24,0.9230769230769231
Albeoris/Memoria,57002284.0,C#,26,0,0.0
janbjorge/pgqueuer,788904329.0,Python,26,17,0.6538461538461539
dotnet/msbuild,32051890.0,C#,25,11,0.44
Azure/azure-mcp,967503541.0,C#,24,10,0.4166666666666667
Skyvern-AI/skyvern,764723738.0,Python,23,12,0.5217391304347826
saturday06/VRM-Addon-for-Blender,164374484.0,Python,22,2,0.09090909090909091
langbot-app/LangBot,575321313.0,Python,22,15,0.6818181818181818
dotnet/sdk,63984307.0,C#,21,12,0.5714285714285714
dotnet/dotnet-api-docs,111510915.0,C#,20,16,0.8
PriorLabs/TabPFN,509436902.0,Python,19,11,0.5789473684210527
NewFuture/DDNS,60844169.0,Python,19,14,0.7368421052631579
Kiln-AI/Kiln,832879402.0,Python,19,15,0.7894736842105263
