full_name,n_agent_prs_matched,mean_comments,median_comments,has_review_data
3rdIteration/btcrecover,9,0.0,0.0,True
567-labs/instructor,2,2.0,2.0,True
AgentOps-AI/agentops,2,2.0,2.0,True
Albeoris/Memoria,3,0.6666666666666666,1.0,True
Azure/azure-cosmos-dotnet-v3,1,0.0,0.0,True
Azure/azure-functions-core-tools,2,0.0,0.0,True
Blaizzy/mlx-vlm,7,0.0,0.0,True
EduardoPires/EquinoxProject,3,0.0,0.0,True
Kiln-AI/Kiln,7,1.0,1.0,True
MervinPraison/PraisonAI,1,7.0,7.0,True
NethermindEth/nethermind,8,1.0,1.0,True
NewFuture/DDNS,6,2.5,2.5,True
PriorLabs/TabPFN,6,0.0,0.0,True
PromtEngineer/localGPT,6,1.3333333333333333,1.0,True
Significant-Gravitas/AutoGPT,10,5.3,3.5,True
Skyvern-AI/skyvern,4,0.0,0.0,True
aipotheosis-labs/aci,1,3.0,3.0,True
airbytehq/airbyte,11,4.181818181818182,4.0,True
alexanderjeurissen/ranger_devicons,6,0.0,0.0,True
bentoml/BentoML,2,3.0,3.0,True
browser-use/browser-use,2,3.5,3.5,True
bruin-data/ingestr,3,0.6666666666666666,1.0,True
cartography-cncf/cartography,7,0.7142857142857143,0.0,True
commaai/opendbc,3,0.0,0.0,True
crewAIInc/crewAI,15,2.7333333333333334,2.0,True
crewAIInc/crewAI-tools,6,2.6666666666666665,3.0,True
dagster-io/dagster,2,1.0,1.0,True
dotnet/android,2,5.0,5.0,True
dotnet/aspnetcore,4,4.0,5.0,True
dotnet/docfx,6,2.0,1.5,True
dotnet/dotnet-api-docs,5,0.8,0.0,True
dotnet/maui,4,4.5,5.0,True
dotnet/msbuild,2,4.5,4.5,True
dropseed/plain,9,0.0,0.0,True
elsa-workflows/elsa-core,7,0.0,0.0,True
graphistry/pygraphistry,7,1.1428571428571428,1.0,True
ikamensh/flynt,9,0.2222222222222222,0.0,True
janbjorge/pgqueuer,11,0.0,0.0,True
keephq/keep,4,1.75,2.0,True
langbot-app/LangBot,2,1.0,1.0,True
langchain-ai/langgraph,2,1.0,1.0,True
mangiucugna/json_repair,6,0.0,0.0,True
microsoft/PowerToys,2,5.0,5.0,True
microsoft/WinUI-Gallery,10,1.9,2.0,True
microsoft/autogen,1,9.0,9.0,True
microsoft/fluentui-blazor,2,8.5,8.5,True
microsoft/magentic-ui,4,4.25,5.0,True
microsoft/perfview,7,2.4285714285714284,2.0,True
microsoft/testfx,4,2.25,2.0,True
microsoft/vstest,10,4.5,3.0,True
mlflow/mlflow,4,5.25,4.0,True
mrwadams/stride-gpt,6,0.8333333333333334,0.5,True
netket/netket,7,3.0,3.0,True
nkdAgility/azure-devops-migration-tools,4,5.5,5.0,True
onnx/onnx,4,4.25,4.5,True
onyx-dot-app/onyx,1,4.0,4.0,True
pardeike/Harmony,5,0.6,1.0,True
peass-ng/PEASS-ng,4,0.0,0.0,True
reflex-dev/reflex,2,2.5,2.5,True
roboflow/inference,7,0.14285714285714285,0.0,True
spcl/dace,1,2.0,2.0,True
stanfordnlp/dspy,5,0.0,0.0,True
syncfusion/maui-toolkit,5,3.4,2.0,True
ucbepic/docetl,5,0.2,0.0,True
wandb/weave,3,1.3333333333333333,1.0,True
wieslawsoltes/Dock,20,0.0,0.0,True
wieslawsoltes/Svg.Skia,9,0.0,0.0,True
wizarrrr/wizarr,2,0.0,0.0,True
zenml-io/zenml,1,2.0,2.0,True
Azure/data-api-builder,0,,,False
BerriAI/litellm,0,,,False
DaveSkender/Stock.Indicators,0,,,False
TobikoData/sqlmesh,0,,,False
dotnet/aspire,0,,,False
dotnet/sdk,0,,,False
getsentry/sentry,0,,,False
pytorch/pytorch,0,,,False
vllm-project/vllm,0,,,False
writer/writer-framework,0,,,False
