full_name,metric,drop_degenerate,re_Group,re_t_rel_post,re_post_num
3rdIteration/btcrecover,design_smell_density_per_kloc,False,-0.8649264980654823,-0.029301933953480814,
567-labs/instructor,design_smell_density_per_kloc,False,-0.1630605821130707,-0.009601808472970465,
AgentOps-AI/agentops,design_smell_density_per_kloc,False,-0.31166833383865955,-0.01299474169524164,
Albeoris/Memoria,design_smell_density_per_kloc,False,-0.5105953462034013,-0.01732577070256677,
Azure/azure-cosmos-dotnet-v3,design_smell_density_per_kloc,False,-0.07900604864791012,-0.0034976622420973833,
Azure/azure-functions-core-tools,design_smell_density_per_kloc,False,2.0632361992590558,0.06172088364246195,
Azure/data-api-builder,design_smell_density_per_kloc,False,-0.45969500555503845,-0.016560660910342653,
BerriAI/litellm,design_smell_density_per_kloc,False,-0.5410322281926004,-0.015438425339865568,
Blaizzy/mlx-vlm,design_smell_density_per_kloc,False,0.014177579383008935,-0.0023159255114563316,
DaveSkender/Stock.Indicators,design_smell_density_per_kloc,False,1.8350665499976593,0.0585471961786993,
EduardoPires/EquinoxProject,design_smell_density_per_kloc,False,2.1995120720895147,0.07163873915026617,
Kiln-AI/Kiln,design_smell_density_per_kloc,False,-0.5194149906395743,-0.016413308633282688,
MervinPraison/PraisonAI,design_smell_density_per_kloc,False,-0.5402990006638139,-0.01806917353804174,
NethermindEth/nethermind,design_smell_density_per_kloc,False,0.4751201829337465,0.013903500313896628,
NewFuture/DDNS,design_smell_density_per_kloc,False,-0.8738564221469131,-0.02933264600208176,
PriorLabs/TabPFN,design_smell_density_per_kloc,False,-0.7870951537212711,-0.025038694480955793,
PromtEngineer/localGPT,design_smell_density_per_kloc,False,-0.6913058614197601,-0.021227477843431094,
Significant-Gravitas/AutoGPT,design_smell_density_per_kloc,False,-0.4359919797167688,-0.012004227608474733,
Skyvern-AI/skyvern,design_smell_density_per_kloc,False,-0.2209509441933761,-0.007670472526596893,
TobikoData/sqlmesh,design_smell_density_per_kloc,False,-0.4767716838621575,-0.016940838787410394,
aipotheosis-labs/aci,design_smell_density_per_kloc,False,-0.2483640554143117,-0.008059331805806437,
airbytehq/airbyte,design_smell_density_per_kloc,False,-0.38305592938781324,-0.014614386547914627,
alexanderjeurissen/ranger_devicons,design_smell_density_per_kloc,False,-0.8637081499383888,-0.028671737826009364,
bentoml/BentoML,design_smell_density_per_kloc,False,-0.7228798981638158,-0.021848327924006015,
browser-use/browser-use,design_smell_density_per_kloc,False,-0.45971067765084517,-0.015230370101749909,
bruin-data/ingestr,design_smell_density_per_kloc,False,-0.624116545930582,-0.0200989144946824,
cartography-cncf/cartography,design_smell_density_per_kloc,False,-0.8270937630237901,-0.027120743846865324,
commaai/opendbc,design_smell_density_per_kloc,False,-0.6454572004192672,-0.017096337023124356,
crewAIInc/crewAI,design_smell_density_per_kloc,False,-0.43429623462208633,-0.011074470128105581,
crewAIInc/crewAI-tools,design_smell_density_per_kloc,False,0.3324409936248141,0.015429988006507259,
dagster-io/dagster,design_smell_density_per_kloc,False,-0.6998661340355694,-0.023120745225083658,
dotnet/android,design_smell_density_per_kloc,False,0.7847397092435733,0.02530339226162863,
dotnet/aspire,design_smell_density_per_kloc,False,1.4947941777834166,0.048896970823288116,
dotnet/aspnetcore,design_smell_density_per_kloc,False,0.16724870714375786,0.004816541951334029,
dotnet/docfx,design_smell_density_per_kloc,False,1.429569267610074,0.04312310125917865,
dotnet/dotnet-api-docs,design_smell_density_per_kloc,False,-0.11089372743724177,-0.004312771099421289,
dotnet/maui,design_smell_density_per_kloc,False,0.182068454329312,0.004281941777765608,
dotnet/msbuild,design_smell_density_per_kloc,False,-0.39770121069493414,-0.012767309728331417,
dotnet/sdk,design_smell_density_per_kloc,False,0.10072341797234916,0.0005675242288287635,
dropseed/plain,design_smell_density_per_kloc,False,-0.716264107944326,-0.0238337512358054,
elsa-workflows/elsa-core,design_smell_density_per_kloc,False,1.2121226175750794,0.03716475483690887,
getsentry/sentry,design_smell_density_per_kloc,False,-0.6564931243988298,-0.021056496915406373,
graphistry/pygraphistry,design_smell_density_per_kloc,False,-0.7290850624826196,-0.024890212575665375,
ikamensh/flynt,design_smell_density_per_kloc,False,-0.5871693225148172,-0.020972383885650647,
janbjorge/pgqueuer,design_smell_density_per_kloc,False,-0.5946345556046853,-0.019713897596982992,
keephq/keep,design_smell_density_per_kloc,False,-0.681827918497347,-0.022587623167096088,
langbot-app/LangBot,design_smell_density_per_kloc,False,-0.4644628419443914,-0.014870662603194943,
langchain-ai/langgraph,design_smell_density_per_kloc,False,-0.6434621010413084,-0.02080707597122016,
mangiucugna/json_repair,design_smell_density_per_kloc,False,-0.7021015035132776,-0.02255932709900945,
microsoft/PowerToys,design_smell_density_per_kloc,False,0.3670909888995495,0.010503906041292935,
microsoft/WinUI-Gallery,design_smell_density_per_kloc,False,0.12060141135861877,0.004427006098261265,
microsoft/autogen,design_smell_density_per_kloc,False,-0.7785726282196755,-0.02613271507383079,
microsoft/fluentui-blazor,design_smell_density_per_kloc,False,14.689911174808291,0.5151939884092259,
microsoft/magentic-ui,design_smell_density_per_kloc,False,-0.4592341836654819,-0.014536038158612742,
microsoft/perfview,design_smell_density_per_kloc,False,0.5944919157363378,0.018541995254985216,
microsoft/testfx,design_smell_density_per_kloc,False,-0.6230841743377994,-0.022169843866842058,
microsoft/vstest,design_smell_density_per_kloc,False,-0.5415556616608136,-0.018157428294708785,
mlflow/mlflow,design_smell_density_per_kloc,False,-0.8234201354302118,-0.0271910848916944,
mrwadams/stride-gpt,design_smell_density_per_kloc,False,-0.7089321300469067,-0.02176603450997913,
netket/netket,design_smell_density_per_kloc,False,-0.7583919609900547,-0.025454277019498713,
nkdAgility/azure-devops-migration-tools,design_smell_density_per_kloc,False,4.013952461480592,0.12232132674387414,
onnx/onnx,design_smell_density_per_kloc,False,-0.7637015536385392,-0.02564167573528698,
onyx-dot-app/onyx,design_smell_density_per_kloc,False,-0.457084640092036,-0.013970724817724291,
pardeike/Harmony,design_smell_density_per_kloc,False,0.06578529666354518,0.0008460938737673562,
peass-ng/PEASS-ng,design_smell_density_per_kloc,False,-0.39935935399487044,-0.013366449994255675,
pytorch/pytorch,design_smell_density_per_kloc,False,-0.5876097590960035,-0.018984364135598418,
reflex-dev/reflex,design_smell_density_per_kloc,False,-0.49625950149821546,-0.016109461247748442,
roboflow/inference,design_smell_density_per_kloc,False,-0.6973170773599522,-0.022379358664087832,
spcl/dace,design_smell_density_per_kloc,False,-0.7703171449165243,-0.025524358062438524,
stanfordnlp/dspy,design_smell_density_per_kloc,False,-0.6619242190913385,-0.0222116950277715,
syncfusion/maui-toolkit,design_smell_density_per_kloc,False,0.015619122345152758,0.0006838085093683869,
ucbepic/docetl,design_smell_density_per_kloc,False,-0.5930801088623867,-0.019544207903200286,
vllm-project/vllm,design_smell_density_per_kloc,False,-0.5607090086701888,-0.019057498164937122,
wandb/weave,design_smell_density_per_kloc,False,-0.7662032581970191,-0.025582961531885638,
wieslawsoltes/Dock,design_smell_density_per_kloc,False,0.39804438365117933,0.01672510260514986,
wieslawsoltes/Svg.Skia,design_smell_density_per_kloc,False,0.34414697991841875,0.0091408312875187,
wizarrrr/wizarr,design_smell_density_per_kloc,False,-0.7172538167126784,-0.02163347079481512,
writer/writer-framework,design_smell_density_per_kloc,False,-0.5820123933802271,-0.02064307907512023,
zenml-io/zenml,design_smell_density_per_kloc,False,-0.48612681030703875,-0.014681221234775544,
3rdIteration/btcrecover,implementation_smell_density_per_kloc,False,-0.4465297492204688,0.00501872523291037,0.008716066497156791
567-labs/instructor,implementation_smell_density_per_kloc,False,-0.5286220092875402,0.011503399841934003,-0.16951140755770133
AgentOps-AI/agentops,implementation_smell_density_per_kloc,False,-0.48777358620016825,-0.0042129742044100535,0.838396208506308
Albeoris/Memoria,implementation_smell_density_per_kloc,False,0.7688851569963405,-0.006639484801860403,-0.11406158493187002
Azure/azure-cosmos-dotnet-v3,implementation_smell_density_per_kloc,False,0.666329268402559,-0.006528312580311414,-0.08255428629224192
Azure/azure-functions-core-tools,implementation_smell_density_per_kloc,False,1.0795020602498842,-0.018431435991904707,-0.1576552905043961
Azure/data-api-builder,implementation_smell_density_per_kloc,False,-0.9221351132238235,0.01324196231429774,0.06935069654091958
BerriAI/litellm,implementation_smell_density_per_kloc,False,-0.11795925785022486,-0.017081873066727527,-0.0029625557228063846
Blaizzy/mlx-vlm,implementation_smell_density_per_kloc,False,-0.9010370859223782,0.04744460465495579,0.45534524685875594
DaveSkender/Stock.Indicators,implementation_smell_density_per_kloc,False,3.529445736516186,-0.02997762156994869,-0.22120328420646165
EduardoPires/EquinoxProject,implementation_smell_density_per_kloc,False,0.02085738025661525,-0.005471643563371488,-0.3260348134207049
Kiln-AI/Kiln,implementation_smell_density_per_kloc,False,-0.7488584926912777,0.01045647218629413,0.28179894005876827
MervinPraison/PraisonAI,implementation_smell_density_per_kloc,False,-0.20512682033547455,0.06449175552933543,-0.4896165501871301
NethermindEth/nethermind,implementation_smell_density_per_kloc,False,1.578659642903062,-0.007603994478676166,0.011796653862902094
NewFuture/DDNS,implementation_smell_density_per_kloc,False,-1.01204214557184,-0.004603108705961271,-0.29867931657379726
PriorLabs/TabPFN,implementation_smell_density_per_kloc,False,-0.1280433329083304,-0.03765183519194217,-0.6692398600206648
PromtEngineer/localGPT,implementation_smell_density_per_kloc,False,-1.46156673003887,0.025160356113596214,0.7292185060608193
