full_name,language,n_lineages,n_pre_only,n_post_created,n_spans,mean_mod_pre_only,mean_churn_pre_only,mean_mod_post_created,mean_churn_post_created,mean_mod_spans,mean_churn_spans
567-labs/instructor,Python,632,387,217,28,1.217,0.199,1.521,0.154,3.929,0.233
AgentOps-AI/agentops,Python,918,37,872,9,2.0,0.368,1.337,0.128,8.333,0.605
Azure/azure-sdk-for-python,Python,981,74,905,2,1.014,0.146,1.358,0.158,2.0,0.131
Significant-Gravitas/AutoGPT,Python,1975,33,1936,6,1.0,0.211,1.11,0.1,2.5,0.31
airbytehq/airbyte,Python,1096,973,121,2,1.774,0.215,1.0,0.175,2.0,0.054
browser-use/browser-use,Python,2698,427,2073,198,1.874,0.224,2.081,0.188,12.778,0.579
crewAIInc/crewAI,Python,1376,0,1376,0,,,1.101,0.145,,
crewAIInc/crewAI-tools,Python,871,152,606,113,1.461,0.187,1.281,0.136,5.381,0.516
dotnet/aspire,C#,260,55,191,14,1.327,0.191,1.168,0.159,4.357,0.224
dotnet/aspnetcore,C#,852,707,123,22,1.325,0.109,1.041,0.101,3.409,0.061
dotnet/maui,C#,1141,1030,99,12,1.165,0.198,1.051,0.171,5.833,0.242
elsa-workflows/elsa-core,C#,242,163,59,20,1.706,0.45,1.153,0.252,8.1,0.488
featureform/enrichmcp,Python,402,94,223,85,1.021,0.138,1.798,0.238,3.012,0.171
ikamensh/flynt,Python,82,26,55,1,1.038,0.239,1.2,0.231,2.0,0.133
julep-ai/julep,Python,2768,0,2768,0,,,1.067,0.198,,
marimo-team/marimo,Python,337,145,162,30,1.0,0.218,1.13,0.205,2.0,0.381
marin-community/levanter,Python,2689,1788,716,185,1.619,0.242,1.591,0.209,5.876,0.228
microsoft/testfx,C#,6265,6179,77,9,1.006,0.201,1.026,0.23,5.889,0.369
mlflow/mlflow,Python,749,9,686,54,1.222,0.288,1.863,0.222,7.981,0.527
wieslawsoltes/Dock,C#,458,458,0,0,1.371,0.183,,,,
wieslawsoltes/Svg.Skia,C#,780,238,538,4,1.176,0.161,1.309,0.299,4.0,0.081
