repo_id,full_name,track,unit,n_prs_found,total_count,is_undersampled,status,error
710601088.0,crewAIInc/crewAI,B1,2022-01-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-02-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-03-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-04-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-05-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-06-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-07-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-08-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-09-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-10-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-11-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2022-12-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-01-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-02-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-03-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-04-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-05-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-06-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-07-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-08-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-09-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-10-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-11-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2023-12-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-01-01,1,1,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-02-01,1,1,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-03-01,3,3,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-04-01,6,6,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-05-01,4,4,True,ok,
