repo_id,full_name,language,stars,agent_pr_count,distinct_agents,agent_breakdown,intervention_date,last_agent_pr_date
710601088.0,crewAIInc/crewAI,Python,35096.0,327,1,{'Devin': 327},2024-12-27T20:52:41Z,2025-07-30T14:39:48Z
134182879.0,wieslawsoltes/Dock,C#,1204.0,309,3,"{'OpenAI_Codex': 306, 'Cursor': 2, 'Copilot': 1}",2025-06-25T10:52:03Z,2025-07-30T11:59:11Z
283046497.0,airbytehq/airbyte,Python,19011.0,218,3,"{'Devin': 216, 'OpenAI_Codex': 1, 'Claude_Code': 1}",2025-01-21T21:53:59Z,2025-07-22T03:26:34Z
696529789.0,dotnet/aspire,C#,4723.0,169,1,{'Copilot': 169},2025-05-19T19:07:41Z,2025-07-30T00:23:02Z
136202695.0,mlflow/mlflow,Python,21402.0,91,2,"{'Copilot': 85, 'Claude_Code': 6}",2025-05-21T12:41:48Z,2025-07-29T04:47:04Z
958026130.0,featureform/enrichmcp,Python,583.0,87,1,{'OpenAI_Codex': 87},2025-06-12T14:37:13Z,2025-07-20T21:16:02Z
262395224.0,dotnet/maui,C#,22821.0,80,1,{'Copilot': 80},2025-05-19T19:18:23Z,2025-07-26T10:28:59Z
216883277.0,wieslawsoltes/Svg.Skia,C#,601.0,76,1,{'OpenAI_Codex': 76},2025-07-13T14:58:42Z,2025-07-20T09:37:00Z
496005961.0,stanford-crfm/levanter,Python,628.0,71,1,{'OpenAI_Codex': 71},2025-06-17T05:56:22Z,2025-07-30T05:26:48Z
781914762.0,julep-ai/julep,Python,5629.0,67,1,{'OpenAI_Codex': 67},2025-05-17T04:17:48Z,2025-06-09T13:47:52Z
65080725.0,microsoft/testfx,C#,908.0,60,1,{'Copilot': 60},2025-05-20T08:15:28Z,2025-07-30T05:38:26Z
4127088.0,Azure/azure-sdk-for-python,Python,5011.0,57,1,{'Copilot': 57},2025-05-20T20:40:51Z,2025-07-24T00:18:06Z
17620347.0,dotnet/aspnetcore,C#,36926.0,52,1,{'Copilot': 52},2025-05-19T19:12:05Z,2025-07-23T10:03:45Z
679017521.0,AgentOps-AI/agentops,Python,4722.0,51,3,"{'Devin': 35, 'Cursor': 9, 'OpenAI_Codex': 7}",2024-12-24T00:23:09Z,2025-07-30T00:17:20Z
653589102.0,567-labs/instructor,Python,11095.0,51,4,"{'Devin': 22, 'OpenAI_Codex': 20, 'Claude_Code': 5, 'Cursor': 4}",2025-03-04T16:03:56Z,2025-07-29T17:41:08Z
873328.0,getsentry/sentry,Python,41579.0,51,1,{'Cursor': 51},2025-02-06T18:53:03Z,2025-07-18T20:47:37Z
210716005.0,dotnet/runtime,C#,16688.0,50,1,{'Copilot': 50},2025-05-19T17:16:02Z,2025-07-30T13:01:33Z
678526156.0,marimo-team/marimo,Python,14933.0,46,1,{'Devin': 46},2024-12-24T18:44:06Z,2025-03-11T00:25:32Z
614765452.0,Significant-Gravitas/AutoGPT,Python,177379.0,43,2,"{'OpenAI_Codex': 40, 'Claude_Code': 3}",2025-05-17T11:20:49Z,2025-07-30T04:14:20Z
2928944.0,Azure/azure-sdk-for-net,C#,5827.0,37,1,{'Copilot': 37},2025-05-21T16:04:08Z,2025-07-29T00:54:13Z
881458615.0,browser-use/browser-use,Python,66661.0,36,2,"{'Cursor': 35, 'OpenAI_Codex': 1}",2025-06-24T11:08:50Z,2025-07-24T15:44:30Z
151148482.0,elsa-workflows/elsa-core,C#,7225.0,31,2,"{'Copilot': 22, 'OpenAI_Codex': 9}",2025-05-19T17:42:15Z,2025-07-25T09:55:55Z
33010673.0,microsoft/perfview,C#,4477.0,30,1,{'Copilot': 30},2025-05-19T21:01:14Z,2025-07-23T00:33:40Z
742063678.0,crewAIInc/crewAI-tools,Python,1177.0,29,1,{'Devin': 29},2024-12-28T00:55:17Z,2025-07-28T03:37:25Z
174731004.0,ikamensh/flynt,Python,718.0,28,1,{'OpenAI_Codex': 28},2025-06-04T17:58:39Z,2025-07-29T06:50:47Z
55075302.0,dotnet/android,C#,2045.0,26,1,{'Copilot': 26},2025-06-04T20:52:17Z,2025-07-22T16:58:15Z
57002284.0,Albeoris/Memoria,C#,514.0,26,1,{'Copilot': 26},2025-05-31T17:27:13Z,2025-06-19T14:43:30Z
